,Unnamed: 0,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
0,0,AL,Autauga County,55601.0,"13,163","8,653",1737.0,4491.0,"4,378","5,452","18,615",14285.0,7587.0,36
1,1,AL,Baldwin County,218022.0,"47,110","44,571",6217.0,18035.0,"18,817","24,290","75,937",36821.0,21069.0,143
2,2,AL,Barbour County,24881.0,"5,192","4,832",685.0,2073.0,"2,080","2,668","8,669",13525.0,6788.0,16
3,3,AL,Bibb County,22400.0,"4,587","3,690",605.0,1882.0,"1,824","2,279","7,800",5692.0,4400.0,15
4,4,AL,Blount County,57840.0,"13,392","10,548",1767.0,4694.0,"4,746","6,044","19,625",7585.0,7527.0,38
5,5,AL,Bullock County,10138.0,"2,137","1,661",282.0,845.0,815,"1,020","3,499",7987.0,3610.0,6
6,6,AL,Butler County,19680.0,"4,378","3,995",577.0,1611.0,"1,657","2,144","6,772",9593.0,4731.0,12
7,7,AL,Calhoun County,114277.0,"24,695","20,247",3259.0,9455.0,"9,352","11,838","39,366",31969.0,21719.0,74
8,8,AL,Chambers County,33615.0,"6,992","6,562",922.0,2811.0,"2,884","3,691","11,790",15049.0,6181.0,22
9,9,AL,Cherokee County,26032.0,"4,990","5,980",658.0,2221.0,"2,406","3,142","9,427",2172.0,4180.0,17
10,10,AL,Chilton County,44153.0,"10,491","7,411",1384.0,3558.0,"3,524","4,438","14,805",8769.0,7542.0,29
11,11,AL,Choctaw County,12841.0,"2,567","2,953",338.0,1083.0,"1,173","1,535","4,600",5600.0,2806.0,8
12,12,AL,Clarke County,23920.0,"5,195","4,753",685.0,1976.0,"2,043","2,627","8,304",11360.0,5381.0,15
13,13,AL,Clay County,13275.0,"2,688","2,751",354.0,1118.0,"1,173","1,512","4,711",2585.0,2285.0,8
14,14,AL,Cleburne County,14987.0,"3,412","2,915",450.0,1222.0,"1,263","1,622","5,134",1080.0,2356.0,9
15,15,AL,Coffee County,51909.0,"12,280","8,801",1620.0,4184.0,"4,123","5,204","17,403",15648.0,7053.0,34
16,16,AL,Colbert County,54762.0,"11,370","10,914",1500.0,4577.0,"4,691","6,029","19,204",11830.0,7459.0,35
17,17,AL,Conecuh County,12277.0,"2,550","2,762",336.0,1025.0,"1,096","1,434","4,342",6101.0,2979.0,8
18,18,AL,Coosa County,10715.0,"1,777","2,481",234.0,946.0,"1,038","1,346","4,020",3709.0,1973.0,7
19,19,AL,Covington County,36986.0,"8,089","7,790",1067.0,3047.0,"3,208","4,163","12,860",6218.0,7239.0,24
20,20,AL,Crenshaw County,13824.0,"3,160","2,629",417.0,1126.0,"1,157","1,480","4,724",4016.0,2661.0,9
21,21,AL,Cullman County,83442.0,"18,757","15,446",2475.0,6825.0,"6,877","8,772","28,530",6796.0,11925.0,55
22,22,AL,Dale County,48956.0,"11,247","8,270",1484.0,3976.0,"3,863","4,874","16,504",15486.0,7743.0,32
23,23,AL,Dallas County,38310.0,"9,121","6,921",1203.0,3083.0,"3,120","3,972","12,891",27897.0,11841.0,24
24,24,AL,DeKalb County,71385.0,"17,188","12,322",2268.0,5726.0,"5,718","7,236","23,872",14186.0,14975.0,47
25,25,AL,Elmore County,81887.0,"18,211","12,400",2403.0,6738.0,"6,459","7,997","27,835",22116.0,8559.0,53
26,26,AL,Escambia County,36748.0,"8,219","6,596",1084.0,3009.0,"2,990","3,798","12,545",14642.0,8022.0,24
27,27,AL,Etowah County,102501.0,"21,997","19,487",2902.0,8498.0,"8,637","11,031","35,577",22872.0,17509.0,67
28,28,AL,Fayette County,16433.0,"3,472","3,472",458.0,1366.0,"1,431","1,856","5,761",2604.0,3801.0,10
29,29,AL,Franklin County,31363.0,"7,695","5,296",1015.0,2499.0,"2,473","3,124","10,403",7472.0,5939.0,20
30,30,AL,Geneva County,26314.0,"5,768","5,341",761.0,2169.0,"2,271","2,928","9,137",4294.0,5537.0,17
31,31,AL,Greene County,8233.0,"1,825","1,837",240.0,674.0,715,939,"2,854",6790.0,2459.0,5
32,32,AL,Hale County,14726.0,"3,394","2,829",447.0,1194.0,"1,217","1,563","5,007",8876.0,3705.0,9
33,33,AL,Henry County,17209.0,"3,547","3,910",468.0,1437.0,"1,530","2,007","6,089",5280.0,3037.0,11
34,34,AL,Houston County,104722.0,"24,120","18,639",3183.0,8507.0,"8,479","10,767","35,474",35272.0,17032.0,68
35,35,AL,Jackson County,51736.0,"10,806","10,373",1426.0,4324.0,"4,497","5,775","18,182",5656.0,10046.0,34
36,36,AL,Jefferson County,659300.0,"150,071","104,547",19805.0,53749.0,"51,356","64,175","222,223",331629.0,103604.0,430
37,37,AL,Lamar County,13844.0,"2,961","2,998",390.0,1147.0,"1,218","1,585","4,851",1942.0,2374.0,9
38,38,AL,Lauderdale County,92387.0,"18,168","18,563",2397.0,7815.0,"7,888","10,149","32,718",14223.0,12645.0,60
39,39,AL,Lawrence County,32957.0,"7,115","6,151",938.0,2736.0,"2,823","3,587","11,471",7783.0,6297.0,21
40,40,AL,Lee County,163941.0,"34,893","19,481",4604.0,13596.0,"11,606","13,961","55,085",53320.0,30075.0,108
41,41,AL,Limestone County,96174.0,"21,696","14,608",2863.0,7895.0,"7,695","9,521","32,690",22972.0,10633.0,63
42,42,AL,Lowndes County,9974.0,"2,256","1,880",297.0,815.0,839,"1,071","3,421",7467.0,2474.0,6
43,43,AL,Macon County,18439.0,"3,118","3,756",411.0,1608.0,"1,570","2,022","6,699",15463.0,5031.0,11
44,44,AL,Madison County,366519.0,"79,966","55,125",10553.0,30349.0,"29,164","36,025","125,369",129763.0,42667.0,241
45,45,AL,Marengo County,19066.0,"4,335","3,737",572.0,1554.0,"1,600","2,059","6,526",10511.0,4499.0,12
46,46,AL,Marion County,29763.0,"6,183","6,321",815.0,2487.0,"2,619","3,394","10,495",2433.0,5844.0,19
47,47,AL,Marshall County,96109.0,"23,936","16,375",3158.0,7624.0,"7,597","9,613","31,774",18802.0,17341.0,63
48,48,AL,Mobile County,413757.0,"96,711","67,041",12763.0,33472.0,"32,374","40,605","138,707",179067.0,84539.0,270
49,49,AL,Monroe County,21067.0,"4,543","4,275",599.0,1745.0,"1,824","2,351","7,347",9700.0,4560.0,13
50,50,AL,Montgomery County,225763.0,"52,774","34,173",6964.0,18254.0,"17,181","21,365","75,260",150610.0,43567.0,147
51,51,AL,Morgan County,119089.0,"27,168","20,803",3585.0,9722.0,"9,770","12,343","40,559",29373.0,15419.0,78
52,52,AL,Perry County,9140.0,"1,942","1,774",256.0,755.0,743,957,"3,153",6439.0,2943.0,5
53,53,AL,Pickens County,19938.0,"3,921","3,793",517.0,1691.0,"1,712","2,179","7,074",9198.0,4177.0,13
54,54,AL,Pike County,33338.0,"6,328","4,987",835.0,2832.0,"2,472","3,064","11,554",14738.0,7315.0,21
55,55,AL,Randolph County,22725.0,"4,874","4,625",643.0,1885.0,"1,974","2,543","7,940",5605.0,4375.0,14
56,56,AL,Russell County,57781.0,"13,968","8,280",1843.0,4632.0,"4,369","5,391","19,084",31211.0,12384.0,37
57,57,AL,St. Clair County,88690.0,"20,126","14,738",2656.0,7256.0,"7,196","9,024","30,180",12770.0,10432.0,58
58,58,AL,Shelby County,215707.0,"50,645","33,087",6683.0,17480.0,"17,010","21,125","72,394",48467.0,16916.0,141
59,59,AL,Sumter County,12691.0,"2,407","2,286",317.0,1081.0,"1,030","1,306","4,478",9575.0,4076.0,8
