,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
0,AL,Autauga County,"55,601","13,163","8,653","1,737","4,491","4,378","5,452","18,615","14,285","7,587",36
1,AL,Baldwin County,"218,022","47,110","44,571","6,217","18,035","18,817","24,290","75,937","36,821","21,069",143
2,AL,Barbour County,"24,881","5,192","4,832",685,"2,073","2,080","2,668","8,669","13,525","6,788",16
3,AL,Bibb County,"22,400","4,587","3,690",605,"1,882","1,824","2,279","7,800","5,692","4,400",15
4,AL,Blount County,"57,840","13,392","10,548","1,767","4,694","4,746","6,044","19,625","7,585","7,527",38
5,AL,Bullock County,"10,138","2,137","1,661",282,845,815,"1,020","3,499","7,987","3,610",6
6,AL,Butler County,"19,680","4,378","3,995",577,"1,611","1,657","2,144","6,772","9,593","4,731",12
7,AL,Calhoun County,"114,277","24,695","20,247","3,259","9,455","9,352","11,838","39,366","31,969","21,719",74
8,AL,Chambers County,"33,615","6,992","6,562",922,"2,811","2,884","3,691","11,790","15,049","6,181",22
9,AL,Cherokee County,"26,032","4,990","5,980",658,"2,221","2,406","3,142","9,427","2,172","4,180",17
10,AL,Chilton County,"44,153","10,491","7,411","1,384","3,558","3,524","4,438","14,805","8,769","7,542",29
11,AL,Choctaw County,"12,841","2,567","2,953",338,"1,083","1,173","1,535","4,600","5,600","2,806",8
12,AL,Clarke County,"23,920","5,195","4,753",685,"1,976","2,043","2,627","8,304","11,360","5,381",15
13,AL,Clay County,"13,275","2,688","2,751",354,"1,118","1,173","1,512","4,711","2,585","2,285",8
14,AL,Cleburne County,"14,987","3,412","2,915",450,"1,222","1,263","1,622","5,134","1,080","2,356",9
15,AL,Coffee County,"51,909","12,280","8,801","1,620","4,184","4,123","5,204","17,403","15,648","7,053",34
16,AL,Colbert County,"54,762","11,370","10,914","1,500","4,577","4,691","6,029","19,204","11,830","7,459",35
17,AL,Conecuh County,"12,277","2,550","2,762",336,"1,025","1,096","1,434","4,342","6,101","2,979",8
18,AL,Coosa County,"10,715","1,777","2,481",234,946,"1,038","1,346","4,020","3,709","1,973",7
19,AL,Covington County,"36,986","8,089","7,790","1,067","3,047","3,208","4,163","12,860","6,218","7,239",24
20,AL,Crenshaw County,"13,824","3,160","2,629",417,"1,126","1,157","1,480","4,724","4,016","2,661",9
21,AL,Cullman County,"83,442","18,757","15,446","2,475","6,825","6,877","8,772","28,530","6,796","11,925",55
22,AL,Dale County,"48,956","11,247","8,270","1,484","3,976","3,863","4,874","16,504","15,486","7,743",32
23,AL,Dallas County,"38,310","9,121","6,921","1,203","3,083","3,120","3,972","12,891","27,897","11,841",24
24,AL,DeKalb County,"71,385","17,188","12,322","2,268","5,726","5,718","7,236","23,872","14,186","14,975",47
25,AL,Elmore County,"81,887","18,211","12,400","2,403","6,738","6,459","7,997","27,835","22,116","8,559",53
26,AL,Escambia County,"36,748","8,219","6,596","1,084","3,009","2,990","3,798","12,545","14,642","8,022",24
27,AL,Etowah County,"102,501","21,997","19,487","2,902","8,498","8,637","11,031","35,577","22,872","17,509",67
28,AL,Fayette County,"16,433","3,472","3,472",458,"1,366","1,431","1,856","5,761","2,604","3,801",10
29,AL,Franklin County,"31,363","7,695","5,296","1,015","2,499","2,473","3,124","10,403","7,472","5,939",20
30,AL,Geneva County,"26,314","5,768","5,341",761,"2,169","2,271","2,928","9,137","4,294","5,537",17
31,AL,Greene County,"8,233","1,825","1,837",240,674,715,939,"2,854","6,790","2,459",5
32,AL,Hale County,"14,726","3,394","2,829",447,"1,194","1,217","1,563","5,007","8,876","3,705",9
33,AL,Henry County,"17,209","3,547","3,910",468,"1,437","1,530","2,007","6,089","5,280","3,037",11
34,AL,Houston County,"104,722","24,120","18,639","3,183","8,507","8,479","10,767","35,474","35,272","17,032",68
35,AL,Jackson County,"51,736","10,806","10,373","1,426","4,324","4,497","5,775","18,182","5,656","10,046",34
36,AL,Jefferson County,"659,300","150,071","104,547","19,805","53,749","51,356","64,175","222,223","331,629","103,604",430
37,AL,Lamar County,"13,844","2,961","2,998",390,"1,147","1,218","1,585","4,851","1,942","2,374",9
38,AL,Lauderdale County,"92,387","18,168","18,563","2,397","7,815","7,888","10,149","32,718","14,223","12,645",60
39,AL,Lawrence County,"32,957","7,115","6,151",938,"2,736","2,823","3,587","11,471","7,783","6,297",21
40,AL,Lee County,"163,941","34,893","19,481","4,604","13,596","11,606","13,961","55,085","53,320","30,075",108
41,AL,Limestone County,"96,174","21,696","14,608","2,863","7,895","7,695","9,521","32,690","22,972","10,633",63
42,AL,Lowndes County,"9,974","2,256","1,880",297,815,839,"1,071","3,421","7,467","2,474",6
43,AL,Macon County,"18,439","3,118","3,756",411,"1,608","1,570","2,022","6,699","15,463","5,031",11
44,AL,Madison County,"366,519","79,966","55,125","10,553","30,349","29,164","36,025","125,369","129,763","42,667",241
45,AL,Marengo County,"19,066","4,335","3,737",572,"1,554","1,600","2,059","6,526","10,511","4,499",12
46,AL,Marion County,"29,763","6,183","6,321",815,"2,487","2,619","3,394","10,495","2,433","5,844",19
47,AL,Marshall County,"96,109","23,936","16,375","3,158","7,624","7,597","9,613","31,774","18,802","17,341",63
48,AL,Mobile County,"413,757","96,711","67,041","12,763","33,472","32,374","40,605","138,707","179,067","84,539",270
49,AL,Monroe County,"21,067","4,543","4,275",599,"1,745","1,824","2,351","7,347","9,700","4,560",13
50,AL,Montgomery County,"225,763","52,774","34,173","6,964","18,254","17,181","21,365","75,260","150,610","43,567",147
51,AL,Morgan County,"119,089","27,168","20,803","3,585","9,722","9,770","12,343","40,559","29,373","15,419",78
52,AL,Perry County,"9,140","1,942","1,774",256,755,743,957,"3,153","6,439","2,943",5
53,AL,Pickens County,"19,938","3,921","3,793",517,"1,691","1,712","2,179","7,074","9,198","4,177",13
54,AL,Pike County,"33,338","6,328","4,987",835,"2,832","2,472","3,064","11,554","14,738","7,315",21
55,AL,Randolph County,"22,725","4,874","4,625",643,"1,885","1,974","2,543","7,940","5,605","4,375",14
56,AL,Russell County,"57,781","13,968","8,280","1,843","4,632","4,369","5,391","19,084","31,211","12,384",37
57,AL,St. Clair County,"88,690","20,126","14,738","2,656","7,256","7,196","9,024","30,180","12,770","10,432",58
58,AL,Shelby County,"215,707","50,645","33,087","6,683","17,480","17,010","21,125","72,394","48,467","16,916",141
59,AL,Sumter County,"12,691","2,407","2,286",317,"1,081","1,030","1,306","4,478","9,575","4,076",8
60,AL,Talladega County,"79,828","16,918","14,370","2,232","6,650","6,681","8,455","27,751","29,938","14,825",52
61,AL,Tallapoosa County,"40,497","8,369","8,731","1,104","3,391","3,607","4,681","14,336","12,643","7,839",26
62,AL,Tuscaloosa County,"208,911","43,761","27,743","5,775","17,383","15,191","18,536","70,772","81,015","33,330",137
63,AL,Walker County,"63,711","14,143","12,311","1,866","5,234","5,386","6,901","21,966","7,057","11,231",41
64,AL,Washington County,"16,378","3,604","3,130",475,"1,351","1,398","1,785","5,671","5,713","2,846",10
65,AL,Wilcox County,"10,627","2,525","2,066",333,853,874,"1,127","3,584","7,795","3,504",6
66,AL,Winston County,"23,660","4,833","5,101",637,"1,988","2,121","2,750","8,408","1,492","4,338",15
67,AK,Aleutians East Borough,"3,515",277,324,19,304,182,205,"1,402","3,213",544,2
68,AK,Aleutians West Census Area,"5,723",638,394,45,481,279,308,"2,193","4,395",550,3
69,AK,Anchorage Municipality,"291,538","71,339","32,333","5,105","20,167","12,615","14,639","95,198","124,439","27,075",161
70,AK,Bethel Census Area,"18,216","6,542","1,402",468,"1,069",634,716,"4,988","16,459","5,869",10
71,AK,Bristol Bay Borough,877,167,127,11,66,45,54,316,496,96,0
72,AK,Denali Borough,"2,059",384,245,27,158,103,122,741,412,135,1
73,AK,Dillingham Census Area,"5,000","1,578",470,112,315,195,225,"1,480","4,239","1,091",2
74,AK,Fairbanks North Star Borough,"98,971","23,861","10,204","1,707","6,791","4,061","4,617","31,973","30,429","8,104",55
75,AK,Haines Borough,"2,474",424,546,30,190,149,191,945,559,259,1
76,AK,Hoonah-Angoon Census Area,"2,151",397,483,28,163,130,168,813,"1,165",370,1
77,AK,Juneau City and Borough,"32,113","6,830","4,298",488,"2,338","1,552","1,850","11,130","11,476","2,299",17
78,AK,Kenai Peninsula Borough,"58,533","13,227","10,188",946,"4,184","3,050","3,789","20,405","11,660","7,103",32
79,AK,Ketchikan Gateway Borough,"13,918","3,102","2,162",222,998,697,850,"4,817","5,125","1,244",7
80,AK,Kodiak Island Borough,"13,345","3,417","1,379",244,914,568,657,"4,296","6,791","1,073",7
81,AK,Kusilvak Census Area,"8,303","3,391",496,242,447,252,276,"2,071","8,011","2,905",4
82,AK,Lake and Peninsula Borough,"1,587",453,162,32,105,66,77,494,"1,233",288,0
83,AK,Matanuska-Susitna Borough,"107,610","28,860","12,814","2,065","7,271","4,752","5,624","34,516","22,649","10,937",59
84,AK,Nome Census Area,"10,008","3,467",774,248,598,353,397,"2,790","8,514","2,168",5
85,AK,North Slope Borough,"9,872","2,613",673,187,685,408,457,"3,144","6,812","1,094",5
86,AK,Northwest Arctic Borough,"7,671","2,706",561,193,455,267,300,"2,118","6,836","1,604",4
87,AK,Petersburg Census Area,"3,221",670,615,47,235,176,221,"1,156",927,232,1
88,AK,Prince of Wales-Hyder Census Area,"6,422","1,471","1,096",105,460,337,419,"2,240","3,501","1,057",3
89,AK,Sitka City and Borough,"8,647","1,854","1,361",132,623,432,526,"3,012","3,365",656,4
90,AK,Skagway Municipality,"1,148",182,167,13,88,58,68,422,214,49,0
91,AK,Southeast Fairbanks Census Area,"6,918","1,753","1,005",125,477,330,401,"2,296","1,876",918,3
92,AK,Valdez-Cordova Census Area,"9,164","2,146","1,256",153,656,451,545,"3,132","2,831",880,5
93,AK,Wrangell City and Borough,"2,503",501,548,35,186,148,190,926,828,287,1
94,AK,Yakutat City and Borough,604,112,118,8,45,34,43,223,407,79,0
95,AK,Yukon-Koyukuk Census Area,"5,327","1,454",810,104,354,247,303,"1,718","4,165","1,259",2
96,AZ,Apache County,"71,818","19,518","10,986","1,573","5,322","3,727","4,820","21,136","58,801","26,435",32
97,AZ,Cochise County,"126,770","27,312","28,326","2,201","10,014","7,770","10,388","41,424","57,227","18,273",56
98,AZ,Coconino County,"142,854","29,454","17,855","2,374","11,337","6,939","8,729","43,956","65,726","20,964",63
99,AZ,Gila County,"53,889","10,827","15,506",872,"4,363","3,813","5,220","18,697","20,487","10,804",24
100,AZ,Graham County,"38,072","10,287","5,310",829,"2,789","1,838","2,357","11,002","18,656","7,118",17
101,AZ,Greenlee County,"9,483","2,590","1,248",208,696,457,583,"2,729","5,144",985,4
102,AZ,La Paz County,"21,098","3,540","8,287",285,"1,732","1,697","2,404","7,892","9,141","4,921",9
103,AZ,Maricopa County,"4,410,824","1,052,788","669,285","84,870","340,115","231,646","298,085","1,344,592","1,989,191","535,183","1,969"
104,AZ,Mohave County,"209,550","35,739","63,526","2,881","17,610","15,506","21,257","75,664","48,373","34,411",93
105,AZ,Navajo County,"110,445","29,472","20,010","2,375","8,223","6,101","8,024","33,301","64,394","30,876",49
106,AZ,Pima County,"1,039,073","216,736","205,255","17,472","82,677","60,473","79,741","336,048","504,663","164,927",463
107,AZ,Pinal County,"447,138","100,778","91,129","8,124","34,832","26,058","34,552","142,549","194,203","54,399",200
108,AZ,Santa Cruz County,"46,511","12,435","8,421","1,002","3,454","2,554","3,360","13,995","39,600","11,287",20
109,AZ,Yavapai County,"231,993","37,687","73,278","3,038","19,702","17,641","24,259","85,108","45,569","30,060",103
110,AZ,Yuma County,"212,128","53,494","39,828","4,312","15,801","11,388","15,050","64,421","147,604","39,648",95
111,AR,Arkansas County,"17,769","4,074","3,484",291,"1,343","1,445","1,942","6,521","5,427","3,120",13
112,AR,Ashley County,"20,046","4,582","4,081",327,"1,514","1,652","2,229","7,378","6,354","3,876",15
113,AR,Baxter County,"41,619","7,384","12,860",528,"3,268","4,046","5,749","16,607","2,305","6,216",32
114,AR,Benton County,"272,608","71,569","36,557","5,122","19,996","18,754","24,506","93,923","73,684","23,290",213
115,AR,Boone County,"37,480","8,593","7,743",614,"2,824","3,069","4,162","13,767","2,398","5,472",29
116,AR,Bradley County,"10,897","2,611","2,067",186,813,864,"1,161","3,938","4,874","2,329",8
117,AR,Calhoun County,"5,277",995,"1,137",71,419,464,624,"2,048","1,465",800,4
118,AR,Carroll County,"28,223","6,065","6,544",434,"2,154","2,432","3,337","10,617","5,872","4,499",22
119,AR,Chicot County,"10,438","2,327","2,122",166,794,868,"1,168","3,871","6,376","3,039",8
120,AR,Clark County,"22,061","4,184","3,687",299,"1,765","1,640","2,206","8,328","6,963","3,838",17
121,AR,Clay County,"14,847","3,228","3,179",231,"1,134","1,247","1,694","5,547",716,"3,035",11
122,AR,Cleburne County,"24,965","4,737","6,687",339,"1,951","2,311","3,214","9,757","1,323","3,573",19
123,AR,Cleveland County,"8,018","1,754","1,683",125,612,676,913,"2,993","1,259","1,232",6
124,AR,Columbia County,"23,537","4,871","4,101",348,"1,839","1,782","2,397","8,747","9,618","4,799",18
125,AR,Conway County,"20,891","4,712","4,095",337,"1,588","1,717","2,301","7,711","3,903","3,693",16
126,AR,Craighead County,"108,558","27,090","15,030","1,938","8,092","7,488","9,854","37,973","26,491","18,768",84
127,AR,Crawford County,"63,406","15,501","10,547","1,109","4,733","4,856","6,415","22,668","10,261","10,027",49
128,AR,Crittenden County,"48,342","13,076","6,838",935,"3,503","3,435","4,483","16,585","28,292","9,056",37
129,AR,Cross County,"16,676","3,906","3,130",279,"1,254","1,326","1,777","6,064","4,546","2,940",12
130,AR,Dallas County,"7,182","1,535","1,665",109,549,623,853,"2,708","3,371","1,442",5
131,AR,Desha County,"11,512","2,950","2,188",211,839,904,"1,216","4,077","6,387","2,780",8
132,AR,Drew County,"18,328","3,939","3,207",281,"1,418","1,400","1,877","6,763","6,210","3,391",14
133,AR,Faulkner County,"124,806","28,780","15,582","2,059","9,580","8,516","11,074","44,534","24,986","18,571",97
134,AR,Franklin County,"17,810","4,074","3,443",291,"1,348","1,437","1,931","6,531","1,517","3,202",13
135,AR,Fulton County,"12,269","2,521","3,221",180,940,"1,120","1,555","4,707",610,"2,481",9
136,AR,Garland County,"99,154","19,941","23,632","1,427","7,692","8,653","11,919","37,920","18,046","19,844",77
137,AR,Grant County,"18,188","4,081","3,275",292,"1,390","1,458","1,935","6,695","1,395","2,353",14
138,AR,Greene County,"45,325","11,103","7,242",794,"3,385","3,387","4,472","16,131","3,334","7,361",35
139,AR,Hempstead County,"21,741","5,609","3,905",401,"1,586","1,677","2,241","7,663","9,931","4,424",16
140,AR,Hot Spring County,"33,701","6,914","6,369",494,"2,636","2,759","3,683","12,705","5,907","5,844",26
141,AR,Howard County,"13,341","3,472","2,394",248,970,"1,021","1,367","4,684","4,842","2,271",10
142,AR,Independence County,"37,678","9,122","6,603",652,"2,813","2,902","3,868","13,515","4,392","5,302",29
143,AR,Izard County,"13,593","2,447","3,506",175,"1,079","1,255","1,734","5,364",996,"2,358",10
144,AR,Jackson County,"16,811","3,381","3,051",241,"1,324","1,348","1,798","6,344","3,934","3,732",13
145,AR,Jefferson County,"68,114","15,053","11,777","1,077","5,237","5,312","7,055","25,055","41,816","13,900",53
146,AR,Johnson County,"26,742","6,617","4,400",473,"1,988","2,009","2,663","9,499","5,632","5,761",20
147,AR,Lafayette County,"6,682","1,230","1,606",88,530,608,829,"2,619","2,724","1,498",5
148,AR,Lawrence County,"16,434","3,614","3,242",258,"1,257","1,333","1,797","6,089",849,"2,776",12
149,AR,Lee County,"8,985","1,639","1,764",117,721,742,999,"3,473","5,280","3,098",7
150,AR,Lincoln County,"13,383","2,250","2,049",161,"1,106","1,038","1,359","5,200","4,811","2,647",11
151,AR,Little River County,"12,326","2,742","2,589",196,936,"1,024","1,389","4,572","3,374","1,942",9
152,AR,Logan County,"21,737","4,711","4,315",337,"1,671","1,820","2,434","8,125","2,096","3,950",17
153,AR,Lonoke County,"73,657","19,009","9,808","1,360","5,443","5,207","6,747","25,617","10,592","8,651",57
154,AR,Madison County,"16,481","3,904","3,143",279,"1,235","1,330","1,780","5,991","1,757","3,002",12
155,AR,Marion County,"16,722","3,116","4,768",223,"1,308","1,618","2,253","6,610","1,034","3,082",13
156,AR,Miller County,"43,592","10,303","7,364",737,"3,287","3,338","4,428","15,723","13,700","9,228",34
157,AR,Mississippi County,"41,239","10,745","6,100",769,"3,025","2,996","3,922","14,359","17,224","10,325",32
158,AR,Monroe County,"6,900","1,453","1,601",103,530,608,829,"2,618","3,156","1,769",5
159,AR,Montgomery County,"8,924","1,639","2,411",117,703,854,"1,178","3,531",871,"1,649",6
160,AR,Nevada County,"8,326","1,882","1,718",134,630,698,940,"3,082","3,106","1,738",6
161,AR,Newton County,"7,805","1,502","2,069",107,608,718,998,"3,039",506,"1,340",6
162,AR,Ouachita County,"23,606","5,293","4,810",378,"1,794","1,978","2,657","8,754","10,652","5,410",18
163,AR,Perry County,"10,352","2,314","2,091",165,788,867,"1,162","3,841",852,"1,502",8
164,AR,Phillips County,"18,029","4,646","3,426",332,"1,312","1,413","1,901","6,373","11,789","6,301",13
165,AR,Pike County,"10,673","2,281","2,176",163,822,900,"1,208","4,007","1,350","1,856",8
166,AR,Poinsett County,"23,974","5,760","4,296",412,"1,793","1,875","2,499","8,638","3,274","5,592",18
167,AR,Polk County,"20,049","4,567","4,611",326,"1,504","1,705","2,341","7,422","2,477","3,962",15
168,AR,Pope County,"64,000","14,509","10,081","1,038","4,899","4,729","6,265","23,201","10,474","9,647",50
169,AR,Prairie County,"8,074","1,613","1,920",115,628,724,988,"3,107","1,224","1,254",6
170,AR,Pulaski County,"392,680","91,009","61,075","6,513","29,892","29,262","38,545","141,761","188,759","64,312",305
171,AR,Randolph County,"17,948","4,255","3,579",304,"1,340","1,428","1,938","6,506","1,233","3,050",14
172,AR,St. Francis County,"25,439","5,396","4,122",386,"1,984","1,942","2,567","9,416","15,308","7,586",20
173,AR,Saline County,"121,421","28,223","21,564","2,019","9,181","9,425","12,584","44,074","19,496","11,695",94
174,AR,Scott County,"10,319","2,396","2,152",171,774,857,"1,159","3,787","1,615","2,054",8
175,AR,Searcy County,"7,958","1,626","1,988",116,613,719,990,"3,052",570,"1,912",6
176,AR,Sebastian County,"127,753","30,525","20,504","2,184","9,621","9,622","12,697","45,831","39,604","19,527",99
177,AR,Sevier County,"17,139","4,874","2,493",348,"1,215","1,203","1,580","5,774","7,445","3,402",13
178,AR,Sharp County,"17,366","3,572","4,530",255,"1,331","1,573","2,186","6,651","1,143","3,541",13
179,AR,Stone County,"12,457","2,396","3,416",171,968,"1,159","1,619","4,860",693,"2,497",9
180,AR,Union County,"39,126","9,419","7,017",674,"2,926","3,083","4,101","14,108","15,358","7,000",30
181,AR,Van Buren County,"16,603","3,328","4,325",238,"1,283","1,525","2,110","6,411","1,078","2,685",13
182,AR,Washington County,"236,961","57,728","27,809","4,131","17,895","15,418","20,079","82,762","69,366","34,741",185
183,AR,White County,"78,727","18,157","12,932","1,299","5,988","5,960","7,897","28,524","9,535","12,505",61
184,AR,Woodruff County,"6,490","1,421","1,502",101,492,560,767,"2,431","1,990","1,509",5
185,AR,Yell County,"21,535","5,335","3,829",381,"1,595","1,681","2,237","7,694","5,416","3,453",16
