CD #,County,County Pop. in CD,% of CD in County
at large,Aleutians East Borough,3141,0.004
at large,Aleutians West Census Area,5561,0.008
at large,Anchorage,291826,0.411
at large,Bethel Census Area,17013,0.024
at large,Bristol Bay Borough,997,0.001
at large,Denali Borough,1826,0.003
at large,Dillingham Census Area,4847,0.007
at large,Fairbanks North Star Borough,97581,0.137
at large,Haines Borough,2508,0.004
at large,Hoonah-Angoon Census Area,2150,0.003
at large,Juneau,31275,0.044
at large,Kenai Peninsula Borough,55400,0.078
at large,Ketchikan Gateway Borough,13477,0.019
at large,Kodiak Island Borough,13592,0.019
at large,Kusilvak Census Area,7459,0.011
at large,Lake and Peninsula Borough,1631,0.002
at large,Matanuska-Susitna Borough,88995,0.125
at large,Nome Census Area,9492,0.013
at large,North Slope Borough,9430,0.013
at large,Northwest Arctic Borough,7523,0.011
at large,Petersburg Census Area,3815,0.005
at large,Prince of Wales-Hyder Census Area,5559,0.008
at large,Sitka,8881,0.013
at large,Skagway Municipality,968,0.001
at large,Southeast Fairbanks Census Area,7029,0.01
at large,Valdez-Cordova Census Area,9636,0.014
at large,Wrangell City and Borough,2369,0.003
at large,Yakutat,662,0.001
at large,Yukon-Koyukuk Census Area,5588,0.008
