CD #,County,County Pop. in CD,% of CD in County
1,Allamakee,14330,0.019
1,Benton,26076,0.034
1,Black Hawk,131090,0.172
1,Bremer,24276,0.032
1,Buchanan,20958,0.028
1,Clayton,18129,0.024
1,Delaware,17764,0.023
1,Dubuque,93653,0.123
1,Fayette,20880,0.027
1,Howard,9566,0.013
1,Iowa,16355,0.021
1,Jackson,19848,0.026
1,Jones,20638,0.027
1,Linn,211226,0.277
1,Marshall,40648,0.053
1,Mitchell,10776,0.014
1,Poweshiek,18914,0.025
1,Tama,17767,0.023
1,Winneshiek,21056,0.028
1,Worth,7598,0.01
2,Appanoose,12887,0.017
2,Cedar,18499,0.024
2,Clarke,9286,0.012
2,Clinton,49116,0.064
2,Davis,8753,0.011
2,Decatur,8457,0.011
2,Des Moines,40325,0.053
2,Henry,20145,0.026
2,Jasper,36842,0.048
2,Jefferson,16843,0.022
2,Johnson,130882,0.172
2,Keokuk,10511,0.014
2,Lee,35862,0.047
2,Louisa,11387,0.015
2,Lucas,8898,0.012
2,Mahaska,22381,0.029
2,Marion,33309,0.044
2,Monroe,7970,0.01
2,Muscatine,42745,0.056
2,Scott,165224,0.217
2,Van Buren,7570,0.01
2,Wapello,35625,0.047
2,Washington,21704,0.028
2,Wayne,6403,0.008
3,Adair,7682,0.01
3,Adams,4029,0.005
3,Cass,13956,0.018
3,Dallas,66135,0.087
3,Fremont,7441,0.01
3,Guthrie,10954,0.014
3,Madison,15679,0.021
3,Mills,15059,0.02
3,Montgomery,10740,0.014
3,Page,15932,0.021
3,Polk,430640,0.565
3,Pottawattamie,93158,0.122
3,Ringgold,5131,0.007
3,Taylor,6317,0.008
3,Union,12534,0.016
3,Warren,46225,0.061
4,Audubon,6119,0.008
4,Boone,26306,0.035
4,Buena Vista,20260,0.027
4,Butler,14867,0.02
4,Calhoun,9670,0.013
4,Carroll,20816,0.027
4,Cerro Gordo,44151,0.058
4,Cherokee,12072,0.016
4,Chickasaw,12439,0.016
4,Clay,16667,0.022
4,Crawford,17096,0.022
4,Dickinson,16667,0.022
4,Emmet,10302,0.014
4,Floyd,16303,0.021
4,Franklin,10680,0.014
4,Greene,9336,0.012
4,Grundy,12453,0.016
4,Hamilton,15673,0.021
4,Hancock,11341,0.015
4,Hardin,17534,0.023
4,Harrison,14928,0.02
4,Humboldt,9815,0.013
4,Ida,7089,0.009
4,Kossuth,15543,0.02
4,Lyon,11581,0.015
4,Monona,9243,0.012
4,OBrien,14398,0.019
4,Osceola,6462,0.008
4,Palo Alto,9421,0.012
4,Plymouth,24986,0.033
4,Pocahontas,7310,0.01
4,Sac,10350,0.014
4,Shelby,12167,0.016
4,Sioux,33704,0.044
4,Story,89542,0.118
4,Webster,38013,0.05
4,Winnebago,10866,0.014
4,Woodbury,102172,0.134
4,Wright,13229,0.017
