CD #,County,County Pop. in CD,% of CD in County
at large,Adams,2343,0.003
at large,Barnes,11066,0.016
at large,Benson,6660,0.01
at large,Billings,783,0.001
at large,Bottineau,6429,0.01
at large,Bowman,3151,0.005
at large,Burke,1968,0.003
at large,Burleigh,81308,0.121
at large,Cass,149778,0.223
at large,Cavalier,3993,0.006
at large,Dickey,5289,0.008
at large,Divide,2071,0.003
at large,Dunn,3536,0.005
at large,Eddy,2385,0.004
at large,Emmons,3550,0.005
at large,Foster,3343,0.005
at large,Golden Valley,1680,0.002
at large,Grand Forks,66861,0.099
at large,Grant,2394,0.004
at large,Griggs,2420,0.004
at large,Hettinger,2477,0.004
at large,Kidder,2435,0.004
at large,LaMoure,4139,0.006
at large,Logan,1990,0.003
at large,McHenry,5395,0.008
at large,McIntosh,2809,0.004
at large,McKenzie,6360,0.009
at large,McLean,8962,0.013
at large,Mercer,8424,0.013
at large,Morton,27471,0.041
at large,Mountrail,7673,0.011
at large,Nelson,3126,0.005
at large,Oliver,1846,0.003
at large,Pembina,7413,0.011
at large,Pierce,4357,0.006
at large,Ramsey,11451,0.017
at large,Ransom,5457,0.008
at large,Renville,2470,0.004
at large,Richland,16321,0.024
at large,Rolette,13937,0.021
at large,Sargent,3829,0.006
at large,Sheridan,1321,0.002
at large,Sioux,4153,0.006
at large,Slope,727,0.001
at large,Stark,24199,0.036
at large,Steele,1975,0.003
at large,Stutsman,21100,0.031
at large,Towner,2246,0.003
at large,Traill,8121,0.012
at large,Walsh,11119,0.017
at large,Ward,61675,0.092
at large,Wells,4207,0.006
at large,Williams,22398,0.033
