CD #,County,County Pop. in CD,% of CD in County
1,Caroline county,28545,0.039
1,Essex county,11151,0.015
1,Fauquier county,14762,0.02
1,Gloucester county,36858,0.051
1,Hanover county,99863,0.137
1,James City,50453,0.069
1,King and Queen county,6945,0.01
1,King George county,23584,0.032
1,King William county,15935,0.022
1,Lancaster county,11391,0.016
1,Mathews county,8978,0.012
1,Middlesex county,10959,0.015
1,New Kent county,18429,0.025
1,Northumberland county,12330,0.017
1,Prince William county,167068,0.23
1,Richmond county,9254,0.013
1,Spotsylvania county,30160,0.041
1,Stafford county,128961,0.177
1,Westmoreland county,17454,0.024
1,Fredericksburg city,24286,0.033
2,Accomack county,33164,0.047
2,James City,16556,0.023
2,Northampton county,12389,0.017
2,York county,65464,0.092
2,Hampton city,33630,0.047
2,Newport News city,32,0
2,Norfolk city,82672,0.117
2,Poquoson city,12150,0.017
2,Virginia Beach city,437994,0.619
2,Williamsburg city,14068,0.02
3,Isle of Wight county,35270,0.047
3,Chesapeake city,110405,0.148
3,Franklin city,8582,0.011
3,Hampton city,103806,0.139
3,Newport News city,180687,0.242
3,Norfolk city,160131,0.214
3,Portsmouth city,95535,0.128
3,Suffolk city,52197,0.07
4,Charles City,7256,0.01
4,Chesterfield county,95473,0.131
4,Dinwiddie county,28001,0.038
4,Greensville county,12243,0.017
4,Henrico county,84198,0.116
4,Prince George county,35725,0.049
4,Southampton county,18570,0.026
4,Surry county,7058,0.01
4,Sussex county,12087,0.017
4,Chesapeake city,111804,0.154
4,Colonial Heights city,17411,0.024
4,Emporia city,5927,0.008
4,Hopewell city,22591,0.031
4,Petersburg city,32420,0.045
4,Richmond city,204214,0.281
4,Suffolk city,32388,0.045
5,Albemarle county,98970,0.136
5,Appomattox county,14973,0.021
5,Bedford County,45209,0.062
5,Brunswick county,17434,0.024
5,Buckingham county,17146,0.024
5,Campbell county,54842,0.075
5,Charlotte county,12586,0.017
5,Cumberland county,10052,0.014
5,Fauquier county,50441,0.069
5,Fluvanna county,25691,0.035
5,Franklin county,56159,0.077
5,Greene county,18403,0.025
5,Halifax county,36241,0.05
5,Henry county,14472,0.02
5,Lunenburg county,12914,0.018
5,Madison county,13308,0.018
5,Mecklenburg county,32727,0.045
5,Nelson county,15020,0.021
5,Pittsylvania county,63506,0.087
5,Prince Edward county,23368,0.032
5,Rappahannock county,7373,0.01
5,Warren county,133,0
5,Charlottesville city,43475,0.06
5,Danville city,43055,0.059
6,Amherst county,32353,0.044
6,Augusta county,73750,0.101
6,Bath county,4731,0.007
6,Bedford County,29689,0.041
6,Botetourt county,33148,0.046
6,Highland county,2321,0.003
6,Page county,24042,0.033
6,Roanoke county,69185,0.095
6,Rockbridge county,22307,0.031
6,Rockingham county,76314,0.105
6,Shenandoah county,41993,0.058
6,Warren county,37442,0.051
6,Buena Vista city,6650,0.009
6,Harrisonburg city,48914,0.067
6,Lexington city,7042,0.01
6,Lynchburg city,75568,0.104
6,Roanoke city,97032,0.133
6,Staunton city,23746,0.033
6,Waynesboro city,21006,0.029
7,Amelia county,12690,0.017
7,Chesterfield county,220763,0.304
7,Culpeper county,46689,0.064
7,Goochland county,21717,0.03
7,Henrico county,222737,0.306
7,Louisa county,33153,0.046
7,Nottoway county,15853,0.022
7,Orange county,33481,0.046
7,Powhatan county,28046,0.039
7,Spotsylvania county,92237,0.127
8,Arlington county,207627,0.285
8,Fairfax county,367441,0.505
8,Alexandria city,139966,0.192
8,Falls Church city,12332,0.017
9,Alleghany county,16250,0.022
9,Bland county,6824,0.009
9,Buchanan county,24098,0.033
9,Carroll county,30042,0.041
9,Craig county,5190,0.007
9,Dickenson county,15903,0.022
9,Floyd county,15279,0.021
9,Giles county,17286,0.024
9,Grayson county,15533,0.021
9,Henry county,39679,0.055
9,Lee county,25587,0.035
9,Montgomery county,94392,0.13
9,Patrick county,18490,0.025
9,Pulaski county,34872,0.048
9,Roanoke county,23191,0.032
9,Russell county,28897,0.04
9,Scott county,23177,0.032
9,Smyth county,32208,0.044
9,Tazewell county,45078,0.062
9,Washington county,54876,0.075
9,Wise county,41452,0.057
9,Wythe county,29235,0.04
9,Bristol city,17835,0.025
9,Covington city,5961,0.008
9,Galax city,7042,0.01
9,Martinsville city,13821,0.019
9,Norton city,3958,0.005
9,Radford city,16408,0.023
9,Salem city,24802,0.034
10,Clarke county,14034,0.019
10,Fairfax county,186406,0.256
10,Frederick county,78305,0.108
10,Loudoun county,312311,0.429
10,Prince William county,58012,0.08
10,Manassas city,37821,0.052
10,Manassas Park city,14273,0.02
10,Winchester city,26203,0.036
11,Fairfax county,527879,0.726
11,Prince William county,176922,0.243
11,Fairfax city,22565,0.031
