CD #,County,County Pop. in CD,% of CD in County
at large,Albany,36299,0.064
at large,Big Horn,11668,0.021
at large,Campbell,46133,0.082
at large,Carbon,15885,0.028
at large,Converse,13833,0.025
at large,Crook,7083,0.013
at large,Fremont,40123,0.071
at large,Goshen,13249,0.024
at large,Hot Springs,4812,0.009
at large,Johnson,8569,0.015
at large,Laramie,91738,0.163
at large,Lincoln,18106,0.032
at large,Natrona,75450,0.134
at large,Niobrara,2484,0.004
at large,Park,28205,0.05
at large,Platte,8667,0.015
at large,Sheridan,29116,0.052
at large,Sublette,10247,0.018
at large,Sweetwater,43806,0.078
at large,Teton,21294,0.038
at large,Uinta,21118,0.037
at large,Washakie,8533,0.015
at large,Weston,7208,0.013
