County,CD #,CD Pop. in County,% of County in CD
Aleutians East Borough,at large,3141,1
Aleutians West Census Area,at large,5561,1
Anchorage,at large,291826,1
Bethel Census Area,at large,17013,1
Bristol Bay Borough,at large,997,1
Denali Borough,at large,1826,1
Dillingham Census Area,at large,4847,1
Fairbanks North Star Borough,at large,97581,1
Haines Borough,at large,2508,1
Hoonah-Angoon Census Area,at large,2150,1
Juneau,at large,31275,1
Kenai Peninsula Borough,at large,55400,1
Ketchikan Gateway Borough,at large,13477,1
Kodiak Island Borough,at large,13592,1
Kusilvak Census Area,at large,7459,1
Lake and Peninsula Borough,at large,1631,1
Matanuska-Susitna Borough,at large,88995,1
Nome Census Area,at large,9492,1
North Slope Borough,at large,9430,1
Northwest Arctic Borough,at large,7523,1
Petersburg Census Area,at large,3815,1
Prince of Wales-Hyder Census Area,at large,5559,1
Sitka,at large,8881,1
Skagway Municipality,at large,968,1
Southeast Fairbanks Census Area,at large,7029,1
Valdez-Cordova Census Area,at large,9636,1
Wrangell City and Borough,at large,2369,1
Yakutat,at large,662,1
Yukon-Koyukuk Census Area,at large,5588,1
