County,CD #,CD Pop. in County,% of County in CD
Autauga,2,54571,1
Baldwin,1,182265,1
Barbour,2,27457,1
Bibb,6,22915,1
Blount,4,4892,0.085
Blount,6,52430,0.915
Bullock,2,10914,1
Butler,2,20947,1
Calhoun,3,118572,1
Chambers,3,34215,1
Cherokee,3,24215,0.932
Cherokee,4,1774,0.068
Chilton,6,43643,1
Choctaw,7,13859,1
Clarke,1,8595,0.333
Clarke,7,17238,0.667
Clay,3,13932,1
Cleburne,3,14972,1
Coffee,2,49948,1
Colbert,4,54428,1
Conecuh,2,13228,1
Coosa,6,11539,1
Covington,2,37765,1
Crenshaw,2,13906,1
Cullman,4,80406,1
Dale,2,50251,1
Dallas,7,43820,1
DeKalb,4,71109,1
Elmore,2,79303,1
Escambia,1,38319,1
Etowah,4,104430,1
Fayette,4,17241,1
Franklin,4,31704,1
Geneva,2,26790,1
Greene,7,9045,1
Hale,7,15760,1
Henry,2,17302,1
Houston,2,101547,1
Jackson,4,200,0.004
Jackson,5,53027,0.996
Jefferson,6,357207,0.542
Jefferson,7,301259,0.458
Lamar,4,14564,1
Lauderdale,5,92709,1
Lawrence,4,34339,1
Lee,3,140247,1
Limestone,5,82782,1
Lowndes,7,11299,1
Macon,3,21452,1
Madison,5,334811,1
Marengo,7,21027,1
Marion,4,30776,1
Marshall,4,93019,1
Mobile,1,412992,1
Monroe,1,23068,1
Montgomery,2,145992,0.637
Montgomery,3,31854,0.139
Montgomery,7,51517,0.225
Morgan,5,119490,1
Perry,7,10591,1
Pickens,7,19746,1
Pike,2,32899,1
Randolph,3,22913,1
Russell,3,52947,1
St. Clair,3,83593,1
Shelby,6,195085,1
Sumter,7,13763,1
Talladega,3,82291,1
Tallapoosa,3,41616,1
Tuscaloosa,4,52430,0.269
Tuscaloosa,7,142226,0.731
Walker,4,67023,1
Washington,1,17581,1
Wilcox,7,11670,1
Winston,4,24484,1
