County,CD #,CD Pop. in County,% of County in CD
Arkansas,1,19019,1
Ashley,4,21853,1
Baxter,1,41513,1
Benton,3,221339,1
Boone,3,36903,1
Bradley,4,11508,1
Calhoun,4,5368,1
Carroll,3,27446,1
Chicot,1,11800,1
Clark,4,22995,1
Clay,1,16083,1
Cleburne,1,25970,1
Cleveland,4,8689,1
Columbia,4,24552,1
Conway,2,21273,1
Craighead,1,96443,1
Crawford,3,44616,0.72
Crawford,4,17332,0.28
Crittenden,1,50902,1
Cross,1,17870,1
Dallas,4,8116,1
Desha,1,13008,1
Drew,4,18509,1
Faulkner,2,113237,1
Franklin,4,18125,1
Fulton,1,12245,1
Garland,4,96024,1
Grant,4,17853,1
Greene,1,42090,1
Hempstead,4,22609,1
Hot Spring,4,32923,1
Howard,4,13789,1
Independence,1,36647,1
Izard,1,13696,1
Jackson,1,17997,1
Jefferson,1,2679,0.035
Jefferson,4,74756,0.965
Johnson,4,25540,1
Lafayette,4,7645,1
Lawrence,1,17415,1
Lee,1,10424,1
Lincoln,1,14134,1
Little River,4,13171,1
Logan,4,22353,1
Lonoke,1,68356,1
Madison,4,15717,1
Marion,3,16653,1
Miller,4,43462,1
Mississippi,1,46480,1
Monroe,1,8149,1
Montgomery,4,9487,1
Nevada,4,8997,1
Newton,3,4071,0.489
Newton,4,4259,0.511
Ouachita,4,26120,1
Perry,2,10445,1
Phillips,1,21757,1
Pike,4,11291,1
Poinsett,1,24583,1
Polk,4,20662,1
Pope,3,61754,1
Prairie,1,8715,1
Pulaski,2,382748,1
Randolph,1,17969,1
St. Francis,1,28258,1
Saline,2,107118,1
Scott,4,11233,1
Searcy,1,7645,0.933
Searcy,3,550,0.067
Sebastian,3,112539,0.895
Sebastian,4,13205,0.105
Sevier,4,17058,1
Sharp,1,17264,1
Stone,1,12394,1
Union,4,41639,1
Van Buren,2,17295,1
Washington,3,203065,1
White,2,77076,1
Woodruff,1,7260,1
Yell,4,22185,1
