County,CD #,CD Pop. in County,% of County in CD
Apache,1,71518,1
Cochise,2,131346,1
Coconino,1,134421,1
Gila,1,26230,0.489
Gila,4,27367,0.511
Graham,1,37220,1
Greenlee,1,8437,1
La Paz,4,20489,1
Maricopa,1,2994,0.001
Maricopa,3,225734,0.059
Maricopa,4,37268,0.01
Maricopa,5,710224,0.186
Maricopa,6,710031,0.186
Maricopa,7,710224,0.186
Maricopa,8,710418,0.186
Maricopa,9,710224,0.186
Mohave,1,1635,0.008
Mohave,4,198551,0.992
Navajo,1,107449,1
Pima,1,92091,0.094
Pima,2,578865,0.591
Pima,3,309307,0.316
Pinal,1,197677,0.526
Pinal,3,545,0.001
Pinal,4,177548,0.472
Santa Cruz,3,47420,1
Yavapai,1,30521,0.145
Yavapai,4,180512,0.855
Yuma,3,127231,0.65
Yuma,4,68520,0.35
