County,CD #,CD Pop. in County,% of County in CD
Adams,4,7166,0.016
Adams,6,105561,0.239
Adams,7,328876,0.745
Alamosa,3,15445,1
Arapahoe,1,50170,0.088
Arapahoe,4,7220,0.013
Arapahoe,6,514613,0.9
Archuleta,3,12084,1
Baca,4,3788,1
Bent,4,6499,1
Boulder,2,206113,0.7
Boulder,4,88454,0.3
Broomfield,2,55889,1
Chaffee,5,17809,1
Cheyenne,4,1836,1
Clear Creek,2,9088,1
Conejos,3,8256,1
Costilla,3,3524,1
Crowley,4,5823,1
Custer,3,4255,1
Delta,3,30952,1
Denver,1,600158,1
Dolores,3,2064,1
Douglas,4,187183,0.656
Douglas,6,98282,0.344
Eagle,2,14636,0.28
Eagle,3,37561,0.72
Elbert,4,23086,1
El Paso,5,622263,1
Fremont,5,46824,1
Garfield,3,56389,1
Gilpin,2,5441,1
Grand,2,14843,1
Gunnison,3,15324,1
Hinsdale,3,843,1
Huerfano,3,6711,1
Jackson,3,1394,1
Jefferson,1,68129,0.127
Jefferson,2,76853,0.144
Jefferson,7,389561,0.729
Kiowa,4,1398,1
Kit Carson,4,8270,1
Lake,3,7310,1
La Plata,3,51334,1
Larimer,2,299630,1
Las Animas,4,15507,1
Lincoln,4,5467,1
Logan,4,22709,1
Mesa,3,146723,1
Mineral,3,712,1
Moffat,3,13795,1
Montezuma,3,25535,1
Montrose,3,41276,1
Morgan,4,28159,1
Otero,4,18831,1
Ouray,3,4436,1
Park,2,7995,0.493
Park,5,8211,0.507
Phillips,4,4442,1
Pitkin,3,17148,1
Prowers,4,12551,1
Pueblo,3,159063,1
Rio Blanco,3,6666,1
Rio Grande,3,11982,1
Routt,3,23509,1
Saguache,3,6108,1
San Juan,3,699,1
San Miguel,3,7359,1
Sedgwick,4,2379,1
Summit,2,27994,1
Teller,5,23350,1
Washington,4,4814,1
Weld,4,252825,1
Yuma,4,10043,1
