County,CD #,CD Pop. in County,% of County in CD
Appling,12,18236,1
Atkinson,8,8375,1
Bacon,1,11096,1
Baker,2,3451,1
Baldwin,10,45720,1
Banks,9,18395,1
Barrow,10,69367,1
Bartow,11,100157,1
Ben Hill,8,17634,1
Berrien,8,19286,1
Bibb,2,112650,0.724
Bibb,8,42897,0.276
Bleckley,8,13063,1
Brantley,1,18411,1
Brooks,8,16243,1
Bryan,1,30233,1
Bulloch,12,70217,1
Burke,12,23316,1
Butts,10,23655,1
Calhoun,2,6694,1
Camden,1,50513,1
Candler,12,10998,1
Carroll,3,110527,1
Catoosa,14,63942,1
Charlton,1,12171,1
Chatham,1,265128,1
Chattahoochee,2,11267,1
Chattooga,14,26015,1
Cherokee,11,214346,1
Clarke,9,17178,0.147
Clarke,10,99536,0.853
Clay,2,3183,1
Clayton,5,103264,0.398
Clayton,13,156160,0.602
Clinch,1,6798,1
Cobb,6,178647,0.26
Cobb,11,337811,0.491
Cobb,13,171620,0.249
Coffee,12,42356,1
Colquitt,8,45498,1
Columbia,10,15328,0.124
Columbia,12,108725,0.876
Cook,8,17212,1
Coweta,3,127317,1
Crawford,2,12630,1
Crisp,2,23439,1
Dade,14,16633,1
Dawson,9,22330,1
Decatur,2,27842,1
DeKalb,4,354275,0.512
DeKalb,5,159596,0.231
DeKalb,6,178022,0.257
Dodge,8,21796,1
Dooly,2,14918,1
Dougherty,2,94565,1
Douglas,13,132403,1
Early,2,11008,1
Echols,1,4034,1
Effingham,1,30877,0.591
Effingham,12,21373,0.409
Elbert,9,20166,1
Emanuel,12,22598,1
Evans,12,11000,1
Fannin,9,23682,1
Fayette,3,88905,0.834
Fayette,13,17662,0.166
Floyd,14,96317,1
Forsyth,7,122706,0.699
Forsyth,9,52805,0.301
Franklin,9,22084,1
Fulton,5,429116,0.466
Fulton,6,335306,0.364
Fulton,11,39661,0.043
Fulton,13,116498,0.127
Gilmer,9,28292,1
Glascock,10,3082,1
Glynn,1,79626,1
Gordon,14,55186,1
Grady,2,25011,1
Greene,10,15994,1
Gwinnett,4,173937,0.216
Gwinnett,7,569270,0.707
Gwinnett,10,62114,0.077
Habersham,9,43041,1
Hall,9,179684,1
Hancock,10,9429,1
Haralson,14,28780,1
Harris,3,32024,1
Hart,9,25213,1
Heard,3,11834,1
Henry,3,60521,0.297
Henry,10,45768,0.224
Henry,13,97633,0.479
Houston,8,139900,1
Irwin,8,9538,1
Jackson,9,60485,1
Jasper,10,13900,1
Jeff Davis,12,15068,1
Jefferson,10,16930,1
Jenkins,12,8340,1
Johnson,10,9980,1
Jones,8,28669,1
Lamar,3,18317,1
Lanier,8,10078,1
Laurens,12,48434,1
Lee,2,28298,1
Liberty,1,63453,1
Lincoln,10,7996,1
Long,1,14464,1
Lowndes,1,5668,0.052
Lowndes,8,103565,0.948
Lumpkin,9,29966,1
McDuffie,10,21875,1
McIntosh,1,14333,1
Macon,2,14740,1
Madison,9,28120,1
Marion,2,8742,1
Meriwether,3,21992,1
Miller,2,6125,1
Mitchell,2,23498,1
Monroe,8,26424,1
Montgomery,12,9123,1
Morgan,10,17868,1
Murray,14,39628,1
Muscogee,2,145487,0.766
Muscogee,3,44398,0.234
Newton,4,78548,0.786
Newton,10,21410,0.214
Oconee,10,32808,1
Oglethorpe,10,14899,1
Paulding,14,142324,1
Peach,2,27695,1
Pickens,9,19112,0.649
Pickens,14,10319,0.351
Pierce,1,18758,1
Pike,3,17869,1
Polk,14,41475,1
Pulaski,8,12010,1
Putnam,10,21218,1
Quitman,2,2513,1
Rabun,9,16276,1
Randolph,2,7719,1
Richmond,12,200549,1
Rockdale,4,85215,1
Schley,2,5010,1
Screven,12,14593,1
Seminole,2,8729,1
Spalding,3,64073,1
Stephens,9,26175,1
Stewart,2,6058,1
Sumter,2,32819,1
Talbot,2,6865,1
Taliaferro,10,1717,1
Tattnall,12,25520,1
Taylor,2,8906,1
Telfair,8,16500,1
Terrell,2,9315,1
Thomas,8,44720,1
Tift,8,40118,1
Toombs,12,27223,1
Towns,9,10471,1
Treutlen,12,6885,1
Troup,3,67044,1
Turner,8,8930,1
Twiggs,8,9023,1
Union,9,21356,1
Upson,3,27153,1
Walker,14,68756,1
Walton,10,83768,1
Ware,1,36312,1
Warren,10,5834,1
Washington,10,21187,1
Wayne,1,30099,1
Webster,2,2799,1
Wheeler,12,7421,1
White,9,27144,1
Whitfield,14,102599,1
Wilcox,8,9255,1
Wilkes,10,10593,1
Wilkinson,8,9563,1
Worth,8,21679,1
