County,CD #,CD Pop. in County,% of County in CD
Adair,3,7682,1
Adams,3,4029,1
Allamakee,1,14330,1
Appanoose,2,12887,1
Audubon,4,6119,1
Benton,1,26076,1
Black Hawk,1,131090,1
Boone,4,26306,1
Bremer,1,24276,1
Buchanan,1,20958,1
Buena Vista,4,20260,1
Butler,4,14867,1
Calhoun,4,9670,1
Carroll,4,20816,1
Cass,3,13956,1
Cedar,2,18499,1
Cerro Gordo,4,44151,1
Cherokee,4,12072,1
Chickasaw,4,12439,1
Clarke,2,9286,1
Clay,4,16667,1
Clayton,1,18129,1
Clinton,2,49116,1
Crawford,4,17096,1
Dallas,3,66135,1
Davis,2,8753,1
Decatur,2,8457,1
Delaware,1,17764,1
Des Moines,2,40325,1
Dickinson,4,16667,1
Dubuque,1,93653,1
Emmet,4,10302,1
Fayette,1,20880,1
Floyd,4,16303,1
Franklin,4,10680,1
Fremont,3,7441,1
Greene,4,9336,1
Grundy,4,12453,1
Guthrie,3,10954,1
Hamilton,4,15673,1
Hancock,4,11341,1
Hardin,4,17534,1
Harrison,4,14928,1
Henry,2,20145,1
Howard,1,9566,1
Humboldt,4,9815,1
Ida,4,7089,1
Iowa,1,16355,1
Jackson,1,19848,1
Jasper,2,36842,1
Jefferson,2,16843,1
Johnson,2,130882,1
Jones,1,20638,1
Keokuk,2,10511,1
Kossuth,4,15543,1
Lee,2,35862,1
Linn,1,211226,1
Louisa,2,11387,1
Lucas,2,8898,1
Lyon,4,11581,1
Madison,3,15679,1
Mahaska,2,22381,1
Marion,2,33309,1
Marshall,1,40648,1
Mills,3,15059,1
Mitchell,1,10776,1
Monona,4,9243,1
Monroe,2,7970,1
Montgomery,3,10740,1
Muscatine,2,42745,1
OBrien,4,14398,1
Osceola,4,6462,1
Page,3,15932,1
Palo Alto,4,9421,1
Plymouth,4,24986,1
Pocahontas,4,7310,1
Polk,3,430640,1
Pottawattamie,3,93158,1
Poweshiek,1,18914,1
Ringgold,3,5131,1
Sac,4,10350,1
Scott,2,165224,1
Shelby,4,12167,1
Sioux,4,33704,1
Story,4,89542,1
Tama,1,17767,1
Taylor,3,6317,1
Union,3,12534,1
Van Buren,2,7570,1
Wapello,2,35625,1
Warren,3,46225,1
Washington,2,21704,1
Wayne,2,6403,1
Webster,4,38013,1
Winnebago,4,10866,1
Winneshiek,1,21056,1
Woodbury,4,102172,1
Worth,1,7598,1
Wright,4,13229,1
