County,CD #,CD Pop. in County,% of County in CD
Ada,1,195528,0.498
Ada,2,196837,0.502
Adams,1,3976,1
Bannock,2,82839,1
Bear Lake,2,5986,1
Benewah,1,9285,1
Bingham,2,45607,1
Blaine,2,21376,1
Boise,1,7028,1
Bonner,1,40877,1
Bonneville,2,104234,1
Boundary,1,10972,1
Butte,2,2891,1
Camas,2,1117,1
Canyon,1,188923,1
Caribou,2,6963,1
Cassia,2,22952,1
Clark,2,982,1
Clearwater,1,8761,1
Custer,2,4368,1
Elmore,2,27038,1
Franklin,2,12786,1
Fremont,2,13242,1
Gem,1,16719,1
Gooding,2,15464,1
Idaho,1,16267,1
Jefferson,2,26140,1
Jerome,2,22374,1
Kootenai,1,138494,1
Latah,1,37244,1
Lemhi,2,7936,1
Lewis,1,3821,1
Lincoln,2,5208,1
Madison,2,37536,1
Minidoka,2,20069,1
Nez Perce,1,39265,1
Oneida,2,4286,1
Owyhee,1,11526,1
Payette,1,22623,1
Power,2,7817,1
Shoshone,1,12765,1
Teton,2,10170,1
Twin Falls,2,77230,1
Valley,1,9862,1
Washington,1,10198,1
