County,CD #,CD Pop. in County,% of County in CD
Adams,3,34387,1
Allen,3,355329,1
Bartholomew,6,76794,1
Benton,4,8854,1
Blackford,3,3069,0.24
Blackford,5,9697,0.76
Boone,4,31073,0.549
Boone,5,25567,0.451
Brown,9,15242,1
Carroll,4,20155,1
Cass,4,38966,1
Clark,9,110232,1
Clay,8,26890,1
Clinton,4,33224,1
Crawford,8,1667,0.156
Crawford,9,9046,0.844
Daviess,8,31648,1
Dearborn,6,50047,1
Decatur,6,25740,1
DeKalb,3,42223,1
Delaware,6,117671,1
Dubois,8,41889,1
Elkhart,2,197559,1
Fayette,6,24277,1
Floyd,9,74578,1
Fountain,4,17240,1
Franklin,6,23087,1
Fulton,2,20836,1
Gibson,8,33503,1
Grant,5,70061,1
Greene,8,33165,1
Hamilton,5,274569,1
Hancock,6,70002,1
Harrison,9,39364,1
Hendricks,4,145448,1
Henry,6,49462,1
Howard,4,72765,0.879
Howard,5,9987,0.121
Huntington,3,37124,1
Jackson,9,42376,1
Jasper,4,33478,1
Jay,3,21253,1
Jefferson,6,32428,1
Jennings,6,28525,1
Johnson,9,139654,1
Knox,8,38440,1
Kosciusko,2,30097,0.389
Kosciusko,3,47261,0.611
Lagrange,3,37128,1
Lake,1,496005,1
LaPorte,1,60074,0.539
LaPorte,2,51393,0.461
Lawrence,9,46134,1
Madison,5,131636,1
Marion,5,182970,0.203
Marion,7,720423,0.797
Marshall,2,47051,1
Martin,8,10334,1
Miami,2,36903,1
Monroe,9,137974,1
Montgomery,4,38124,1
Morgan,4,22957,0.333
Morgan,9,45937,0.667
Newton,4,14244,1
Noble,3,47536,1
Ohio,6,6128,1
Orange,9,19840,1
Owen,8,21575,1
Parke,8,17339,1
Perry,8,19338,1
Pike,8,12845,1
Porter,1,164343,1
Posey,8,25910,1
Pulaski,2,13402,1
Putnam,4,37963,1
Randolph,6,26171,1
Ripley,6,28818,1
Rush,6,17392,1
St. Joseph,2,266931,1
Scott,6,12398,0.513
Scott,9,11783,0.487
Shelby,6,44436,1
Spencer,8,20952,1
Starke,2,23363,1
Steuben,3,34185,1
Sullivan,8,21475,1
Switzerland,6,10613,1
Tippecanoe,4,172780,1
Tipton,5,15936,1
Union,6,7516,1
Vanderburgh,8,179703,1
Vermillion,8,16212,1
Vigo,8,107848,1
Wabash,2,32888,1
Warren,4,8508,1
Warrick,8,59689,1
Washington,9,28262,1
Wayne,6,68917,1
Wells,3,27636,1
White,4,24643,1
Whitley,3,33292,1
