County,CD #,CD Pop. in County,% of County in CD
Allen,2,13371,1
Anderson,2,8102,1
Atchison,2,16924,1
Barber,4,4861,1
Barton,1,27674,1
Bourbon,2,15173,1
Brown,2,9984,1
Butler,4,65880,1
Chase,1,2790,1
Chautauqua,4,3669,1
Cherokee,2,21603,1
Cheyenne,1,2726,1
Clark,1,2215,1
Clay,1,8535,1
Cloud,1,9533,1
Coffey,2,8601,1
Comanche,4,1891,1
Cowley,4,36311,1
Crawford,2,39134,1
Decatur,1,2961,1
Dickinson,1,19754,1
Doniphan,2,7945,1
Douglas,2,110826,1
Edwards,4,3037,1
Elk,4,2882,1
Ellis,1,28452,1
Ellsworth,1,6497,1
Finney,1,36776,1
Ford,1,33848,1
Franklin,2,25992,1
Geary,1,34362,1
Gove,1,2695,1
Graham,1,2597,1
Grant,1,7829,1
Gray,1,6006,1
Greeley,1,1247,1
Greenwood,4,6689,1
Hamilton,1,2690,1
Harper,4,6034,1
Harvey,4,34684,1
Haskell,1,4256,1
Hodgeman,1,1916,1
Jackson,2,13462,1
Jefferson,2,19126,1
Jewell,1,3077,1
Johnson,3,544179,1
Kearny,1,3977,1
Kingman,4,7858,1
Kiowa,4,2553,1
Labette,2,21607,1
Lane,1,1750,1
Leavenworth,2,76227,1
Lincoln,1,3241,1
Linn,2,9656,1
Logan,1,2756,1
Lyon,1,33690,1
McPherson,1,29180,1
Marion,1,12660,1
Marshall,1,4870,0.481
Marshall,2,5247,0.519
Meade,1,4575,1
Miami,2,21184,0.646
Miami,3,11603,0.354
Mitchell,1,6373,1
Montgomery,2,35471,1
Morris,1,5923,1
Morton,1,3233,1
Nemaha,2,10178,1
Neosho,2,16512,1
Ness,1,3107,1
Norton,1,5671,1
Osage,2,16295,1
Osborne,1,3858,1
Ottawa,1,6091,1
Pawnee,1,6631,0.951
Pawnee,4,342,0.049
Phillips,1,5642,1
Pottawatomie,1,21604,1
Pratt,4,9656,1
Rawlins,1,2519,1
Reno,1,64511,1
Republic,1,4980,1
Rice,1,10083,1
Riley,1,71115,1
Rooks,1,5181,1
Rush,1,3307,1
Russell,1,6970,1
Saline,1,55606,1
Scott,1,4936,1
Sedgwick,4,498365,1
Seward,1,22952,1
Shawnee,2,177934,1
Sheridan,1,2556,1
Sherman,1,6010,1
Smith,1,3853,1
Stafford,4,4437,1
Stanton,1,2235,1
Stevens,1,5724,1
Sumner,4,24132,1
Thomas,1,7900,1
Trego,1,3001,1
Wabaunsee,1,7053,1
Wallace,1,1485,1
Washington,1,5799,1
Wichita,1,2234,1
Wilson,2,9409,1
Woodson,2,3309,1
Wyandotte,3,157505,1
