County,CD #,CD Pop. in County,% of County in CD
Alcona,1,10942,1
Alger,1,9601,1
Allegan,2,2424,0.022
Allegan,6,108984,0.978
Alpena,1,29598,1
Antrim,1,23580,1
Arenac,5,15899,1
Baraga,1,8860,1
Barry,3,59173,1
Bay,5,107771,1
Benzie,1,17525,1
Berrien,6,156813,1
Branch,7,45248,1
Calhoun,3,136146,1
Cass,6,52293,1
Charlevoix,1,25949,1
Cheboygan,1,26152,1
Chippewa,1,38520,1
Clare,4,30926,1
Clinton,4,75382,1
Crawford,1,14074,1
Delta,1,37069,1
Dickinson,1,26168,1
Eaton,7,107759,1
Emmet,1,32694,1
Genesee,5,425790,1
Gladwin,4,25692,1
Gogebic,1,16427,1
Grand Traverse,1,86986,1
Gratiot,4,42476,1
Hillsdale,7,46688,1
Houghton,1,36628,1
Huron,10,33118,1
Ingham,8,280895,1
Ionia,3,63905,1
Iosco,5,25887,1
Iron,1,11817,1
Isabella,4,70311,1
Jackson,7,160248,1
Kalamazoo,6,250331,1
Kalkaska,1,17153,1
Kent,2,159860,0.265
Kent,3,442762,0.735
Keweenaw,1,2156,1
Lake,2,11539,1
Lapeer,10,88319,1
Leelanau,1,21708,1
Lenawee,7,99892,1
Livingston,8,180967,1
Luce,1,6631,1
Mackinac,1,11113,1
Macomb,9,500365,0.595
Macomb,10,340613,0.405
Manistee,1,24733,1
Marquette,1,67077,1
Mason,1,7574,0.264
Mason,2,21131,0.736
Mecosta,4,42798,1
Menominee,1,24029,1
Midland,4,83629,1
Missaukee,4,14849,1
Monroe,7,152021,1
Montcalm,3,3990,0.063
Montcalm,4,59352,0.937
Montmorency,1,9765,1
Muskegon,2,172188,1
Newaygo,2,48460,1
Oakland,8,244106,0.203
Oakland,9,205474,0.171
Oakland,10,7,0
Oakland,11,450967,0.375
Oakland,14,301808,0.251
Oceana,2,26570,1
Ogemaw,4,21699,1
Ontonagon,1,6780,1
Osceola,4,23528,1
Oscoda,1,8640,1
Otsego,1,24164,1
Ottawa,2,263801,1
Presque Isle,1,13376,1
Roscommon,4,24449,1
Saginaw,4,87500,0.437
Saginaw,5,112669,0.563
St. Clair,10,163040,1
St. Joseph,6,61295,1
Sanilac,10,43114,1
Schoolcraft,1,8485,1
Shiawassee,4,70648,1
Tuscola,5,17959,0.322
Tuscola,10,37770,0.678
Van Buren,6,76258,1
Washtenaw,7,94118,0.273
Washtenaw,12,250673,0.727
Wayne,9,5,0
Wayne,11,255007,0.14
Wayne,12,455257,0.25
Wayne,13,706018,0.388
Wayne,14,404297,0.222
Wexford,4,32735,1
