County,CD #,CD Pop. in County,% of County in CD
Aitkin,8,16202,1
Anoka,3,61476,0.186
Anoka,5,53682,0.162
Anoka,6,215686,0.652
Becker,7,32504,1
Beltrami,7,30001,0.675
Beltrami,8,14441,0.325
Benton,6,38451,1
Big Stone,7,5269,1
Blue Earth,1,64013,1
Brown,1,25893,1
Carlton,8,35386,1
Carver,3,56363,0.619
Carver,6,34679,0.381
Cass,8,28567,1
Chippewa,7,12441,1
Chisago,8,53887,1
Clay,7,58999,1
Clearwater,7,8695,1
Cook,8,5176,1
Cottonwood,1,3803,0.325
Cottonwood,7,7884,0.675
Crow Wing,8,62500,1
Dakota,2,398552,1
Dodge,1,20087,1
Douglas,7,36009,1
Faribault,1,14553,1
Fillmore,1,20866,1
Freeborn,1,31255,1
Goodhue,2,46183,1
Grant,7,6018,1
Hennepin,3,545151,0.473
Hennepin,5,606239,0.526
Hennepin,6,1035,0.001
Houston,1,19027,1
Hubbard,8,20428,1
Isanti,8,37816,1
Itasca,8,45058,1
Jackson,1,10266,1
Kanabec,8,16239,1
Kandiyohi,7,42239,1
Kittson,7,4552,1
Koochiching,8,13311,1
Lac qui Parle,7,7259,1
Lake,8,10866,1
Lake of the Woods,7,4045,1
Le Sueur,1,27703,1
Lincoln,7,5896,1
Lyon,7,25857,1
McLeod,7,36651,1
Mahnomen,7,5413,1
Marshall,7,9439,1
Martin,1,20840,1
Meeker,7,23300,1
Mille Lacs,8,26097,1
Morrison,8,33198,1
Mower,1,39163,1
Murray,7,8725,1
Nicollet,1,32727,1
Nobles,1,21378,1
Norman,7,6852,1
Olmsted,1,144248,1
Otter Tail,7,57303,1
Pennington,7,13930,1
Pine,8,29750,1
Pipestone,7,9596,1
Polk,7,31600,1
Pope,7,10995,1
Ramsey,4,505570,0.994
Ramsey,5,3070,0.006
Red Lake,7,4089,1
Redwood,7,16059,1
Renville,7,15730,1
Rice,1,39098,0.61
Rice,2,25044,0.39
Rock,1,9687,1
Roseau,7,15629,1
St. Louis,8,200226,1
Scott,2,129928,1
Sherburne,6,88499,1
Sibley,7,15226,1
Stearns,6,120835,0.802
Stearns,7,29807,0.198
Steele,1,36576,1
Stevens,7,9726,1
Swift,7,9783,1
Todd,7,24895,1
Traverse,7,3558,1
Wabasha,2,21676,1
Wadena,8,13843,1
Waseca,1,19136,1
Washington,2,41608,0.175
Washington,4,157420,0.661
Washington,6,39108,0.164
Watonwan,1,11211,1
Wilkin,7,6576,1
Winona,1,51461,1
Wright,6,124700,1
Yellow Medicine,7,10438,1
