County,CD #,CD Pop. in County,% of County in CD
Adair,6,25607,1
Andrew,6,17291,1
Atchison,6,5685,1
Audrain,4,19204,0.752
Audrain,6,6325,0.248
Barry,7,35597,1
Barton,4,12402,1
Bates,4,17049,1
Benton,4,19056,1
Bollinger,8,12363,1
Boone,4,162642,1
Buchanan,6,89201,1
Butler,8,42794,1
Caldwell,6,9424,1
Callaway,3,44332,1
Camden,3,26722,0.607
Camden,4,17280,0.393
Cape Girardeau,8,75674,1
Carroll,6,9295,1
Carter,8,6265,1
Cass,4,99478,1
Cedar,4,13982,1
Chariton,6,7831,1
Christian,7,77422,1
Clark,6,7139,1
Clay,5,73731,0.332
Clay,6,148208,0.668
Clinton,6,20743,1
Cole,3,75990,1
Cooper,4,17601,1
Crawford,8,24696,1
Dade,4,7883,1
Dallas,4,16777,1
Daviess,6,8433,1
DeKalb,6,12892,1
Dent,8,15657,1
Douglas,8,13684,1
Dunklin,8,31953,1
Franklin,3,101492,1
Gasconade,3,15222,1
Gentry,6,6738,1
Greene,7,275174,1
Grundy,6,10261,1
Harrison,6,8957,1
Henry,4,22272,1
Hickory,4,9627,1
Holt,6,4912,1
Howard,4,10144,1
Howell,8,40400,1
Iron,8,10630,1
Jackson,4,21,0
Jackson,5,594619,0.882
Jackson,6,79518,0.118
Jasper,7,117404,1
Jefferson,2,44106,0.202
Jefferson,3,114133,0.522
Jefferson,8,60494,0.277
Johnson,4,52595,1
Knox,6,4131,1
Laclede,4,35571,1
Lafayette,5,33381,1
Lawrence,7,38634,1
Lewis,6,10211,1
Lincoln,3,52566,1
Linn,6,12761,1
Livingston,6,15195,1
McDonald,7,23083,1
Macon,6,15566,1
Madison,8,12226,1
Maries,3,9176,1
Marion,6,28781,1
Mercer,6,3785,1
Miller,3,24748,1
Mississippi,8,14358,1
Moniteau,4,15607,1
Monroe,6,8840,1
Montgomery,3,12236,1
Morgan,4,20565,1
New Madrid,8,18956,1
Newton,7,58114,1
Nodaway,6,23370,1
Oregon,8,10881,1
Osage,3,13878,1
Ozark,8,9723,1
Pemiscot,8,18296,1
Perry,8,18971,1
Pettis,4,42201,1
Phelps,8,45156,1
Pike,6,18516,1
Platte,6,89322,1
Polk,7,31137,1
Pulaski,4,52274,1
Putnam,6,4979,1
Ralls,6,10167,1
Randolph,4,25414,1
Ray,5,23494,1
Reynolds,8,6696,1
Ripley,8,14100,1
St. Charles,2,134878,0.374
St. Charles,3,225607,0.626
St. Clair,4,9805,1
Ste. Genevieve,8,18145,1
St. Francois,8,65359,1
St. Louis,1,429324,0.43
St. Louis,2,569630,0.57
Saline,5,23370,1
Schuyler,6,4431,1
Scotland,6,4843,1
Scott,8,39191,1
Shannon,8,8441,1
Shelby,6,6373,1
Stoddard,8,29968,1
Stone,7,32202,1
Sullivan,6,6714,1
Taney,7,51675,1
Texas,8,26008,1
Vernon,4,21159,1
Warren,3,32513,1
Washington,8,25195,1
Wayne,8,13521,1
Webster,4,28028,0.774
Webster,7,8174,0.226
Worth,6,2171,1
Wright,8,18815,1
St. Louis city,1,319294,1
