County,CD #,CD Pop. in County,% of County in CD
Adams,3,32297,1
Alcorn,1,37057,1
Amite,3,13131,1
Attala,2,19564,1
Benton,1,8729,1
Bolivar,2,34145,1
Calhoun,1,14962,1
Carroll,2,10597,1
Chickasaw,1,17392,1
Choctaw,1,8547,1
Claiborne,2,9604,1
Clarke,3,14694,0.878
Clarke,4,2038,0.122
Clay,1,20634,1
Coahoma,2,26151,1
Copiah,2,29449,1
Covington,3,19568,1
DeSoto,1,161252,1
Forrest,4,74934,1
Franklin,3,8118,1
George,4,22578,1
Greene,4,14400,1
Grenada,2,21906,1
Hancock,4,43929,1
Harrison,4,187105,1
Hinds,2,214647,0.875
Hinds,3,30638,0.125
Holmes,2,19198,1
Humphreys,2,9375,1
Issaquena,2,1406,1
Itawamba,1,23401,1
Jackson,4,139668,1
Jasper,3,17062,1
Jefferson,2,7726,1
Jefferson Davis,3,12487,1
Jones,4,67761,1
Kemper,3,10456,1
Lafayette,1,47351,1
Lamar,4,55658,1
Lauderdale,3,80261,1
Lawrence,3,12929,1
Leake,2,23805,1
Lee,1,82910,1
Leflore,2,32317,1
Lincoln,3,34869,1
Lowndes,1,59779,1
Madison,2,26942,0.283
Madison,3,68261,0.717
Marion,4,27088,1
Marshall,1,37144,1
Monroe,1,36989,1
Montgomery,2,10925,1
Neshoba,3,29676,1
Newton,3,21720,1
Noxubee,3,11545,1
Oktibbeha,1,3161,0.066
Oktibbeha,3,44510,0.934
Panola,2,34707,1
Pearl River,4,55834,1
Perry,4,12250,1
Pike,3,40404,1
Pontotoc,1,29957,1
Prentiss,1,25276,1
Quitman,2,8223,1
Rankin,3,141617,1
Scott,3,28264,1
Sharkey,2,4916,1
Simpson,3,27503,1
Smith,3,16491,1
Stone,4,17786,1
Sunflower,2,29450,1
Tallahatchie,2,15378,1
Tate,1,28886,1
Tippah,1,22232,1
Tishomingo,1,19593,1
Tunica,2,10778,1
Union,1,27134,1
Walthall,3,15443,1
Warren,2,48773,1
Washington,2,51137,1
Wayne,4,20747,1
Webster,1,10253,1
Wilkinson,3,9878,1
Winston,1,19198,1
Yalobusha,2,12678,1
Yazoo,2,28065,1
