County,CD #,CD Pop. in County,% of County in CD
Beaverhead,at large,9246,1
Big Horn,at large,12865,1
Blaine,at large,6491,1
Broadwater,at large,5612,1
Carbon,at large,10078,1
Carter,at large,1160,1
Cascade,at large,81327,1
Chouteau,at large,5813,1
Custer,at large,11699,1
Daniels,at large,1751,1
Dawson,at large,8966,1
Deer Lodge,at large,9298,1
Fallon,at large,2890,1
Fergus,at large,11586,1
Flathead,at large,90928,1
Gallatin,at large,89513,1
Garfield,at large,1206,1
Glacier,at large,13399,1
Golden Valley,at large,884,1
Granite,at large,3079,1
Hill,at large,16096,1
Jefferson,at large,11406,1
Judith Basin,at large,2072,1
Lake,at large,28746,1
Lewis and Clark,at large,63395,1
Liberty,at large,2339,1
Lincoln,at large,19687,1
McCone,at large,1734,1
Madison,at large,7691,1
Meagher,at large,1891,1
Mineral,at large,4223,1
Missoula,at large,109299,1
Musselshell,at large,4538,1
Park,at large,15636,1
Petroleum,at large,494,1
Phillips,at large,4253,1
Pondera,at large,6153,1
Powder River,at large,1743,1
Powell,at large,7027,1
Prairie,at large,1179,1
Ravalli,at large,40212,1
Richland,at large,9746,1
Roosevelt,at large,10425,1
Rosebud,at large,9233,1
Sanders,at large,11413,1
Sheridan,at large,3384,1
Silver Bow,at large,34200,1
Stillwater,at large,9117,1
Sweet Grass,at large,3651,1
Teton,at large,6073,1
Toole,at large,5324,1
Treasure,at large,718,1
Valley,at large,7369,1
Wheatland,at large,2168,1
Wibaux,at large,1017,1
Yellowstone,at large,147972,1
