County,CD #,CD Pop. in County,% of County in CD
Alamance,13,151131,1
Alexander,5,37198,1
Alleghany,5,11155,1
Anson,9,26948,1
Ashe,5,27281,1
Avery,11,17797,1
Beaufort,3,47759,1
Bertie,1,21282,1
Bladen,7,35190,1
Brunswick,7,107431,1
Buncombe,11,238318,1
Burke,5,90912,1
Cabarrus,8,178011,1
Caldwell,5,83029,1
Camden,3,9980,1
Carteret,3,66469,1
Caswell,13,23719,1
Catawba,5,15316,0.099
Catawba,10,139042,0.901
Chatham,4,42882,0.675
Chatham,13,20623,0.325
Cherokee,11,27444,1
Chowan,3,14793,1
Clay,11,10587,1
Cleveland,5,98078,1
Columbus,7,58098,1
Craven,3,103505,1
Cumberland,8,319431,1
Currituck,3,23547,1
Dare,3,33920,1
Davidson,13,162878,1
Davie,13,41240,1
Duplin,3,58505,1
Durham,4,267587,1
Edgecombe,1,56552,1
Forsyth,6,245092,0.699
Forsyth,10,105578,0.301
Franklin,4,60619,1
Gaston,5,206086,1
Gates,1,12197,1
Graham,11,8861,1
Granville,4,59916,1
Greene,1,21362,1
Guilford,6,488406,1
Halifax,1,54691,1
Harnett,7,45587,0.398
Harnett,8,69091,0.602
Haywood,11,59036,1
Henderson,11,106740,1
Hertford,1,24669,1
Hoke,9,46952,1
Hyde,3,5810,1
Iredell,10,157491,0.988
Iredell,13,1946,0.012
Jackson,11,40271,1
Johnston,7,168878,1
Jones,3,10153,1
Lee,8,45549,0.787
Lee,13,12317,0.213
Lenoir,3,59495,1
Lincoln,10,78265,1
McDowell,11,44996,1
Macon,11,33922,1
Madison,11,20764,1
Martin,1,24505,1
Mecklenburg,9,186129,0.202
Mecklenburg,12,733499,0.798
Mitchell,11,15579,1
Montgomery,8,27798,1
Moore,8,33033,0.374
Moore,9,55214,0.626
Nash,1,95840,1
New Hanover,7,202667,1
Northampton,1,22099,1
Onslow,3,177772,1
Orange,4,133801,1
Pamlico,3,13144,1
Pasquotank,3,40661,1
Pender,7,52217,1
Perquimans,3,13453,1
Person,13,39464,1
Pitt,1,118022,0.702
Pitt,3,50126,0.298
Polk,11,20510,1
Randolph,13,141752,1
Richmond,9,46639,1
Robeson,9,134168,1
Rockingham,10,93643,1
Rowan,13,138428,1
Rutherford,5,44025,0.649
Rutherford,11,23785,0.351
Sampson,7,63431,1
Scotland,9,36157,1
Stanly,8,60585,1
Stokes,10,47401,1
Surry,10,73673,1
Swain,11,13981,1
Transylvania,11,33090,1
Tyrrell,3,4407,1
Union,9,201292,1
Vance,1,44222,0.974
Vance,4,1200,0.026
Wake,2,733499,0.814
Wake,4,167494,0.186
Warren,1,20972,1
Washington,1,13228,1
Watauga,5,51079,1
Wayne,1,122623,1
Wilkes,5,69340,1
Wilson,1,81234,1
Yadkin,10,38406,1
Yancey,11,17818,1
