County,CD #,CD Pop. in County,% of County in CD
Adams,at large,2343,1
Barnes,at large,11066,1
Benson,at large,6660,1
Billings,at large,783,1
Bottineau,at large,6429,1
Bowman,at large,3151,1
Burke,at large,1968,1
Burleigh,at large,81308,1
Cass,at large,149778,1
Cavalier,at large,3993,1
Dickey,at large,5289,1
Divide,at large,2071,1
Dunn,at large,3536,1
Eddy,at large,2385,1
Emmons,at large,3550,1
Foster,at large,3343,1
Golden Valley,at large,1680,1
Grand Forks,at large,66861,1
Grant,at large,2394,1
Griggs,at large,2420,1
Hettinger,at large,2477,1
Kidder,at large,2435,1
LaMoure,at large,4139,1
Logan,at large,1990,1
McHenry,at large,5395,1
McIntosh,at large,2809,1
McKenzie,at large,6360,1
McLean,at large,8962,1
Mercer,at large,8424,1
Morton,at large,27471,1
Mountrail,at large,7673,1
Nelson,at large,3126,1
Oliver,at large,1846,1
Pembina,at large,7413,1
Pierce,at large,4357,1
Ramsey,at large,11451,1
Ransom,at large,5457,1
Renville,at large,2470,1
Richland,at large,16321,1
Rolette,at large,13937,1
Sargent,at large,3829,1
Sheridan,at large,1321,1
Sioux,at large,4153,1
Slope,at large,727,1
Stark,at large,24199,1
Steele,at large,1975,1
Stutsman,at large,21100,1
Towner,at large,2246,1
Traill,at large,8121,1
Walsh,at large,11119,1
Ward,at large,61675,1
Wells,at large,4207,1
Williams,at large,22398,1
