County,CD #,CD Pop. in County,% of County in CD
Adams,3,31364,1
Antelope,3,6685,1
Arthur,3,460,1
Banner,3,690,1
Blaine,3,478,1
Boone,3,5505,1
Box Butte,3,11308,1
Boyd,3,2099,1
Brown,3,3145,1
Buffalo,3,46102,1
Burt,1,6858,1
Butler,1,8395,1
Cass,1,25241,1
Cedar,3,8852,1
Chase,3,3966,1
Cherry,3,5713,1
Cheyenne,3,9998,1
Clay,3,6542,1
Colfax,1,10515,1
Cuming,1,9139,1
Custer,3,10939,1
Dakota,3,21006,1
Dawes,3,9182,1
Dawson,3,24326,1
Deuel,3,1941,1
Dixon,1,273,0.045
Dixon,3,5727,0.954
Dodge,1,36691,1
Douglas,2,517110,1
Dundy,3,2008,1
Fillmore,3,5890,1
Franklin,3,3225,1
Frontier,3,2756,1
Furnas,3,4959,1
Gage,3,22311,1
Garden,3,2057,1
Garfield,3,2049,1
Gosper,3,2044,1
Grant,3,614,1
Greeley,3,2538,1
Hall,3,58607,1
Hamilton,3,9124,1
Harlan,3,3423,1
Hayes,3,967,1
Hitchcock,3,2908,1
Holt,3,10435,1
Hooker,3,736,1
Howard,3,6274,1
Jefferson,3,7547,1
Johnson,3,5217,1
Kearney,3,6489,1
Keith,3,8368,1
Keya Paha,3,824,1
Kimball,3,3821,1
Knox,3,8701,1
Lancaster,1,285407,1
Lincoln,3,36288,1
Logan,3,763,1
Loup,3,632,1
McPherson,3,539,1
Madison,1,34876,1
Merrick,3,7845,1
Morrill,3,5042,1
Nance,3,3735,1
Nemaha,3,7248,1
Nuckolls,3,4500,1
Otoe,1,15740,1
Pawnee,3,2773,1
Perkins,3,2970,1
Phelps,3,9188,1
Pierce,3,7266,1
Platte,1,32237,1
Polk,1,5406,1
Red Willow,3,11055,1
Richardson,3,8363,1
Rock,3,1526,1
Saline,3,14200,1
Sarpy,1,67169,0.423
Sarpy,2,91671,0.577
Saunders,1,20780,1
Scotts Bluff,3,36970,1
Seward,1,16750,1
Sheridan,3,5469,1
Sherman,3,3152,1
Sioux,3,1311,1
Stanton,1,6129,1
Thayer,3,5228,1
Thomas,3,647,1
Thurston,1,6940,1
Valley,3,4260,1
Washington,1,20234,1
Wayne,3,9595,1
Webster,3,3812,1
Wheeler,3,818,1
York,3,13665,1
