County,CD #,CD Pop. in County,% of County in CD
Bernalillo,1,632625,0.955
Bernalillo,2,2489,0.004
Bernalillo,3,27450,0.041
Catron,2,3725,1
Chaves,2,65645,1
Cibola,2,27213,1
Colfax,3,13750,1
Curry,3,48376,1
De Baca,2,2022,1
Dona Ana,2,209233,1
Eddy,2,53829,1
Grant,2,29514,1
Guadalupe,2,4687,1
Harding,3,695,1
Hidalgo,2,4894,1
Lea,2,64727,1
Lincoln,2,20497,1
Los Alamos,3,17950,1
Luna,2,25095,1
McKinley,2,7001,0.098
McKinley,3,64491,0.902
Mora,3,4881,1
Otero,2,63797,1
Quay,3,9041,1
Rio Arriba,3,40246,1
Roosevelt,2,7010,0.353
Roosevelt,3,12836,0.647
Sandoval,1,20593,0.157
Sandoval,3,110968,0.843
San Juan,3,130044,1
San Miguel,3,29393,1
Santa Fe,1,5390,0.037
Santa Fe,3,138780,0.963
Sierra,2,11988,1
Socorro,2,17866,1
Taos,3,32937,1
Torrance,1,16383,1
Union,3,4549,1
Valencia,1,11402,0.149
Valencia,2,65167,0.851
