County,CD #,CD Pop. in County,% of County in CD
Adair,2,22683,1
Alfalfa,3,5642,1
Atoka,2,14182,1
Beaver,3,5636,1
Beckham,3,22119,1
Blaine,3,11943,1
Bryan,2,42416,1
Caddo,3,29600,1
Canadian,3,96588,0.836
Canadian,4,18953,0.164
Carter,4,47557,1
Cherokee,2,46987,1
Choctaw,2,15205,1
Cimarron,3,2475,1
Cleveland,4,255755,1
Coal,2,5925,1
Comanche,4,124098,1
Cotton,4,6193,1
Craig,2,15029,1
Creek,1,7054,0.101
Creek,3,62913,0.899
Custer,3,27469,1
Delaware,2,41487,1
Dewey,3,4810,1
Ellis,3,4151,1
Garfield,3,60580,1
Garvin,4,27576,1
Grady,4,52431,1
Grant,3,4527,1
Greer,3,6239,1
Harmon,3,2922,1
Harper,3,3685,1
Haskell,2,12769,1
Hughes,2,14003,1
Jackson,3,26446,1
Jefferson,4,6472,1
Johnston,2,10957,1
Kay,3,46562,1
Kingfisher,3,15034,1
Kiowa,3,9446,1
Latimer,2,11154,1
Le Flore,2,50384,1
Lincoln,3,34273,1
Logan,3,41848,1
Love,4,9423,1
McClain,4,34506,1
McCurtain,2,33151,1
McIntosh,2,20252,1
Major,3,7527,1
Marshall,2,15840,1
Mayes,2,41259,1
Murray,4,13488,1
Muskogee,2,70990,1
Noble,3,11561,1
Nowata,2,10536,1
Okfuskee,2,12191,1
Oklahoma,4,63286,0.088
Oklahoma,5,655347,0.912
Okmulgee,2,40069,1
Osage,3,47472,1
Ottawa,2,31848,1
Pawnee,3,16577,1
Payne,3,77350,1
Pittsburg,2,45837,1
Pontotoc,4,37492,1
Pottawatomie,5,69442,1
Pushmataha,2,11572,1
Roger Mills,3,3647,1
Rogers,1,15752,0.181
Rogers,2,71153,0.819
Seminole,5,25482,1
Sequoyah,2,42391,1
Stephens,4,45048,1
Texas,3,20640,1
Tillman,4,7992,1
Tulsa,1,603403,1
Wagoner,1,73085,1
Washington,1,50976,1
Washita,3,11629,1
Woods,3,8878,1
Woodward,3,20081,1
