County,CD #,CD Pop. in County,% of County in CD
Baker,2,16134,1
Benton,4,75575,0.883
Benton,5,10004,0.117
Clackamas,3,89120,0.237
Clackamas,5,286872,0.763
Clatsop,1,37039,1
Columbia,1,49351,1
Coos,4,63043,1
Crook,2,20978,1
Curry,4,22364,1
Deschutes,2,157733,1
Douglas,4,107667,1
Gilliam,2,1871,1
Grant,2,7445,1
Harney,2,7422,1
Hood River,2,22346,1
Jackson,2,203206,1
Jefferson,2,21720,1
Josephine,2,53535,0.647
Josephine,4,29178,0.353
Klamath,2,66380,1
Lake,2,7895,1
Lane,4,351715,1
Lincoln,5,46034,1
Linn,4,116672,1
Malheur,2,31313,1
Marion,5,315335,1
Morrow,2,11173,1
Multnomah,1,50923,0.069
Multnomah,3,677095,0.921
Multnomah,5,7316,0.01
Polk,1,3,0
Polk,5,75400,1
Sherman,2,1765,1
Tillamook,5,25250,1
Umatilla,2,75889,1
Union,2,25748,1
Wallowa,2,7008,1
Wasco,2,25213,1
Washington,1,529710,1
Wheeler,2,1441,1
Yamhill,1,99191,1
Yamhill,5,2,0
