County,CD #,CD Pop. in County,% of County in CD
Adams,13,101407,1
Allegheny,17,517660,0.423
Allegheny,18,705688,0.577
Armstrong,15,68941,1
Beaver,17,170539,1
Bedford,13,49762,1
Berks,4,18330,0.045
Berks,6,206802,0.503
Berks,9,186310,0.453
Blair,13,127089,1
Bradford,12,62622,1
Bucks,1,625249,1
Butler,15,37763,0.205
Butler,16,128610,0.699
Butler,17,17489,0.095
Cambria,13,50172,0.349
Cambria,15,93507,0.651
Cameron,15,5085,1
Carbon,9,65249,1
Centre,12,89219,0.579
Centre,15,64771,0.421
Chester,6,498886,1
Clarion,15,39988,1
Clearfield,15,81642,1
Clinton,12,39238,1
Columbia,9,67295,1
Crawford,16,88765,1
Cumberland,10,188859,0.802
Cumberland,13,46547,0.198
Dauphin,10,268100,1
Delaware,5,558979,1
Elk,15,31946,1
Erie,16,280566,1
Fayette,14,136606,1
Forest,15,7716,1
Franklin,13,149618,1
Fulton,13,14845,1
Greene,14,38686,1
Huntingdon,13,45913,1
Indiana,15,88880,1
Jefferson,15,45200,1
Juniata,12,24636,1
Lackawanna,8,214437,1
Lancaster,11,519445,1
Lawrence,16,91108,1
Lebanon,9,133568,1
Lehigh,7,349497,1
Luzerne,8,269673,0.84
Luzerne,9,51245,0.16
Lycoming,12,116111,1
McKean,15,43450,1
Mercer,16,116638,1
Mifflin,12,46682,1
Monroe,7,58456,0.344
Monroe,8,111386,0.656
Montgomery,1,80438,0.101
Montgomery,4,687357,0.859
Montgomery,5,32079,0.04
Montour,9,18267,1
Northampton,7,297735,1
Northumberland,9,35464,0.375
Northumberland,12,59064,0.625
Perry,12,45969,1
Philadelphia,2,705688,0.462
Philadelphia,3,705688,0.462
Philadelphia,5,114630,0.075
Pike,8,57369,1
Potter,12,17457,1
Schuylkill,9,148289,1
Snyder,12,39702,1
Somerset,13,77742,1
Sullivan,12,6428,1
Susquehanna,12,43356,1
Tioga,12,41981,1
Union,12,44947,1
Venango,15,54984,1
Warren,15,41815,1
Washington,14,207820,1
Wayne,8,52822,1
Westmoreland,13,42593,0.117
Westmoreland,14,322576,0.883
Wyoming,12,28276,1
York,10,248729,0.572
York,11,186243,0.428
