County,CD #,CD Pop. in County,% of County in CD
Abbeville,3,25417,1
Aiken,2,160099,1
Allendale,6,10419,1
Anderson,3,187126,1
Bamberg,6,15987,1
Barnwell,2,22621,1
Beaufort,1,148174,0.913
Beaufort,6,14059,0.087
Berkeley,1,149751,0.842
Berkeley,6,28092,0.158
Calhoun,6,15175,1
Charleston,1,245876,0.702
Charleston,6,104333,0.298
Cherokee,5,55342,1
Chester,5,33140,1
Chesterfield,7,46734,1
Clarendon,6,34971,1
Colleton,1,529,0.014
Colleton,6,38363,0.986
Darlington,7,68681,1
Dillon,7,32062,1
Dorchester,1,116436,0.853
Dorchester,6,20119,0.147
Edgefield,3,26985,1
Fairfield,5,23956,1
Florence,6,15039,0.11
Florence,7,121846,0.89
Georgetown,7,60158,1
Greenville,3,54952,0.122
Greenville,4,396273,0.878
Greenwood,3,69661,1
Hampton,6,21090,1
Horry,7,269291,1
Jasper,6,24777,1
Kershaw,5,61697,1
Lancaster,5,76652,1
Laurens,3,66537,1
Lee,5,19220,1
Lexington,2,262391,1
McCormick,3,10233,1
Marion,7,33062,1
Marlboro,7,28933,1
Newberry,3,6484,0.173
Newberry,5,31024,0.827
Oconee,3,74273,1
Orangeburg,2,20438,0.221
Orangeburg,6,72063,0.779
Pickens,3,119224,1
Richland,2,195217,0.508
Richland,6,189287,0.492
Saluda,3,19875,1
Spartanburg,4,264493,0.93
Spartanburg,5,19814,0.07
Sumter,5,84887,0.79
Sumter,6,22569,0.21
Union,5,28961,1
Williamsburg,6,34423,1
York,5,226073,1
