County,CD #,CD Pop. in County,% of County in CD
Aurora,at large,2710,1
Beadle,at large,17398,1
Bennett,at large,3431,1
Bon Homme,at large,7070,1
Brookings,at large,31965,1
Brown,at large,36531,1
Brule,at large,5255,1
Buffalo,at large,1912,1
Butte,at large,10110,1
Campbell,at large,1466,1
Charles Mix,at large,9129,1
Clark,at large,3691,1
Clay,at large,13864,1
Codington,at large,27227,1
Corson,at large,4050,1
Custer,at large,8216,1
Davison,at large,19504,1
Day,at large,5710,1
Deuel,at large,4364,1
Dewey,at large,5301,1
Douglas,at large,3002,1
Edmunds,at large,4071,1
Fall River,at large,7094,1
Faulk,at large,2364,1
Grant,at large,7356,1
Gregory,at large,4271,1
Haakon,at large,1937,1
Hamlin,at large,5903,1
Hand,at large,3431,1
Hanson,at large,3331,1
Harding,at large,1255,1
Hughes,at large,17022,1
Hutchinson,at large,7343,1
Hyde,at large,1420,1
Jackson,at large,3031,1
Jerauld,at large,2071,1
Jones,at large,1006,1
Kingsbury,at large,5148,1
Lake,at large,11200,1
Lawrence,at large,24097,1
Lincoln,at large,44828,1
Lyman,at large,3755,1
McCook,at large,5618,1
McPherson,at large,2459,1
Marshall,at large,4656,1
Meade,at large,25434,1
Mellette,at large,2048,1
Miner,at large,2389,1
Minnehaha,at large,169468,1
Moody,at large,6486,1
Oglala Lakota,at large,13586,1
Pennington,at large,100948,1
Perkins,at large,2982,1
Potter,at large,2329,1
Roberts,at large,10149,1
Sanborn,at large,2355,1
Spink,at large,6415,1
Stanley,at large,2966,1
Sully,at large,1373,1
Todd,at large,9612,1
Tripp,at large,5644,1
Turner,at large,8347,1
Union,at large,14399,1
Walworth,at large,5438,1
Yankton,at large,22438,1
Ziebach,at large,2801,1
