County,CD #,CD Pop. in County,% of County in CD
Anderson,3,75129,1
Bedford,4,45058,1
Benton,7,16394,0.994
Benton,8,95,0.006
Bledsoe,4,12876,1
Blount,2,123010,1
Bradley,3,27518,0.278
Bradley,4,71445,0.722
Campbell,2,5816,0.143
Campbell,3,34900,0.857
Cannon,6,13801,1
Carroll,8,28522,1
Carter,1,57424,1
Cheatham,5,28780,0.736
Cheatham,6,10325,0.264
Chester,7,17131,1
Claiborne,2,32213,1
Clay,6,7861,1
Cocke,1,35662,1
Coffee,6,52796,1
Crockett,8,14586,1
Cumberland,6,56053,1
Davidson,5,626681,1
Decatur,7,11757,1
DeKalb,6,18723,1
Dickson,5,49666,1
Dyer,8,38335,1
Fayette,8,38413,1
Fentress,6,17959,1
Franklin,4,41052,1
Gibson,8,49683,1
Giles,7,29485,1
Grainger,2,22657,1
Greene,1,68831,1
Grundy,4,13703,1
Hamblen,1,62544,1
Hamilton,3,336463,1
Hancock,1,6819,1
Hardeman,7,27253,1
Hardin,7,26026,1
Hawkins,1,56833,1
Haywood,8,18787,1
Henderson,7,27769,1
Henry,8,32330,1
Hickman,7,24690,1
Houston,7,8426,1
Humphreys,7,18538,1
Jackson,6,11638,1
Jefferson,1,10762,0.209
Jefferson,2,40645,0.791
Johnson,1,18244,1
Knox,2,432226,1
Lake,8,7832,1
Lauderdale,8,27815,1
Lawrence,7,41869,1
Lewis,7,12161,1
Lincoln,4,33361,1
Loudon,2,48556,1
McMinn,3,52266,1
McNairy,7,26075,1
Macon,6,22248,1
Madison,8,98294,1
Marion,4,28237,1
Marshall,4,30617,1
Maury,4,57180,0.706
Maury,7,23776,0.294
Meigs,4,11753,1
Monroe,3,44519,1
Montgomery,7,172331,1
Moore,4,6362,1
Morgan,3,21987,1
Obion,8,31807,1
Overton,6,22083,1
Perry,7,7915,1
Pickett,6,5077,1
Polk,3,16825,1
Putnam,6,72321,1
Rhea,4,31809,1
Roane,3,54181,1
Robertson,6,66283,1
Rutherford,4,262604,1
Scott,3,22228,1
Sequatchie,4,14112,1
Sevier,1,89889,1
Shelby,8,222521,0.24
Shelby,9,705123,0.76
Smith,6,19166,1
Stewart,7,13324,1
Sullivan,1,156823,1
Sumner,6,160645,1
Tipton,8,61081,1
Trousdale,6,7870,1
Unicoi,1,18313,1
Union,3,19109,1
Van Buren,4,5112,0.921
Van Buren,6,436,0.079
Warren,4,39839,1
Washington,1,122979,1
Wayne,7,17021,1
Weakley,8,35021,1
White,6,25841,1
Williamson,7,183182,1
Wilson,6,113993,1
