County,CD #,CD Pop. in County,% of County in CD
Anderson,5,58458,1
Andrews,11,14786,1
Angelina,1,86771,1
Aransas,27,23158,1
Archer,13,9054,1
Armstrong,13,1901,1
Atascosa,28,44911,1
Austin,10,28417,1
Bailey,19,7165,1
Bandera,21,20485,1
Bastrop,10,43410,0.585
Bastrop,17,812,0.011
Bastrop,27,29949,0.404
Baylor,13,3726,1
Bee,34,31861,1
Bell,25,34427,0.111
Bell,31,275808,0.889
Bexar,20,698488,0.407
Bexar,21,253319,0.148
Bexar,23,275373,0.161
Bexar,28,158356,0.092
Bexar,35,329237,0.192
Blanco,21,10497,1
Borden,19,641,1
Bosque,25,18212,1
Bowie,4,92565,1
Brazoria,14,154890,0.495
Brazoria,22,158276,0.505
Brazos,17,194851,1
Brewster,23,9232,1
Briscoe,13,1637,1
Brooks,15,7223,1
Brown,11,38106,1
Burleson,17,17187,1
Burnet,25,42750,1
Caldwell,27,20233,0.532
Caldwell,35,17833,0.468
Calhoun,27,21381,1
Callahan,11,13544,1
Cameron,34,406220,1
Camp,4,12401,1
Carson,13,6182,1
Cass,4,30464,1
Castro,19,8062,1
Chambers,36,35096,1
Cherokee,5,50845,1
Childress,13,7041,1
Clay,13,10752,1
Cochran,19,3127,1
Coke,11,3320,1
Coleman,11,8895,1
Collin,3,698488,0.893
Collin,4,36196,0.046
Collin,32,47657,0.061
Collingsworth,13,3057,1
Colorado,10,20874,1
Comal,21,77344,0.713
Comal,35,31128,0.287
Comanche,11,13974,1
Concho,11,4087,1
Cooke,13,38437,1
Coryell,25,75388,1
Cottle,13,1505,1
Crane,23,4375,1
Crockett,23,3719,1
Crosby,19,6059,1
Culberson,23,2398,1
Dallam,13,6703,1
Dallas,5,328522,0.139
Dallas,24,330826,0.14
Dallas,26,841,0
Dallas,30,698487,0.295
Dallas,32,650831,0.275
Dallas,33,358632,0.151
Dawson,11,13833,1
Deaf Smith,13,19372,1
Delta,4,5231,1
Denton,24,112782,0.17
Denton,26,549832,0.83
DeWitt,34,20097,1
Dickens,13,2444,1
Dimmit,23,9996,1
Donley,13,3677,1
Duval,15,11782,1
Eastland,11,18583,1
Ector,11,137130,1
Edwards,23,2002,1
Ellis,6,149610,1
El Paso,16,698488,0.872
El Paso,23,102159,0.128
Erath,11,20356,0.537
Erath,25,17534,0.463
Falls,17,17866,1
Fannin,4,33915,1
Fayette,10,24554,1
Fisher,19,3974,1
Floyd,13,2655,0.412
Floyd,19,3791,0.588
Foard,13,1336,1
Fort Bend,9,145911,0.249
Fort Bend,22,439464,0.751
Franklin,4,10605,1
Freestone,17,19816,1
Frio,23,17217,1
Gaines,19,17526,1
Galveston,14,291309,1
Garza,19,6461,1
Gillespie,21,24837,1
Glasscock,11,1226,1
Goliad,34,7210,1
Gonzales,27,13668,0.69
Gonzales,34,6139,0.31
Gray,13,22535,1
Grayson,4,120877,1
Gregg,1,121730,1
Grimes,8,26604,1
Guadalupe,15,108688,0.826
Guadalupe,35,22845,0.174
Hale,19,36273,1
Hall,13,3353,1
Hamilton,25,8517,1
Hansford,13,5613,1
Hardeman,13,4139,1
Hardin,36,54635,1
Harris,2,698488,0.171
Harris,7,698488,0.171
Harris,8,63087,0.015
Harris,9,552581,0.135
Harris,10,248136,0.061
Harris,18,698488,0.171
Harris,22,100760,0.025
Harris,29,698488,0.171
Harris,36,333943,0.082
Harrison,1,65631,1
Hartley,13,6062,1
Haskell,19,5899,1
Hays,21,36368,0.231
Hays,25,38920,0.248
Hays,35,81819,0.521
Hemphill,13,3807,1
Henderson,5,78532,1
Hidalgo,15,534952,0.69
Hidalgo,28,128731,0.166
Hidalgo,34,111086,0.143
Hill,25,35089,1
Hockley,19,22935,1
Hood,11,51182,1
Hopkins,4,35161,1
Houston,8,23732,1
Howard,19,35012,1
Hudspeth,23,3476,1
Hunt,4,86129,1
Hutchinson,13,22150,1
Irion,11,1599,1
Jack,13,9044,1
Jackson,27,14075,1
Jasper,36,35710,1
Jeff Davis,23,2342,1
Jefferson,14,252273,1
Jim Hogg,15,5300,1
Jim Wells,34,40838,1
Johnson,25,150934,1
Jones,19,20202,1
Karnes,15,14824,1
Kaufman,5,103350,1
Kendall,21,33410,1
Kenedy,34,416,1
Kent,19,808,1
Kerr,21,49625,1
Kimble,11,4607,1
King,13,286,1
Kinney,23,3598,1
Kleberg,34,32061,1
Knox,13,3719,1
Lamar,4,49793,1
Lamb,19,13977,1
Lampasas,25,19677,1
La Salle,23,5123,0.744
La Salle,28,1763,0.256
Lavaca,27,19263,1
Lee,10,11856,0.714
Lee,17,4756,0.286
Leon,8,6825,0.406
Leon,17,9976,0.594
Liberty,36,75643,1
Limestone,17,23384,1
Lipscomb,13,3302,1
Live Oak,15,11531,1
Llano,11,19301,1
Loving,23,82,1
Lubbock,19,278831,1
Lynn,19,5915,1
McCulloch,11,8283,1
McLennan,17,234906,1
McMullen,28,707,1
Madison,8,13664,1
Marion,4,10546,1
Martin,11,4799,1
Mason,11,4012,1
Matagorda,27,36702,1
Maverick,23,54258,1
Medina,23,46006,1
Menard,11,2242,1
Midland,11,136872,1
Milam,17,24757,1
Mills,11,4936,1
Mitchell,11,9403,1
Montague,13,19719,1
Montgomery,8,455746,1
Moore,13,21904,1
Morris,4,12934,1
Motley,13,1210,1
Nacogdoches,1,64524,1
Navarro,6,47735,1
Newton,36,14445,1
Nolan,19,15216,1
Nueces,27,340223,1
Ochiltree,13,10223,1
Oldham,13,2052,1
Orange,36,81837,1
Palo Pinto,11,28111,1
Panola,1,23796,1
Parker,12,116927,1
Parmer,19,10269,1
Pecos,23,15507,1
Polk,36,45413,1
Potter,13,121073,1
Presidio,23,7818,1
Rains,4,10914,1
Randall,13,120725,1
Reagan,23,3367,1
Real,21,3309,1
Red River,4,12860,1
Reeves,23,13783,1
Refugio,27,7383,1
Roberts,13,929,1
Robertson,17,16622,1
Rockwall,4,78337,1
Runnels,11,10501,1
Rusk,1,53330,1
Sabine,1,10834,1
San Augustine,1,8865,1
San Jacinto,8,26384,1
San Patricio,27,44379,0.685
San Patricio,34,20425,0.315
San Saba,11,6131,1
Schleicher,23,3461,1
Scurry,19,16921,1
Shackelford,19,3378,1
Shelby,1,25448,1
Sherman,13,3034,1
Smith,1,209714,1
Somervell,25,8490,1
Starr,28,60968,1
Stephens,11,7302,0.758
Stephens,19,2328,0.242
Sterling,11,1143,1
Stonewall,19,1490,1
Sutton,23,4128,1
Swisher,13,7854,1
Tarrant,6,501159,0.277
Tarrant,12,558251,0.309
Tarrant,24,254894,0.141
Tarrant,25,7065,0.004
Tarrant,26,147815,0.082
Tarrant,33,339850,0.188
Taylor,19,131506,1
Terrell,23,984,1
Terry,19,12651,1
Throckmorton,19,1641,1
Titus,4,32334,1
Tom Green,11,110224,1
Travis,10,244317,0.239
Travis,17,133554,0.13
Travis,21,189294,0.185
Travis,25,241475,0.236
Travis,35,215626,0.211
Trinity,8,14585,1
Tyler,36,21766,1
Upshur,1,12083,0.307
Upshur,4,27226,0.693
Upton,23,3355,1
Uvalde,23,26405,1
Val Verde,23,48879,1
Van Zandt,5,52579,1
Victoria,27,86793,1
Walker,8,67861,1
Waller,10,43205,1
Ward,23,10658,1
Washington,10,33718,1
Webb,28,250304,1
Wharton,27,41280,1
Wheeler,13,5410,1
Wichita,13,131500,1
Wilbarger,13,13535,1
Willacy,34,22134,1
Williamson,10,2,0
Williamson,31,422677,1
Wilson,15,4188,0.098
Wilson,28,38730,0.902
Winkler,23,7110,1
Wise,12,23296,0.394
Wise,13,35831,0.606
Wood,1,15762,0.376
Wood,5,26202,0.624
Yoakum,19,7879,1
Young,19,18550,1
Zapata,28,14018,1
Zavala,23,11677,1
