County,CD #,CD Pop. in County,% of County in CD
Beaver,2,6629,1
Box Elder,1,49975,1
Cache,1,112656,1
Carbon,3,21403,1
Daggett,1,1059,1
Davis,1,196793,0.642
Davis,2,109686,0.358
Duchesne,1,18607,1
Emery,3,10976,1
Garfield,2,5172,1
Grand,3,9225,1
Iron,2,46163,1
Juab,2,880,0.086
Juab,4,9366,0.914
Kane,2,7125,1
Millard,2,12503,1
Morgan,1,9469,1
Piute,2,1556,1
Rich,1,2264,1
Salt Lake,2,264896,0.257
Salt Lake,3,177165,0.172
Salt Lake,4,587594,0.571
San Juan,3,14746,1
Sanpete,2,16448,0.591
Sanpete,4,11374,0.409
Sevier,2,20802,1
Summit,1,36324,1
Tooele,2,58218,1
Uintah,1,32588,1
Utah,3,433927,0.84
Utah,4,82637,0.16
Wasatch,3,23530,1
Washington,2,138115,1
Wayne,2,2778,1
Weber,1,231236,1
