County,CD #,CD Pop. in County,% of County in CD
Accomack county,2,33164,1
Albemarle county,5,98970,1
Alleghany county,9,16250,1
Amelia county,7,12690,1
Amherst county,6,32353,1
Appomattox county,5,14973,1
Arlington county,8,207627,1
Augusta county,6,73750,1
Bath county,6,4731,1
Bedford County,5,45209,0.604
Bedford County,6,29689,0.396
Bland county,9,6824,1
Botetourt county,6,33148,1
Brunswick county,5,17434,1
Buchanan county,9,24098,1
Buckingham county,5,17146,1
Campbell county,5,54842,1
Caroline county,1,28545,1
Carroll county,9,30042,1
Charles City,4,7256,1
Charlotte county,5,12586,1
Chesterfield county,4,95473,0.302
Chesterfield county,7,220763,0.698
Clarke county,10,14034,1
Craig county,9,5190,1
Culpeper county,7,46689,1
Cumberland county,5,10052,1
Dickenson county,9,15903,1
Dinwiddie county,4,28001,1
Essex county,1,11151,1
Fairfax county,8,367441,0.34
Fairfax county,10,186406,0.172
Fairfax county,11,527879,0.488
Fauquier county,1,14762,0.226
Fauquier county,5,50441,0.774
Floyd county,9,15279,1
Fluvanna county,5,25691,1
Franklin county,5,56159,1
Frederick county,10,78305,1
Giles county,9,17286,1
Gloucester county,1,36858,1
Goochland county,7,21717,1
Grayson county,9,15533,1
Greene county,5,18403,1
Greensville county,4,12243,1
Halifax county,5,36241,1
Hanover county,1,99863,1
Henrico county,4,84198,0.274
Henrico county,7,222737,0.726
Henry county,5,14472,0.267
Henry county,9,39679,0.733
Highland county,6,2321,1
Isle of Wight county,3,35270,1
James City,1,50453,0.753
James City,2,16556,0.247
King and Queen county,1,6945,1
King George county,1,23584,1
King William county,1,15935,1
Lancaster county,1,11391,1
Lee county,9,25587,1
Loudoun county,10,312311,1
Louisa county,7,33153,1
Lunenburg county,5,12914,1
Madison county,5,13308,1
Mathews county,1,8978,1
Mecklenburg county,5,32727,1
Middlesex county,1,10959,1
Montgomery county,9,94392,1
Nelson county,5,15020,1
New Kent county,1,18429,1
Northampton county,2,12389,1
Northumberland county,1,12330,1
Nottoway county,7,15853,1
Orange county,7,33481,1
Page county,6,24042,1
Patrick county,9,18490,1
Pittsylvania county,5,63506,1
Powhatan county,7,28046,1
Prince Edward county,5,23368,1
Prince George county,4,35725,1
Prince William county,1,167068,0.416
Prince William county,10,58012,0.144
Prince William county,11,176922,0.44
Pulaski county,9,34872,1
Rappahannock county,5,7373,1
Richmond county,1,9254,1
Roanoke county,6,69185,0.749
Roanoke county,9,23191,0.251
Rockbridge county,6,22307,1
Rockingham county,6,76314,1
Russell county,9,28897,1
Scott county,9,23177,1
Shenandoah county,6,41993,1
Smyth county,9,32208,1
Southampton county,4,18570,1
Spotsylvania county,1,30160,0.246
Spotsylvania county,7,92237,0.754
Stafford county,1,128961,1
Surry county,4,7058,1
Sussex county,4,12087,1
Tazewell county,9,45078,1
Warren county,5,133,0.004
Warren county,6,37442,0.996
Washington county,9,54876,1
Westmoreland county,1,17454,1
Wise county,9,41452,1
Wythe county,9,29235,1
York county,2,65464,1
Alexandria city,8,139966,1
Bristol city,9,17835,1
Buena Vista city,6,6650,1
Charlottesville city,5,43475,1
Chesapeake city,3,110405,0.497
Chesapeake city,4,111804,0.503
Colonial Heights city,4,17411,1
Covington city,9,5961,1
Danville city,5,43055,1
Emporia city,4,5927,1
Fairfax city,11,22565,1
Falls Church city,8,12332,1
Franklin city,3,8582,1
Fredericksburg city,1,24286,1
Galax city,9,7042,1
Hampton city,2,33630,0.245
Hampton city,3,103806,0.755
Harrisonburg city,6,48914,1
Hopewell city,4,22591,1
Lexington city,6,7042,1
Lynchburg city,6,75568,1
Manassas city,10,37821,1
Manassas Park city,10,14273,1
Martinsville city,9,13821,1
Newport News city,2,32,0
Newport News city,3,180687,1
Norfolk city,2,82672,0.34
Norfolk city,3,160131,0.66
Norton city,9,3958,1
Petersburg city,4,32420,1
Poquoson city,2,12150,1
Portsmouth city,3,95535,1
Radford city,9,16408,1
Richmond city,4,204214,1
Roanoke city,6,97032,1
Salem city,9,24802,1
Staunton city,6,23746,1
Suffolk city,3,52197,0.617
Suffolk city,4,32388,0.383
Virginia Beach city,2,437994,1
Waynesboro city,6,21006,1
Williamsburg city,2,14068,1
Winchester city,10,26203,1
