County,CD #,CD Pop. in County,% of County in CD
Adams,4,18728,1
Asotin,5,21623,1
Benton,4,175177,1
Chelan,8,72453,1
Clallam,6,71404,1
Clark,3,425363,1
Columbia,5,4078,1
Cowlitz,3,102410,1
Douglas,4,21974,0.572
Douglas,8,16457,0.428
Ferry,5,7551,1
Franklin,4,78163,1
Garfield,5,2266,1
Grant,4,89120,1
Grays Harbor,6,72797,1
Island,2,78506,1
Jefferson,6,29872,1
King,1,263865,0.137
King,7,627813,0.325
King,8,389516,0.202
King,9,650055,0.337
Kitsap,6,251133,1
Kittitas,8,40915,1
Klickitat,3,20318,1
Lewis,3,75455,1
Lincoln,5,10570,1
Mason,6,43969,0.724
Mason,10,16730,0.276
Okanogan,4,41120,1
Pacific,3,20920,1
Pend Oreille,5,13001,1
Pierce,6,203273,0.256
Pierce,8,153127,0.193
Pierce,9,22426,0.028
Pierce,10,416399,0.524
San Juan,2,15769,1
Skagit,1,50523,0.432
Skagit,2,66378,0.568
Skamania,3,11066,1
Snohomish,1,254969,0.357
Snohomish,2,413745,0.58
Snohomish,7,44621,0.063
Spokane,5,471221,1
Stevens,5,43531,1
Thurston,3,12938,0.051
Thurston,10,239326,0.949
Wahkiakum,3,3978,1
Walla Walla,4,4943,0.084
Walla Walla,5,53838,0.916
Whatcom,1,102973,0.512
Whatcom,2,98167,0.488
Whitman,5,44776,1
Yakima,4,243231,1
