County,CD #,CD Pop. in County,% of County in CD
Adams,3,20875,1
Ashland,7,16157,1
Barron,7,45870,1
Bayfield,7,15014,1
Brown,8,248007,1
Buffalo,3,13587,1
Burnett,7,15457,1
Calumet,8,48971,1
Chippewa,3,36398,0.583
Chippewa,7,26017,0.417
Clark,7,34690,1
Columbia,5,3,0
Columbia,6,56830,1
Crawford,3,16644,1
Dane,2,488073,1
Dodge,5,36500,0.411
Dodge,6,52259,0.589
Door,8,27785,1
Douglas,7,44159,1
Dunn,3,43857,1
Eau Claire,3,98736,1
Florence,7,4423,1
Fond du Lac,6,101633,1
Forest,7,9304,1
Grant,3,51208,1
Green,2,36842,1
Green Lake,6,19051,1
Iowa,2,23687,1
Iron,7,5916,1
Jackson,3,18488,0.904
Jackson,7,1961,0.096
Jefferson,5,83686,1
Juneau,3,21011,0.788
Juneau,7,5653,0.212
Kenosha,1,166426,1
Kewaunee,8,20574,1
La Crosse,3,114638,1
Lafayette,2,16836,1
Langlade,7,19977,1
Lincoln,7,28743,1
Manitowoc,6,81442,1
Marathon,7,134063,1
Marinette,8,41749,1
Marquette,6,15404,1
Menominee,8,4232,1
Milwaukee,1,91640,0.097
Milwaukee,4,710873,0.75
Milwaukee,5,143527,0.151
Milwaukee,6,1695,0.002
Monroe,3,40004,0.895
Monroe,7,4669,0.105
Oconto,8,37660,1
Oneida,7,35998,1
Outagamie,8,176695,1
Ozaukee,6,86395,1
Pepin,3,7469,1
Pierce,3,41019,1
Polk,7,44205,1
Portage,3,70019,1
Price,7,14159,1
Racine,1,195408,1
Richland,2,3688,0.205
Richland,3,14333,0.795
Rock,1,80559,0.502
Rock,2,79772,0.498
Rusk,7,14755,1
St. Croix,7,84345,1
Sauk,2,61976,1
Sawyer,7,16557,1
Shawano,8,41949,1
Sheboygan,6,115507,1
Taylor,7,20689,1
Trempealeau,3,28816,1
Vernon,3,29773,1
Vilas,7,21430,1
Walworth,1,91002,0.89
Walworth,5,11226,0.11
Washburn,7,15911,1
Washington,5,131887,1
Waukesha,1,85807,0.22
Waukesha,5,304084,0.78
Waupaca,8,52410,1
Waushara,6,24496,1
Winnebago,6,156153,0.935
Winnebago,8,10841,0.065
Wood,3,43977,0.588
Wood,7,30772,0.412
