County,CD #,CD Pop. in County,% of County in CD
Barbour,1,16589,1
Berkeley,2,104169,1
Boone,3,24629,1
Braxton,2,14523,1
Brooke,1,24069,1
Cabell,3,96319,1
Calhoun,2,7627,1
Clay,2,9386,1
Doddridge,1,8202,1
Fayette,3,46039,1
Gilmer,1,8693,1
Grant,1,11937,1
Greenbrier,3,35480,1
Hampshire,2,23964,1
Hancock,1,30676,1
Hardy,2,14025,1
Harrison,1,69099,1
Jackson,2,29211,1
Jefferson,2,53498,1
Kanawha,2,193063,1
Lewis,2,16372,1
Lincoln,3,21720,1
Logan,3,36743,1
McDowell,3,22113,1
Marion,1,56418,1
Marshall,1,33107,1
Mason,3,27324,1
Mercer,3,62264,1
Mineral,1,28212,1
Mingo,3,26839,1
Monongalia,1,96189,1
Monroe,3,13502,1
Morgan,2,17541,1
Nicholas,3,26233,1
Ohio,1,44443,1
Pendleton,2,7695,1
Pleasants,1,7605,1
Pocahontas,3,8719,1
Preston,1,33520,1
Putnam,2,55486,1
Raleigh,3,78859,1
Randolph,2,29405,1
Ritchie,1,10449,1
Roane,2,14926,1
Summers,3,13927,1
Taylor,1,16895,1
Tucker,1,7141,1
Tyler,1,9208,1
Upshur,2,24254,1
Wayne,3,42481,1
Webster,3,9154,1
Wetzel,1,16583,1
Wirt,2,5717,1
Wood,1,86956,1
Wyoming,3,23796,1
