County,CD #,CD Pop. in County,% of County in CD
Albany,at large,36299,1
Big Horn,at large,11668,1
Campbell,at large,46133,1
Carbon,at large,15885,1
Converse,at large,13833,1
Crook,at large,7083,1
Fremont,at large,40123,1
Goshen,at large,13249,1
Hot Springs,at large,4812,1
Johnson,at large,8569,1
Laramie,at large,91738,1
Lincoln,at large,18106,1
Natrona,at large,75450,1
Niobrara,at large,2484,1
Park,at large,28205,1
Platte,at large,8667,1
Sheridan,at large,29116,1
Sublette,at large,10247,1
Sweetwater,at large,43806,1
Teton,at large,21294,1
Uinta,at large,21118,1
Washakie,at large,8533,1
Weston,at large,7208,1
