County,HD #,HD Pop. in County,% of County in HD
Kent,11,12484,0.077
Kent,28,21111,0.13
Kent,29,20818,0.128
Kent,30,20856,0.128
Kent,31,22894,0.141
Kent,32,21449,0.132
Kent,33,21462,0.132
Kent,34,21236,0.131
New Castle,1,21031,0.039
New Castle,2,20916,0.039
New Castle,3,21368,0.04
New Castle,4,21075,0.039
New Castle,5,21652,0.04
New Castle,6,21894,0.041
New Castle,7,20971,0.039
New Castle,8,22759,0.042
New Castle,9,21263,0.039
New Castle,10,21670,0.04
New Castle,11,8431,0.016
New Castle,12,22964,0.043
New Castle,13,22933,0.043
New Castle,15,22758,0.042
New Castle,16,21218,0.039
New Castle,17,22445,0.042
New Castle,18,22864,0.042
New Castle,19,22764,0.042
New Castle,21,22794,0.042
New Castle,22,22916,0.043
New Castle,23,22744,0.042
New Castle,24,22687,0.042
New Castle,25,21763,0.04
New Castle,26,22656,0.042
New Castle,27,21943,0.041
Sussex,14,21224,0.108
Sussex,20,21216,0.108
Sussex,35,20887,0.106
Sussex,36,20870,0.106
Sussex,37,22891,0.116
Sussex,38,22043,0.112
Sussex,39,22423,0.114
Sussex,40,22598,0.115
Sussex,41,22993,0.117
