County,HD #,HD Pop. in County,% of County in HD
Adair,20,7682,1
Adams,21,4029,1
Allamakee,56,14330,1
Appanoose,80,12887,1
Audubon,12,6119,1
Benton,75,26076,1
Black Hawk,59,30315,0.231
Black Hawk,60,30343,0.231
Black Hawk,61,30484,0.233
Black Hawk,62,30638,0.234
Black Hawk,63,6290,0.048
Black Hawk,72,3020,0.023
Boone,47,21110,0.802
Boone,48,5196,0.198
Bremer,63,24276,1
Buchanan,64,19265,0.919
Buchanan,95,1693,0.081
Buena Vista,11,20260,1
Butler,50,7258,0.488
Butler,54,7609,0.512
Calhoun,10,9670,1
Carroll,12,20816,1
Cass,20,1841,0.132
Cass,21,12115,0.868
Cedar,73,18499,1
Cerro Gordo,52,1775,0.04
Cerro Gordo,53,30444,0.69
Cerro Gordo,54,11932,0.27
Cherokee,3,12072,1
Chickasaw,52,12439,1
Clarke,27,9286,1
Clay,2,16667,1
Clayton,55,2247,0.124
Clayton,56,15882,0.876
Clinton,97,18354,0.374
Clinton,98,30762,0.626
Crawford,12,3702,0.217
Crawford,18,13394,0.783
Dallas,19,26110,0.395
Dallas,20,9782,0.148
Dallas,44,30243,0.457
Davis,82,8753,1
Decatur,27,8457,1
Delaware,96,17764,1
Des Moines,87,30433,0.755
Des Moines,88,9892,0.245
Dickinson,1,12351,0.741
Dickinson,2,4316,0.259
Dubuque,57,30329,0.324
Dubuque,58,2592,0.028
Dubuque,99,30379,0.324
Dubuque,100,30353,0.324
Emmet,7,10302,1
Fayette,55,9649,0.462
Fayette,64,11231,0.538
Floyd,52,16303,1
Franklin,54,10680,1
Fremont,23,7441,1
Greene,47,9336,1
Grundy,50,12453,1
Guthrie,20,10954,1
Hamilton,48,15673,1
Hancock,8,11341,1
Hardin,49,6932,0.395
Hardin,50,10602,0.605
Harrison,17,9730,0.652
Harrison,18,5198,0.348
Henry,84,20145,1
Howard,51,9566,1
Humboldt,10,9815,1
Ida,17,7089,1
Iowa,75,4556,0.279
Iowa,76,11799,0.721
Jackson,58,19848,1
Jasper,28,6666,0.181
Jasper,29,30176,0.819
Jefferson,82,14062,0.835
Jefferson,84,2781,0.165
Johnson,73,9025,0.069
Johnson,74,30599,0.234
Johnson,77,30273,0.231
Johnson,85,30488,0.233
Johnson,86,30497,0.233
Jones,58,7984,0.387
Jones,96,12654,0.613
Keokuk,78,10511,1
Kossuth,7,9492,0.611
Kossuth,8,6051,0.389
Lee,83,30335,0.846
Lee,84,5527,0.154
Linn,65,30283,0.143
Linn,66,30308,0.143
Linn,67,30617,0.145
Linn,68,30305,0.143
Linn,69,30606,0.145
Linn,70,30395,0.144
Linn,95,28712,0.136
Louisa,88,11387,1
Lucas,27,6045,0.679
Lucas,28,2853,0.321
Lyon,1,11581,1
Madison,25,15679,1
Mahaska,79,18020,0.805
Mahaska,80,4361,0.195
Marion,28,20811,0.625
Marion,79,12498,0.375
Marshall,71,30672,0.755
Marshall,72,9976,0.245
Mills,23,15059,1
Mitchell,51,10776,1
Monona,17,9243,1
Monroe,80,7970,1
Montgomery,23,7850,0.731
Montgomery,24,2890,0.269
Muscatine,73,2797,0.065
Muscatine,88,9207,0.215
Muscatine,91,30741,0.719
OBrien,3,14398,1
Osceola,1,6462,1
Page,24,15932,1
Palo Alto,2,9421,1
Plymouth,3,855,0.034
Plymouth,5,24131,0.966
Pocahontas,10,7310,1
Polk,19,4185,0.01
Polk,30,30537,0.071
Polk,31,30631,0.071
Polk,32,30534,0.071
Polk,33,30671,0.071
Polk,34,30455,0.071
Polk,35,30256,0.07
Polk,36,30538,0.071
Polk,37,30394,0.071
Polk,38,30489,0.071
Polk,39,30349,0.07
Polk,40,30407,0.071
Polk,41,30560,0.071
Polk,42,30277,0.07
Polk,43,30357,0.07
Pottawattamie,15,30580,0.328
Pottawattamie,16,30235,0.325
Pottawattamie,21,1801,0.019
Pottawattamie,22,30542,0.328
Poweshiek,76,18914,1
Ringgold,24,5131,1
Sac,11,10350,1
Scott,89,30596,0.185
Scott,90,30557,0.185
Scott,92,30493,0.185
Scott,93,30463,0.184
Scott,94,30756,0.186
Scott,97,12359,0.075
Shelby,18,12167,1
Sioux,3,3109,0.092
Sioux,4,30595,0.908
Story,45,30465,0.34
Story,46,30507,0.341
Story,48,5178,0.058
Story,49,23392,0.261
Tama,72,17767,1
Taylor,24,6317,1
Union,21,12534,1
Van Buren,82,7570,1
Wapello,80,5019,0.141
Wapello,81,30606,0.859
Warren,25,15058,0.326
Warren,26,30712,0.664
Warren,42,455,0.01
Washington,78,19694,0.907
Washington,84,2010,0.093
Wayne,27,6403,1
Webster,9,30411,0.8
Webster,10,3442,0.091
Webster,48,4160,0.109
Winnebago,7,10866,1
Winneshiek,51,2542,0.121
Winneshiek,55,18514,0.879
Woodbury,5,6177,0.06
Woodbury,6,30489,0.298
Woodbury,13,30697,0.3
Woodbury,14,30662,0.3
Woodbury,17,4147,0.041
Worth,51,7598,1
Wright,8,13229,1
