County,HD #,HD Pop. in County,% of County in HD
Adams,94,67103,1
Alexander,118,8238,1
Bond,107,17768,1
Boone,69,46844,0.865
Boone,70,7321,0.135
Brown,93,6937,1
Bureau,73,5323,0.152
Bureau,74,16768,0.479
Bureau,76,12887,0.368
Calhoun,100,5089,1
Carroll,71,5425,0.353
Carroll,89,9962,0.647
Cass,93,13642,1
Champaign,101,18531,0.092
Champaign,102,30313,0.151
Champaign,103,108734,0.541
Champaign,104,43503,0.216
Christian,95,28181,0.81
Christian,96,6619,0.19
Clark,110,16335,1
Clay,109,13815,1
Clinton,107,3136,0.083
Clinton,108,34626,0.917
Coles,110,53873,1
Cook,1,108734,0.021
Cook,2,108734,0.021
Cook,3,108734,0.021
Cook,4,108734,0.021
Cook,5,108734,0.021
Cook,6,108734,0.021
Cook,7,108734,0.021
Cook,8,108734,0.021
Cook,9,108734,0.021
Cook,10,108734,0.021
Cook,11,108734,0.021
Cook,12,108734,0.021
Cook,13,108734,0.021
Cook,14,108734,0.021
Cook,15,108735,0.021
Cook,16,108734,0.021
Cook,17,108734,0.021
Cook,18,108734,0.021
Cook,19,108734,0.021
Cook,20,108734,0.021
Cook,21,108734,0.021
Cook,22,108734,0.021
Cook,23,108734,0.021
Cook,24,108734,0.021
Cook,25,108734,0.021
Cook,26,108734,0.021
Cook,27,108734,0.021
Cook,28,108734,0.021
Cook,29,85735,0.017
Cook,30,108734,0.021
Cook,31,108734,0.021
Cook,32,108734,0.021
Cook,33,108734,0.021
Cook,34,76920,0.015
Cook,35,108734,0.021
Cook,36,108734,0.021
Cook,37,25599,0.005
Cook,38,99123,0.019
Cook,39,108734,0.021
Cook,40,108734,0.021
Cook,43,23416,0.005
Cook,44,108734,0.021
Cook,45,7993,0.002
Cook,47,7056,0.001
Cook,49,8023,0.002
Cook,51,646,0
Cook,52,15420,0.003
Cook,53,108734,0.021
Cook,54,108735,0.021
Cook,55,108735,0.021
Cook,56,87432,0.017
Cook,57,103858,0.02
Cook,58,8224,0.002
Cook,59,15888,0.003
Cook,77,62645,0.012
Cook,78,108734,0.021
Cook,80,65156,0.013
Cook,82,43444,0.008
Crawford,110,19817,1
Cumberland,110,11048,1
DeKalb,70,82517,0.785
DeKalb,90,22643,0.215
De Witt,101,16561,1
Douglas,102,19980,1
DuPage,41,74916,0.082
DuPage,42,108771,0.119
DuPage,45,100741,0.11
DuPage,46,108749,0.119
DuPage,47,101664,0.111
DuPage,48,108734,0.119
DuPage,49,42075,0.046
DuPage,56,21302,0.023
DuPage,77,46089,0.05
DuPage,81,105114,0.115
DuPage,82,39113,0.043
DuPage,84,42260,0.046
DuPage,85,17396,0.019
Edgar,102,16842,0.907
Edgar,110,1734,0.093
Edwards,109,6721,1
Effingham,107,26253,0.767
Effingham,109,7989,0.233
Fayette,107,22140,1
Ford,106,14081,1
Franklin,117,39561,1
Fulton,91,29033,0.783
Fulton,93,8036,0.217
Gallatin,118,5589,1
Greene,100,13886,1
Grundy,75,40683,0.813
Grundy,79,9380,0.187
Hamilton,117,2816,0.333
Hamilton,118,5641,0.667
Hancock,94,19104,1
Hardin,118,4320,1
Henderson,94,7331,1
Henry,71,8085,0.16
Henry,74,42401,0.84
Iroquois,106,29718,1
Jackson,115,44760,0.743
Jackson,118,15458,0.257
Jasper,109,9698,1
Jefferson,115,38827,1
Jersey,100,20523,0.893
Jersey,111,2462,0.107
Jo Daviess,89,22678,1
Johnson,118,12582,1
Kane,43,85318,0.166
Kane,49,58636,0.114
Kane,50,67130,0.13
Kane,52,12682,0.025
Kane,65,100555,0.195
Kane,66,35316,0.069
Kane,70,18897,0.037
Kane,83,108734,0.211
Kane,84,28001,0.054
Kankakee,34,19346,0.171
Kankakee,79,94103,0.829
Kendall,50,41605,0.363
Kendall,75,32950,0.287
Kendall,84,17323,0.151
Kendall,97,22858,0.199
Knox,74,30133,0.569
