County,HD #,HD Pop. in County,% of County in HD
Allen,2,1549,0.116
Allen,9,11822,0.884
Anderson,4,625,0.077
Anderson,5,7477,0.923
Atchison,62,1674,0.099
Atchison,63,15250,0.901
Barber,116,4861,1
Barton,109,2062,0.075
Barton,112,22384,0.809
Barton,113,3228,0.117
Bourbon,2,1236,0.081
Bourbon,4,13937,0.919
Brown,62,9984,1
Butler,12,4674,0.071
Butler,72,718,0.011
Butler,75,22858,0.347
Butler,77,22755,0.345
Butler,85,2278,0.035
Butler,99,12597,0.191
Chase,68,2790,1
Chautauqua,12,3669,1
Cherokee,1,21603,1
Cheyenne,120,2726,1
Clark,115,2215,1
Clay,64,8344,0.978
Clay,70,191,0.022
Cloud,107,9533,1
Coffey,76,8601,1
Comanche,115,585,0.309
Comanche,116,1306,0.691
Cowley,12,3454,0.095
Cowley,79,16768,0.462
Cowley,80,16089,0.443
Crawford,2,15368,0.393
Crawford,3,23766,0.607
Decatur,120,2961,1
Dickinson,68,2594,0.131
Dickinson,70,17160,0.869
Doniphan,63,7945,1
Douglas,10,24177,0.218
Douglas,42,6636,0.06
Douglas,44,24642,0.222
Douglas,45,23380,0.211
Douglas,46,30908,0.279
Douglas,54,1083,0.01
Edwards,117,3037,1
Elk,12,769,0.267
Elk,13,2113,0.733
Ellis,110,4118,0.145
Ellis,111,24334,0.855
Ellsworth,108,6497,1
Finney,117,156,0.004
Finney,122,13654,0.371
Finney,123,22966,0.624
Ford,115,8518,0.252
Ford,117,2729,0.081
Ford,119,22601,0.668
Franklin,5,6752,0.26
Franklin,59,19240,0.74
Geary,65,22884,0.666
Geary,68,11478,0.334
Gove,118,2695,1
Graham,110,1544,0.595
Graham,118,1053,0.405
Grant,124,7829,1
Gray,115,6006,1
Greeley,122,1247,1
Greenwood,13,6689,1
Hamilton,122,2690,1
Harper,116,6034,1
Harvey,72,22154,0.639
Harvey,74,12530,0.361
Haskell,115,479,0.113
Haskell,122,713,0.168
Haskell,124,3064,0.72
Hodgeman,117,1916,1
Jackson,61,12796,0.951
Jackson,62,666,0.049
Jefferson,47,19126,1
Jewell,106,1174,0.382
Jewell,109,1903,0.618
Johnson,8,22303,0.041
Johnson,14,22487,0.041
Johnson,15,22602,0.042
Johnson,16,22476,0.041
Johnson,17,21994,0.04
Johnson,18,22414,0.041
Johnson,19,22392,0.041
Johnson,20,22212,0.041
Johnson,21,22657,0.042
Johnson,22,22471,0.041
Johnson,23,22654,0.042
Johnson,24,22628,0.042
Johnson,25,22517,0.041
Johnson,26,19020,0.035
Johnson,27,22161,0.041
Johnson,28,22470,0.041
Johnson,29,22416,0.041
Johnson,30,22620,0.042
