County,HD #,HD Pop. in County,% of County in HD
Barnstable,1st Barnstable,41451,0.192
Barnstable,2nd Barnstable,40964,0.19
Barnstable,3rd Barnstable,42635,0.197
Barnstable,4th Barnstable,40252,0.186
Barnstable,"Barnstable, Dukes & Nantucket",14104,0.065
Barnstable,5th Barnstable,36482,0.169
Berkshire,1st Berkshire,39672,0.302
Berkshire,2nd Berkshire,14331,0.109
Berkshire,3rd Berkshire,41632,0.317
Berkshire,4th Berkshire,35584,0.271
Bristol,1st Bristol,22900,0.042
Bristol,2nd Bristol,39950,0.073
Bristol,3rd Bristol,42201,0.077
Bristol,4th Bristol,39441,0.072
Bristol,5th Bristol,41773,0.076
Bristol,6th Bristol,42605,0.078
Bristol,7th Bristol,39365,0.072
Bristol,8th Bristol,39083,0.071
Bristol,9th Bristol,42195,0.077
Bristol,10th Bristol,23998,0.044
Bristol,11th Bristol,39731,0.072
Bristol,12th Bristol,16932,0.031
Bristol,13th Bristol,41562,0.076
Bristol,14th Bristol,39970,0.073
Bristol,8th Norfolk,3909,0.007
Bristol,8th Plymouth,13383,0.024
Bristol,11th Plymouth,19287,0.035
Dukes,"Barnstable, Dukes & Nantucket",16535,1
Essex,1st Essex,41982,0.056
Essex,2nd Essex,42873,0.058
Essex,3rd Essex,41064,0.055
Essex,4th Essex,42891,0.058
Essex,5th Essex,39245,0.053
Essex,6th Essex,39502,0.053
Essex,7th Essex,41340,0.056
Essex,8th Essex,39980,0.054
Essex,9th Essex,27810,0.037
Essex,10th Essex,41618,0.056
Essex,11th Essex,39264,0.053
Essex,12th Essex,39947,0.054
Essex,13th Essex,42900,0.058
Essex,14th Essex,42409,0.057
Essex,15th Essex,42687,0.057
Essex,16th Essex,41039,0.055
Essex,17th Essex,40973,0.055
Essex,18th Essex,34865,0.047
Essex,20th Middlesex,15480,0.021
Essex,16th Suffolk,5290,0.007
Franklin,2nd Berkshire,27822,0.39
Franklin,1st Franklin,29793,0.417
Franklin,2nd Franklin,13757,0.193
Hampden,4th Berkshire,3493,0.008
Hampden,1st Franklin,1337,0.003
Hampden,1st Hampden,20064,0.043
Hampden,2nd Hampden,41215,0.089
Hampden,3rd Hampden,39506,0.085
Hampden,4th Hampden,41094,0.089
Hampden,5th Hampden,39880,0.086
Hampden,6th Hampden,39948,0.086
Hampden,7th Hampden,31647,0.068
Hampden,8th Hampden,40028,0.086
Hampden,9th Hampden,41934,0.09
Hampden,10th Hampden,42688,0.092
Hampden,11th Hampden,40284,0.087
Hampden,12th Hampden,39534,0.085
Hampden,1st Hampshire,838,0.002
Hampshire,1st Franklin,10135,0.064
Hampshire,2nd Franklin,3612,0.023
Hampshire,1st Hampden,6697,0.042
Hampshire,7th Hampden,11037,0.07
Hampshire,1st Hampshire,39227,0.248
Hampshire,2nd Hampshire,41895,0.265
Hampshire,3rd Hampshire,42302,0.268
Hampshire,5th Worcester,3175,0.02
Middlesex,9th Essex,14297,0.01
Middlesex,18th Essex,7062,0.005
