County,HD #,HD Pop. in County,% of County in HD
Adams,94,21489,0.665
Adams,96,3154,0.098
Adams,97,7654,0.237
Alcorn,1,9993,0.27
Alcorn,2,23275,0.628
Alcorn,3,2752,0.074
Alcorn,4,1037,0.028
Amite,96,8797,0.67
Amite,97,4334,0.33
Attala,27,6185,0.316
Attala,35,903,0.046
Attala,47,2085,0.107
Attala,48,10391,0.531
Benton,5,2017,0.231
Benton,13,6712,0.769
Bolivar,26,787,0.023
Bolivar,29,24441,0.716
Bolivar,30,6526,0.191
Bolivar,31,1225,0.036
Bolivar,50,1166,0.034
Calhoun,23,14962,1
Carroll,34,1037,0.098
Carroll,46,8361,0.789
Carroll,48,1199,0.113
Chickasaw,22,17392,1
Choctaw,35,8547,1
Claiborne,76,684,0.071
Claiborne,85,8920,0.929
Clarke,80,2716,0.162
Clarke,81,752,0.045
Clarke,84,13264,0.793
Clay,36,12722,0.617
Clay,37,5933,0.288
Clay,38,1979,0.096
Coahoma,9,2847,0.109
Coahoma,26,23304,0.891
Copiah,62,2964,0.101
Copiah,76,20543,0.698
Copiah,91,824,0.028
Copiah,92,5118,0.174
Covington,90,18565,0.949
Covington,91,1003,0.051
DeSoto,6,24931,0.155
DeSoto,7,24393,0.151
DeSoto,24,25485,0.158
DeSoto,25,25356,0.157
DeSoto,28,25326,0.157
DeSoto,40,24700,0.153
DeSoto,52,11061,0.069
Forrest,87,6254,0.083
Forrest,102,21317,0.284
Forrest,103,24251,0.324
Forrest,104,23112,0.308
Franklin,53,2730,0.336
Franklin,85,3632,0.447
Franklin,94,1309,0.161
Franklin,97,447,0.055
George,105,2474,0.11
George,107,15014,0.665
George,109,5090,0.225
Greene,86,1397,0.097
Greene,105,13003,0.903
Grenada,23,4359,0.199
Grenada,33,4548,0.208
Grenada,34,12626,0.576
Grenada,46,373,0.017
Hancock,93,7206,0.164
Hancock,95,13114,0.299
Hancock,122,23609,0.537
Harrison,95,12404,0.066
Harrison,114,469,0.003
Harrison,115,25295,0.135
Harrison,116,25024,0.134
Harrison,117,25448,0.136
Harrison,118,24956,0.133
Harrison,119,23836,0.127
Harrison,120,25246,0.135
Harrison,121,24427,0.131
Hinds,56,20598,0.084
Hinds,63,22015,0.09
Hinds,64,21953,0.089
Hinds,65,23229,0.095
Hinds,66,25415,0.104
Hinds,67,23705,0.097
Hinds,68,21400,0.087
Hinds,69,23940,0.098
Hinds,70,23446,0.096
Hinds,71,25353,0.103
Hinds,72,11736,0.048
Hinds,76,2495,0.01
Holmes,34,3950,0.206
Holmes,47,12857,0.67
Holmes,48,2391,0.125
Humphreys,31,308,0.033
Humphreys,51,9067,0.967
Issaquena,50,958,0.681
Issaquena,54,448,0.319
Itawamba,19,6446,0.275
Itawamba,20,142,0.006
Itawamba,21,16813,0.718
Jackson,109,18767,0.134
Jackson,110,23238,0.166
Jackson,111,25479,0.182
Jackson,112,23944,0.171
Jackson,113,24572,0.176
Jackson,114,23668,0.169
Jasper,79,9042,0.53
Jasper,80,4654,0.273
Jasper,84,2184,0.128
Jasper,88,1182,0.069
Jefferson,85,5594,0.724
Jefferson,94,2132,0.276
Jefferson Davis,53,263,0.021
Jefferson Davis,90,1028,0.082
Jefferson Davis,91,11196,0.897
Jones,80,18092,0.267
Jones,88,24310,0.359
Jones,89,25359,0.374
Kemper,45,10456,1
Lafayette,5,1316,0.028
Lafayette,8,1157,0.024
Lafayette,10,8885,0.188
Lafayette,12,24808,0.524
Lafayette,13,10147,0.214
Lafayette,23,1038,0.022
Lamar,87,17513,0.315
Lamar,99,3375,0.061
Lamar,100,5999,0.108
Lamar,101,23180,0.416
Lamar,102,2008,0.036
Lamar,106,3583,0.064
Lauderdale,45,9586,0.119
Lauderdale,81,22559,0.281
Lauderdale,82,23704,0.295
Lauderdale,83,24412,0.304
Lawrence,53,3070,0.237
Lawrence,91,8934,0.691
Lawrence,92,925,0.072
Leake,27,10698,0.449
Leake,44,858,0.036
Leake,48,10344,0.435
Leake,78,1905,0.08
Lee,16,22950,0.277
Lee,17,23280,0.281
Lee,18,17442,0.21
Lee,19,16793,0.203
Lee,20,2445,0.029
Leflore,32,23161,0.717
Leflore,34,5621,0.174
Leflore,46,3535,0.109
Lincoln,53,15971,0.458
Lincoln,92,18898,0.542
Lowndes,37,15726,0.263
Lowndes,38,599,0.01
Lowndes,39,18028,0.302
Lowndes,41,23263,0.389
Lowndes,42,2163,0.036
Madison,27,5543,0.058
Madison,56,4290,0.045
Madison,57,24431,0.257
Madison,58,24432,0.257
Madison,64,1709,0.018
Madison,72,11500,0.121
Madison,73,23298,0.245
Marion,99,8215,0.303
Marion,100,18873,0.697
Marshall,5,19982,0.538
Marshall,13,3405,0.092
Marshall,52,13757,0.37
Monroe,16,214,0.006
Monroe,20,20676,0.559
Monroe,36,10412,0.281
Monroe,39,5687,0.154
Montgomery,46,10925,1
Neshoba,44,24539,0.827
Neshoba,45,5137,0.173
Newton,78,12094,0.557
Newton,84,9626,0.443
Noxubee,42,11545,1
Oktibbeha,37,2150,0.045
Oktibbeha,38,20600,0.432
