County,HD #,HD Pop. in County,% of County in HD
Adams,91,63921,0.63
Adams,193,37486,0.37
Allegheny,16,2852,0.002
Allegheny,19,60421,0.049
Allegheny,20,60424,0.049
Allegheny,21,60110,0.049
Allegheny,23,61268,0.05
Allegheny,24,60119,0.049
Allegheny,25,61621,0.05
Allegheny,27,60431,0.049
Allegheny,28,61510,0.05
Allegheny,30,63379,0.052
Allegheny,32,64219,0.052
Allegheny,33,43004,0.035
Allegheny,34,60609,0.05
Allegheny,35,61200,0.05
Allegheny,36,60847,0.05
Allegheny,38,64003,0.052
Allegheny,39,48421,0.04
Allegheny,40,40419,0.033
Allegheny,42,60780,0.05
Allegheny,44,61658,0.05
Allegheny,45,61008,0.05
Allegheny,46,29730,0.024
Allegheny,54,15315,0.013
Armstrong,55,6547,0.095
Armstrong,60,45302,0.657
Armstrong,63,17092,0.248
Beaver,10,27671,0.162
Beaver,14,47495,0.278
Beaver,15,35809,0.21
Beaver,16,59564,0.349
Bedford,69,12902,0.259
Bedford,78,36860,0.741
Berks,5,61841,0.15
Berks,124,19571,0.048
Berks,126,63848,0.155
Berks,127,64252,0.156
Berks,128,56683,0.138
Berks,129,51421,0.125
Berks,130,62534,0.152
Berks,134,17871,0.043
Berks,187,13421,0.033
Blair,79,63113,0.497
Blair,80,63976,0.503
Bradford,68,17058,0.272
Bradford,110,45564,0.728
Bucks,18,60427,0.097
Bucks,29,63429,0.101
Bucks,31,63073,0.101
Bucks,140,61160,0.098
Bucks,141,62570,0.1
Bucks,142,64837,0.104
Bucks,143,62717,0.1
Bucks,144,61914,0.099
Bucks,145,62991,0.101
Bucks,178,62131,0.099
Butler,8,23313,0.127
Butler,10,9239,0.05
Butler,11,60755,0.33
Butler,12,61137,0.333
Butler,14,12724,0.069
Butler,60,10842,0.059
Butler,64,5852,0.032
Cambria,71,64013,0.446
Cambria,72,64033,0.446
Cambria,73,15633,0.109
Cameron,67,5085,1
Carbon,122,62215,0.954
Carbon,124,3034,0.046
Centre,76,24111,0.157
Centre,77,64021,0.416
Centre,81,15559,0.101
Centre,171,50299,0.327
Chester,13,58883,0.118
Chester,26,55908,0.112
Chester,74,62890,0.126
Chester,155,63660,0.128
Chester,156,63470,0.127
Chester,157,49048,0.098
Chester,158,60613,0.121
Chester,160,21823,0.044
Chester,167,62591,0.125
Clarion,63,39988,1
Clearfield,73,49259,0.603
Clearfield,75,32383,0.397
Clinton,76,39238,1
Columbia,107,3877,0.058
Columbia,109,63418,0.942
Crawford,6,50259,0.566
Crawford,17,21292,0.24
Crawford,65,17214,0.194
Cumberland,86,18869,0.08
Cumberland,87,63291,0.269
Cumberland,88,61489,0.261
Cumberland,92,5823,0.025
Cumberland,193,23609,0.1
Cumberland,199,62325,0.265
Dauphin,98,5235,0.02
Dauphin,103,64170,0.239
Dauphin,104,58416,0.218
Dauphin,105,62951,0.235
Dauphin,106,64229,0.24
Dauphin,125,13099,0.049
Delaware,159,60270,0.108
Delaware,160,41508,0.074
Delaware,161,63539,0.114
Delaware,162,63600,0.114
Delaware,163,62505,0.112
Delaware,164,61023,0.109
Delaware,165,63806,0.114
Delaware,166,51995,0.093
Delaware,168,61472,0.11
Delaware,185,11714,0.021
Delaware,191,17547,0.031
Elk,75,31946,1
Erie,1,60428,0.215
Erie,2,61102,0.218
Erie,3,63364,0.226
Erie,4,60603,0.216
Erie,6,14171,0.051
Erie,17,20898,0.074
Fayette,49,10675,0.078
Fayette,50,17995,0.132
Fayette,51,51241,0.375
Fayette,52,56695,0.415
Forest,63,3990,0.517
Forest,65,3726,0.483
Franklin,78,12476,0.083
Franklin,82,10349,0.069
Franklin,89,62975,0.421
Franklin,90,63818,0.427
Fulton,78,14845,1
Greene,50,38686,1
Huntingdon,81,45913,1
Indiana,55,873,0.01
Indiana,60,5306,0.06
Indiana,62,63460,0.714
Indiana,66,19241,0.216
Jefferson,66,45200,1
Juniata,82,24636,1
Lackawanna,112,63713,0.297
Lackawanna,113,64445,0.301
Lackawanna,114,63360,0.295
Lackawanna,117,3994,0.019
Lackawanna,118,18925,0.088
Lancaster,13,4563,0.009
Lancaster,37,61166,0.118
Lancaster,41,62692,0.121
Lancaster,43,61192,0.118
Lancaster,96,63712,0.123
Lancaster,97,63829,0.123
Lancaster,98,57078,0.11
Lancaster,99,62684,0.121
Lancaster,100,63248,0.122
Lancaster,128,7199,0.014
Lancaster,129,12082,0.023
Lawrence,9,60516,0.664
Lawrence,10,25411,0.279
Lawrence,17,5181,0.057
Lebanon,101,64543,0.483
Lebanon,102,63843,0.478
Lebanon,104,5182,0.039
Lehigh,22,61697,0.177
Lehigh,131,40568,0.116
Lehigh,132,62145,0.178
Lehigh,133,61468,0.176
Lehigh,134,46235,0.132
Lehigh,183,26877,0.077
Lehigh,187,50507,0.145
Luzerne,116,61883,0.193
