County,HD #,HD Pop. in County,% of County in HD
Anderson,8,58458,1
Andrews,81,14786,1
Angelina,57,86771,1
Aransas,30,23158,1
Archer,69,9054,1
Armstrong,88,1901,1
Atascosa,31,44911,1
Austin,13,28417,1
Bailey,88,7165,1
Bandera,53,20485,1
Bastrop,17,74171,1
Baylor,69,3726,1
Bee,43,31861,1
Bell,54,148059,0.477
Bell,55,162176,0.523
Bexar,116,171463,0.1
Bexar,117,168692,0.098
Bexar,118,164436,0.096
Bexar,119,159981,0.093
Bexar,120,175132,0.102
Bexar,121,174867,0.102
Bexar,122,175184,0.102
Bexar,123,175674,0.102
Bexar,124,174795,0.102
Bexar,125,174549,0.102
Blanco,45,10497,1
Borden,83,641,1
Bosque,58,18212,1
Bowie,1,92565,1
Brazoria,25,137466,0.439
Brazoria,29,175700,0.561
Brazos,12,31664,0.163
Brazos,14,163187,0.837
Brewster,74,9232,1
Briscoe,88,1637,1
Brooks,31,7223,1
Brown,60,38106,1
Burleson,13,17187,1
Burnet,20,42750,1
Caldwell,17,38066,1
Calhoun,30,21381,1
Callahan,60,13544,1
Cameron,35,68918,0.17
Cameron,37,169088,0.416
Cameron,38,168214,0.414
Camp,5,12401,1
Carson,87,6182,1
Cass,9,30464,1
Castro,88,8062,1
Chambers,23,35096,1
Cherokee,11,50845,1
Childress,68,7041,1
Clay,69,10752,1
Cochran,88,3127,1
Coke,72,3320,1
Coleman,60,8895,1
Collin,33,93798,0.12
Collin,66,172129,0.22
Collin,67,172141,0.22
Collin,70,172143,0.22
Collin,89,172130,0.22
Collingsworth,68,3057,1
Colorado,13,20874,1
Comal,73,108472,1
Comanche,59,13974,1
Concho,72,4087,1
Cooke,68,38437,1
Coryell,59,75388,1
Cottle,68,1505,1
Crane,82,4375,1
Crockett,53,3719,1
Crosby,68,6059,1
Culberson,74,2398,1
Dallam,86,6703,1
Dallas,100,161143,0.068
Dallas,102,161136,0.068
Dallas,103,170948,0.072
Dallas,104,172784,0.073
Dallas,105,175728,0.074
Dallas,107,171872,0.073
Dallas,108,163233,0.069
Dallas,109,174219,0.074
Dallas,110,167508,0.071
Dallas,111,166967,0.071
Dallas,112,167051,0.071
Dallas,113,171418,0.072
Dallas,114,172330,0.073
Dallas,115,171802,0.073
Dawson,82,13833,1
Deaf Smith,86,19372,1
Delta,62,5231,1
Denton,63,167337,0.253
Denton,64,167588,0.253
Denton,65,165726,0.25
Denton,106,161963,0.244
DeWitt,30,20097,1
Dickens,68,2444,1
Dimmit,80,9996,1
Donley,88,3677,1
Duval,31,11782,1
Eastland,60,18583,1
Ector,81,137130,1
Edwards,53,2002,1
Ellis,10,149610,1
El Paso,75,159691,0.199
El Paso,76,159752,0.2
El Paso,77,160385,0.2
El Paso,78,160161,0.2
El Paso,79,160658,0.201
Erath,59,37890,1
Falls,12,17866,1
Fannin,62,33915,1
Fayette,13,24554,1
Fisher,68,3974,1
Floyd,68,6446,1
Foard,69,1336,1
Fort Bend,26,160091,0.273
Fort Bend,27,160080,0.273
Fort Bend,28,160373,0.274
Fort Bend,85,104827,0.179
Fort Bend,131,4,0
Franklin,1,10605,1
Freestone,8,19816,1
Frio,80,17217,1
Gaines,83,17526,1
Galveston,23,128624,0.442
Galveston,24,162685,0.558
Garza,68,6461,1
Gillespie,73,24837,1
Glasscock,72,1226,1
Goliad,30,7210,1
Gonzales,17,19807,1
Gray,88,22535,1
Grayson,62,120877,1
Gregg,7,121730,1
Grimes,13,26604,1
Guadalupe,44,131533,1
Hale,88,36273,1
Hall,68,3353,1
Hamilton,59,8517,1
Hansford,88,5613,1
Hardeman,68,4139,1
Hardin,19,54635,1
Harris,126,169256,0.041
Harris,127,163983,0.04
Harris,128,172221,0.042
Harris,129,174127,0.043
Harris,130,175532,0.043
Harris,131,175227,0.043
Harris,132,172973,0.042
Harris,133,171401,0.042
Harris,134,174421,0.043
Harris,135,172422,0.042
Harris,137,171079,0.042
Harris,138,173059,0.042
Harris,139,175733,0.043
Harris,140,170732,0.042
Harris,141,166498,0.041
Harris,142,159541,0.039
Harris,143,167215,0.041
Harris,144,161859,0.04
Harris,145,164574,0.04
Harris,146,174485,0.043
Harris,147,175873,0.043
Harris,148,170811,0.042
Harris,149,170702,0.042
Harris,150,168735,0.041
Harrison,9,65631,1
Hartley,86,6062,1
Haskell,68,5899,1
Hays,45,157107,1
Hemphill,88,3807,1
Henderson,4,65079,0.829
Henderson,10,13453,0.171
Hidalgo,35,99709,0.129
Hidalgo,36,168963,0.218
Hidalgo,39,168659,0.218
Hidalgo,40,168662,0.218
Hidalgo,41,168776,0.218
Hill,8,35089,1
Hockley,88,22935,1
Hood,60,51182,1
Hopkins,2,35161,1
Houston,57,23732,1
Howard,72,35012,1
Hudspeth,74,3476,1
Hunt,2,86129,1
Hutchinson,87,22150,1
Irion,72,1599,1
Jack,68,9044,1
Jackson,85,14075,1
Jasper,19,35710,1
Jeff Davis,74,2342,1
Jefferson,21,90343,0.358
Jefferson,22,161930,0.642
Jim Hogg,31,5300,1
Jim Wells,43,40838,1
Johnson,58,150934,1
Jones,71,20202,1
Karnes,17,14824,1
Kaufman,4,103350,1
Kendall,73,33410,1
Kenedy,31,416,1
Kent,68,808,1
Kerr,53,49625,1
