County,HD #,HD Pop. in County,% of County in HD
Accomack county,100,33164,1
Albemarle county,25,21420,0.216429221
Albemarle county,57,37303,0.376912196
Albemarle county,58,30929,0.312508841
Albemarle county,59,9318,0.094149742
Alleghany county,19,16250,1
Amelia county,61,12690,1
Amherst county,23,10678,0.330046673
Amherst county,24,21675,0.669953327
Appomattox county,59,14973,1
Arlington county,45,14388,0.069297346
Arlington county,47,80757,0.388952304
Arlington county,48,55008,0.264936641
Arlington county,49,57474,0.276813709
Augusta county,20,24485,0.332
Augusta county,24,17273,0.234210169
Augusta county,25,31992,0.433789831
Bath county,24,4731,1
Bedford County,19,29170,0.389463003
Bedford County,22,28780,0.384255921
Bedford County,23,16948,0.226281076
Bland county,3,6824,1
Botetourt county,17,4449,0.134216242
Botetourt county,19,28699,0.865783758
Brunswick county,75,17434,1
Buchanan county,3,24098,1
Buckingham county,59,17146,1
Campbell county,22,17154,0.312789468
Campbell county,59,30664,0.559133511
Campbell county,60,7024,0.128077021
Caroline county,54,2484,0.087020494
Caroline county,55,19742,0.691609739
Caroline county,99,6319,0.221369767
Carroll county,6,30042,1
Charles City,70,7256,1
Charlotte county,60,12586,1
Chesterfield county,27,79381,0.251018227
Chesterfield county,62,52051,0.164595429
Chesterfield county,63,19393,0.061324454
Chesterfield county,65,33896,0.107185773
Chesterfield county,66,62400,0.197320988
Chesterfield county,68,40203,0.127129739
Chesterfield county,70,28912,0.091425391
Clarke county,10,4309,0.307040046
Clarke county,33,9725,0.692959954
Craig county,8,5190,1
Culpeper county,18,12895,0.276189252
Culpeper county,30,33794,0.723810748
Cumberland county,61,10052,1
Dickenson county,4,15903,1
Dinwiddie county,63,28001,1
Essex county,98,11151,1
Fairfax county,34,53301,0.049274031
Fairfax county,35,80213,0.074152789
Fairfax county,36,79746,0.073721072
Fairfax county,37,57690,0.053331435
Fairfax county,38,80758,0.074656614
Fairfax county,39,80710,0.07461224
Fairfax county,40,66026,0.061037638
Fairfax county,41,80792,0.074688045
Fairfax county,42,79964,0.073922601
Fairfax county,43,80750,0.074649218
Fairfax county,44,80796,0.074691743
Fairfax county,45,6219,0.005749145
Fairfax county,48,24484,0.022634198
Fairfax county,49,23135,0.021387117
Fairfax county,53,67717,0.06260088
Fairfax county,67,70636,0.065299346
Fairfax county,86,68789,0.063591889
Fauquier county,18,40915,0.627501802
Fauquier county,31,15101,0.231599773
Fauquier county,88,9187,0.140898425
Floyd county,7,15279,1
Fluvanna county,58,18460,0.718539566
Fluvanna county,65,7231,0.281460434
Franklin county,9,46650,0.830677184
Franklin county,22,9509,0.169322816
Frederick county,10,13649,0.1743056
Frederick county,29,43969,0.561509482
Frederick county,33,20687,0.264184918
Giles county,12,17286,1
Gloucester county,98,36858,1
Goochland county,56,11526,0.53073629
Goochland county,65,10191,0.46926371
Grayson county,5,15533,1
Greene county,58,18403,1
Greensville county,75,12243,1
Halifax county,60,36241,1
Hanover county,55,50481,0.505502538
Hanover county,97,49382,0.494497462
Henrico county,56,29812,0.097128056
Henrico county,68,4472,0.01456986
Henrico county,70,33716,0.109847362
Henrico county,72,79445,0.258833303
Henrico county,73,80135,0.261081336
Henrico county,74,79355,0.258540082
Henry county,9,15434,0.285017821
Henry county,14,15368,0.283799006
Henry county,16,23349,0.431183173
Highland county,20,2321,1
Isle of Wight county,64,35270,1
James City,93,20694,0.308824188
James City,96,46315,0.691175812
King and Queen county,98,6945,1
King George county,99,23584,1
King William county,97,11575,0.726388453
King William county,98,4360,0.273611547
Lancaster county,99,11391,1
Lee county,1,25587,1
Loudoun county,10,62659,0.200630141
Loudoun county,32,80268,0.257013041
Loudoun county,33,50138,0.160538694
Loudoun county,34,27421,0.087800302
Loudoun county,67,8997,0.028807823
Loudoun county,86,11958,0.038288757
Loudoun county,87,70870,0.226921242
Louisa county,56,33153,1
Lunenburg county,61,8470,0.655877342
Lunenburg county,75,4444,0.344122658
Madison county,30,13308,1
Mathews county,98,8978,1
Mecklenburg county,61,32727,1
Middlesex county,98,10959,1
Montgomery county,7,35026,0.371069582
Montgomery county,8,17599,0.186445885
Montgomery county,12,41767,0.442484533
Nelson county,20,7776,0.51770972
Nelson county,59,7244,0.48229028
New Kent county,97,18429,1
Northampton county,100,12389,1
Northumberland county,99,12330,1
Nottoway county,61,15853,1
Orange county,30,33481,1
Page county,15,24042,1
Patrick county,9,18490,1
Pittsylvania county,14,20984,0.330425472
Pittsylvania county,16,42522,0.669574528
Powhatan county,65,28046,1
Prince Edward county,60,23368,1
Prince George county,62,5083,0.142281316
Prince George county,64,30642,0.857718684
Prince William county,2,45961,0.114330277
Prince William county,13,66306,0.164939478
Prince William county,31,64109,0.159474331
Prince William county,40,14703,0.036574445
Prince William county,50,42856,0.106606435
Prince William county,51,80372,0.199929354
Prince William county,52,79290,0.197237825
Prince William county,87,8405,0.020907856
Pulaski county,7,29841,0.855729525
Pulaski county,12,5031,0.144270475
Rappahannock county,18,7373,1
Richmond county,99,9254,1
Roanoke county,8,33094,0.358253226
Roanoke county,17,59282,0.641746774
Rockbridge county,24,22307,1
Rockingham county,15,4966,0.06507325
Rockingham county,25,26599,0.348546794
Rockingham county,26,31774,0.416358728
Rockingham county,58,12975,0.170021228
Russell county,3,4583,0.158597778
Russell county,4,24314,0.841402222
Scott county,1,23177,1
Shenandoah county,15,41993,1
Smyth county,5,11877,0.368759314
Smyth county,6,20331,0.631240686
Southampton county,75,18570,1
Spotsylvania county,54,77671,0.634582547
Spotsylvania county,55,9355,0.076431612
Spotsylvania county,56,4780,0.039053245
Spotsylvania county,88,30591,0.249932596
Stafford county,2,33530,0.260001086
Stafford county,28,70354,0.545544777
Stafford county,88,25077,0.194454137
Surry county,64,7058,1
Sussex county,75,12087,1
Tazewell county,3,45078,1
Warren county,15,9629,0.256260812
Warren county,18,18267,0.486147705
Warren county,29,9679,0.257591484
Washington county,4,26563,0.48405496
Washington county,5,28313,0.51594504
Westmoreland county,99,17454,1
Wise county,1,27786,0.670317476
Wise county,4,13666,0.329682524
Wythe county,6,29235,1
York county,91,9439,0.144186118
York county,93,23123,0.353217035
York county,96,32902,0.502596847
Alexandria city,45,59633,0.42605347
Alexandria city,46,80333,0.57394653
Bristol city,5,17835,1
Buena Vista city,24,6650,1
Charlottesville city,57,43475,1
Chesapeake city,21,5030,0.022636347
