County,SD #,SD Pop. in County,% of County in SD
Aleutians East,S,3141,1
Aleutians West,S,5561,1
Anchorage,F,7739,0.027
Anchorage,G,35496,0.122
Anchorage,H,35478,0.122
Anchorage,I,35722,0.122
Anchorage,J,35410,0.121
Anchorage,K,35397,0.121
Anchorage,L,35511,0.122
Anchorage,M,35617,0.122
Anchorage,N,35456,0.121
Bethel,S,17013,1
Bristol Bay,S,997,1
Denali,C,1826,1
Dillingham,S,4847,1
Fairbanks North Star,A,35464,0.363
Fairbanks North Star,B,35459,0.363
Fairbanks North Star,C,26658,0.273
Haines,Q,2508,1
Hoonah-Angoon,Q,552,0.257
Hoonah-Angoon,R,1598,0.743
Juneau,Q,31275,1
Kenai Peninsula,O,36047,0.651
Kenai Peninsula,P,19353,0.349
Ketchikan Gateway,R,13477,1
Kodiak Island,P,13592,1
Kusilvak,S,746,0.1
Kusilvak,T,6713,0.9
Lake and Peninsula,S,1631,1
Matanuska-Susitna,D,35533,0.399
Matanuska-Susitna,E,25814,0.29
Matanuska-Susitna,F,27648,0.311
Nome,T,9492,1
North Slope,T,9430,1
Northwest Arctic,T,7523,1
Petersburg,R,3815,1
Prince of Wales-Hyder,R,5559,1
Sitka,R,8881,1
Skagway Municipality,Q,968,1
Southeast Fairbanks,C,2232,0.318
Southeast Fairbanks,E,4797,0.682
Valdez-Cordova,C,2240,0.232
Valdez-Cordova,E,4955,0.514
Valdez-Cordova,P,2441,0.253
Wrangell City and Borough,R,2369,1
Yakutat,P,662,1
Yukon-Koyukuk,C,2688,0.481
Yukon-Koyukuk,S,1058,0.189
Yukon-Koyukuk,T,1842,0.33
