County,SD #,SD Pop. in County,% of County in SD
Adams,21,147077,0.333
Adams,24,147254,0.333
Adams,25,147272,0.333
Alamosa,35,15445,1
Arapahoe,26,143001,0.25
Arapahoe,27,140830,0.246
Arapahoe,28,140632,0.246
Arapahoe,29,140780,0.246
Arapahoe,31,6760,0.012
Archuleta,6,12084,1
Baca,35,3788,1
Bent,35,6499,1
Boulder,16,14293,0.049
Boulder,17,140126,0.476
Boulder,18,140148,0.476
Broomfield,23,55889,1
Chaffee,5,17809,1
Cheyenne,1,1836,1
Clear Creek,2,9088,1
Conejos,35,8256,1
Costilla,35,3524,1
Crowley,35,5823,1
Custer,35,4255,1
Delta,5,30952,1
Denver,16,27983,0.047
Denver,31,140423,0.234
Denver,32,145528,0.242
Denver,33,145605,0.243
Denver,34,140619,0.234
Dolores,6,2064,1
Douglas,4,142188,0.498
Douglas,30,143277,0.502
Eagle,5,52197,1
Elbert,1,23086,1
El Paso,2,50285,0.081
El Paso,9,145975,0.235
El Paso,10,144855,0.233
El Paso,11,140096,0.225
El Paso,12,141052,0.227
Fremont,2,46824,1
Garfield,8,56389,1
Gilpin,16,5441,1
Grand,8,14843,1
Gunnison,5,15324,1
Hinsdale,5,843,1
Huerfano,35,6711,1
Jackson,8,1394,1
Jefferson,16,99228,0.186
Jefferson,19,140983,0.264
Jefferson,20,147164,0.275
Jefferson,22,147168,0.275
Kiowa,35,1398,1
Kit Carson,1,8270,1
Lake,5,7310,1
La Plata,6,51334,1
Larimer,14,146707,0.49
Larimer,15,140982,0.471
Larimer,23,11941,0.04
Las Animas,35,15507,1
Lincoln,1,5467,1
Logan,1,22709,1
Mesa,7,146723,1
Mineral,35,712,1
Moffat,8,13795,1
Montezuma,6,25535,1
Montrose,6,41276,1
Morgan,1,28159,1
Otero,35,18831,1
Ouray,6,4436,1
Park,2,16206,1
Phillips,1,4442,1
Pitkin,5,17148,1
Prowers,35,12551,1
Pueblo,3,140106,0.881
Pueblo,35,18957,0.119
Rio Blanco,8,6666,1
Rio Grande,35,11982,1
Routt,8,23509,1
Saguache,35,6108,1
San Juan,6,699,1
San Miguel,6,7359,1
Sedgwick,1,2379,1
Summit,8,27994,1
Teller,2,23350,1
Washington,1,4814,1
Weld,1,32855,0.13
Weld,13,144390,0.571
Weld,23,75580,0.299
Yuma,1,10043,1
