County,SD #,SD Pop. in County,% of County in SD
Kent,14,13465,0.083
Kent,15,44527,0.274
Kent,16,41359,0.255
Kent,17,44707,0.275
Kent,18,18252,0.112
New Castle,1,41995,0.078
New Castle,2,41184,0.076
New Castle,3,40878,0.076
New Castle,4,41287,0.077
New Castle,5,40722,0.076
New Castle,7,42033,0.078
New Castle,8,44063,0.082
New Castle,9,41073,0.076
New Castle,10,44841,0.083
New Castle,11,42149,0.078
New Castle,12,44750,0.083
New Castle,13,42134,0.078
New Castle,14,31370,0.058
Sussex,6,41985,0.213
Sussex,18,27059,0.137
Sussex,19,42775,0.217
Sussex,20,42523,0.216
Sussex,21,42803,0.217
