County,SD #,SD Pop. in County,% of County in SD
Hawaii,1,45714,0.247
Hawaii,2,46920,0.254
Hawaii,3,47398,0.256
Hawaii,4,45047,0.243
Honolulu,9,54643,0.057
Honolulu,10,55558,0.058
Honolulu,11,56913,0.06
Honolulu,12,57419,0.06
Honolulu,13,54590,0.057
Honolulu,14,52805,0.055
Honolulu,15,66817,0.07
Honolulu,16,58384,0.061
Honolulu,17,51123,0.054
Honolulu,18,57318,0.06
Honolulu,19,54661,0.057
Honolulu,20,52806,0.055
Honolulu,21,51669,0.054
Honolulu,22,54353,0.057
Honolulu,23,58255,0.061
Honolulu,24,62011,0.065
Honolulu,25,53882,0.057
Kalawao,7,90,1
Kauai,8,67091,1
Maui,5,53973,0.349
Maui,6,49400,0.319
Maui,7,51461,0.332
