County,SD #,SD Pop. in County,% of County in SD
Adair,16,18656,1
Allen,9,19956,1
Anderson,7,21421,1
Ballard,2,8249,1
Barren,9,42173,1
Bath,21,11591,1
Bell,30,28691,1
Boone,11,118811,1
Bourbon,27,19985,1
Boyd,18,49542,1
Boyle,15,28432,1
Bracken,24,8488,1
Breathitt,30,13878,1
Breckinridge,5,20059,1
Bullitt,38,74319,1
Butler,6,12690,1
Caldwell,4,12984,1
Calloway,1,37191,1
Campbell,24,90336,1
Carlisle,2,5104,1
Carroll,20,10811,1
Carter,18,27720,1
Casey,14,15955,1
Christian,3,73955,1
Clark,28,35613,1
Clay,25,21730,1
Clinton,16,10272,1
Crittenden,4,9315,1
Cumberland,16,6856,1
Daviess,8,96656,1
Edmonson,5,12161,1
Elliott,31,7852,1
Estill,21,14672,1
Fayette,12,110318,0.373
Fayette,13,115389,0.39
Fayette,22,11548,0.039
Fayette,28,48216,0.163
Fayette,34,10332,0.035
Fleming,27,14348,1
Floyd,29,39451,1
Franklin,7,49285,1
Fulton,1,6813,1
Gallatin,7,8589,1
Garrard,22,16912,1
Grant,17,24662,1
Graves,1,37121,1
Grayson,5,25746,1
Green,9,11258,1
Greenup,18,36910,1
Hancock,8,8565,1
Hardin,10,105543,1
Harlan,29,29278,1
Harrison,27,18846,1
Hart,5,18199,1
Henderson,4,46250,1
Henry,20,15416,1
Hickman,1,4902,1
Hopkins,6,46920,1
Jackson,21,13494,1
Jefferson,10,13482,0.018
Jefferson,14,20779,0.028
Jefferson,19,119076,0.161
Jefferson,20,32654,0.044
Jefferson,26,51111,0.069
Jefferson,33,110891,0.15
Jefferson,35,115338,0.156
Jefferson,36,114999,0.155
Jefferson,37,117972,0.159
Jefferson,38,44794,0.06
Jessamine,22,48586,1
Johnson,30,23356,1
Kenton,17,44129,0.276
Kenton,23,115591,0.724
Knott,29,16346,1
Knox,25,31883,1
Larue,5,14193,1
Laurel,21,58849,1
Lawrence,31,15860,1
Lee,25,7887,1
Leslie,30,11310,1
Letcher,29,24519,1
Lewis,27,13870,1
Lincoln,15,24742,1
Livingston,4,9519,1
Logan,3,26835,1
Lyon,1,8314,1
McCracken,2,65565,1
McCreary,16,18306,1
McLean,8,9531,1
Madison,34,82916,1
Magoffin,30,13333,1
Marion,14,19820,1
Marshall,2,31448,1
Martin,31,12929,1
Mason,27,17490,1
Meade,5,28602,1
Menifee,21,6306,1
Mercer,22,21331,1
Metcalfe,9,10099,1
Monroe,9,10963,1
Montgomery,28,26499,1
Morgan,31,13923,1
Muhlenberg,6,31499,1
Nelson,14,43437,1
Nicholas,27,7135,1
Ohio,6,23842,1
Oldham,26,60316,1
Owen,7,10841,1
Owsley,25,4755,1
Pendleton,24,14877,1
Perry,30,28712,1
Pike,31,65024,1
Powell,21,12613,1
Pulaski,15,63063,1
Robertson,27,2282,1
Rockcastle,34,17056,1
Rowan,27,23333,1
Russell,16,17565,1
Scott,17,47173,1
Shelby,20,42074,1
Simpson,9,17327,1
Spencer,14,17061,1
Taylor,16,24512,1
Todd,3,12460,1
Trigg,1,14339,1
Trimble,20,8809,1
Union,4,15007,1
Warren,32,113792,1
Washington,22,11717,1
Wayne,16,20813,1
Webster,4,13621,1
Whitley,25,35637,1
Wolfe,25,7355,1
Woodford,7,24939,1
