County,SD #,SD Pop. in County,% of County in SD
Barnstable,Plymouth & Barnstable,71960,0.333
Barnstable,Cape & Islands,143928,0.667
Berkshire,"Berkshire, Hampshire, Franklin & Hampden",131219,1
Bristol,"Norfolk, Bristol & Middlesex",46907,0.086
Bristol,Bristol & Norfolk,92943,0.17
Bristol,"Norfolk, Bristol & Plymouth",15436,0.028
Bristol,2nd Plymouth & Bristol,7676,0.014
Bristol,1st Plymouth & Bristol,82754,0.151
Bristol,1st Bristol & Plymouth,147289,0.269
Bristol,2nd Bristol & Plymouth,155280,0.283
Dukes,Cape & Islands,16535,1
Essex,2nd Essex & Middlesex,109581,0.147
Essex,1st Essex,170732,0.23
Essex,1st Essex & Middlesex,132617,0.178
Essex,2nd Essex,164671,0.222
Essex,3rd Essex,165558,0.223
Franklin,"Berkshire, Hampshire, Franklin & Hampden",10252,0.144
Franklin,"Hampshire, Franklin & Worcester",61120,0.856
Hampden,Hampden,157219,0.339
Hampden,"Berkshire, Hampshire, Franklin & Hampden",2570,0.006
Hampden,2nd Hampden & Hampshire,135787,0.293
Hampden,1st Hampden & Hampshire,139286,0.301
Hampden,"Worcester, Hampden, Hampshire & Middlesex",28628,0.062
Hampshire,"Berkshire, Hampshire, Franklin & Hampden",11742,0.074
Hampshire,2nd Hampden & Hampshire,21845,0.138
Hampshire,"Hampshire, Franklin & Worcester",93732,0.593
Hampshire,1st Hampden & Hampshire,20889,0.132
Hampshire,"Worcester, Hampden, Hampshire & Middlesex",9872,0.062
Middlesex,"Worcester, Hampden, Hampshire & Middlesex",3074,0.002
Middlesex,Worcester & Middlesex,8926,0.006
Middlesex,1st Middlesex,165084,0.11
Middlesex,Middlesex & Worcester,131746,0.088
Middlesex,2nd Middlesex & Norfolk,133154,0.089
Middlesex,3rd Middlesex,169018,0.112
Middlesex,"Norfolk, Bristol & Middlesex",30348,0.02
Middlesex,2nd Essex & Middlesex,58418,0.039
Middlesex,1st Essex & Middlesex,37217,0.025
Middlesex,5th Middlesex,168367,0.112
Middlesex,4th Middlesex,166631,0.111
Middlesex,2nd Middlesex,171059,0.114
Middlesex,Middlesex & Suffolk,96007,0.064
Middlesex,1st Suffolk & Middlesex,22246,0.015
Middlesex,2nd Suffolk & Middlesex,56644,0.038
Middlesex,1st Middlesex & Norfolk,85146,0.057
Nantucket,Cape & Islands,10172,1
Norfolk,Worcester & Norfolk,16332,0.024
Norfolk,2nd Middlesex & Norfolk,24712,0.037
Norfolk,"Norfolk, Bristol & Middlesex",83013,0.124
Norfolk,1st Middlesex & Norfolk,76015,0.113
Norfolk,Norfolk & Suffolk,88122,0.131
Norfolk,Bristol & Norfolk,63543,0.095
Norfolk,"Norfolk, Bristol & Plymouth",130965,0.195
Norfolk,Norfolk & Plymouth,126863,0.189
Norfolk,Plymouth & Norfolk,61285,0.091
Plymouth,"Norfolk, Bristol & Plymouth",10240,0.021
Plymouth,Norfolk & Plymouth,33474,0.068
Plymouth,Plymouth & Norfolk,101280,0.205
Plymouth,2nd Plymouth & Bristol,153195,0.31
Plymouth,1st Plymouth & Bristol,87917,0.178
Plymouth,1st Bristol & Plymouth,15834,0.032
Plymouth,2nd Bristol & Plymouth,6045,0.012
Plymouth,Plymouth & Barnstable,86934,0.176
Suffolk,1st Suffolk,158774,0.22
Suffolk,2nd Suffolk,156023,0.216
Suffolk,3rd Essex,9,0
Suffolk,Middlesex & Suffolk,75373,0.104
Suffolk,1st Suffolk & Middlesex,148849,0.206
Suffolk,2nd Suffolk & Middlesex,115124,0.159
Suffolk,Norfolk & Suffolk,67871,0.094
Worcester,"Hampshire, Franklin & Worcester",1258,0.002
Worcester,"Worcester, Hampden, Hampshire & Middlesex",120370,0.151
Worcester,Worcester & Middlesex,149161,0.187
Worcester,1st Worcester,169221,0.212
Worcester,2nd Worcester,171089,0.214
Worcester,Worcester & Norfolk,149199,0.187
Worcester,Middlesex & Worcester,38254,0.048
