County,SD #,SD Pop. in County,% of County in SD
Alcona,36,10942,1
Alger,38,9601,1
Allegan,26,111408,1
Alpena,36,29598,1
Antrim,37,23580,1
Arenac,36,15899,1
Baraga,38,8860,1
Barry,19,59173,1
Bay,31,107771,1
Benzie,35,17525,1
Berrien,21,156813,1
Branch,16,45248,1
Calhoun,19,136146,1
Cass,21,52293,1
Charlevoix,37,25949,1
Cheboygan,37,26152,1
Chippewa,37,38520,1
Clare,33,30926,1
Clinton,24,75382,1
Crawford,35,14074,1
Delta,38,37069,1
Dickinson,38,26168,1
Eaton,24,107759,1
Emmet,37,32694,1
Genesee,14,105353,0.247
Genesee,27,252670,0.593
Genesee,32,67767,0.159
Gladwin,36,25692,1
Gogebic,38,16427,1
Grand Traverse,37,86986,1
Gratiot,33,42476,1
Hillsdale,16,46688,1
Houghton,38,36628,1
Huron,25,33118,1
Ingham,23,265110,0.944
Ingham,24,15785,0.056
Ionia,19,63905,1
Iosco,36,25887,1
Iron,38,11817,1
Isabella,33,70311,1
Jackson,16,160248,1
Kalamazoo,20,250331,1
Kalkaska,35,17153,1
Kent,26,73855,0.123
Kent,28,257943,0.428
Kent,29,270824,0.449
Keweenaw,38,2156,1
Lake,35,11539,1
Lapeer,31,88319,1
Leelanau,35,21708,1
Lenawee,17,99892,1
Livingston,22,180967,1
Luce,37,6631,1
Mackinac,37,11113,1
Macomb,8,270697,0.322
Macomb,9,271123,0.322
Macomb,10,271474,0.323
Macomb,25,27684,0.033
Manistee,35,24733,1
Marquette,38,67077,1
Mason,35,28705,1
Mecosta,33,42798,1
Menominee,38,24029,1
Midland,36,83629,1
Missaukee,35,14849,1
Monroe,17,152021,1
Montcalm,33,63342,1
Montmorency,36,9765,1
Muskegon,34,172188,1
Newaygo,34,48460,1
Oakland,8,7,0
Oakland,11,272444,0.227
Oakland,12,255840,0.213
Oakland,13,272689,0.227
Oakland,14,143402,0.119
Oakland,15,257980,0.215
Oceana,34,26570,1
Ogemaw,35,21699,1
Ontonagon,38,6780,1
Osceola,35,23528,1
Oscoda,36,8640,1
Otsego,36,24164,1
Ottawa,30,263801,1
Presque Isle,36,13376,1
Roscommon,35,24449,1
Saginaw,32,200169,1
St. Clair,25,163040,1
St. Joseph,21,61295,1
Sanilac,25,43114,1
Schoolcraft,38,8485,1
Shiawassee,24,70648,1
Tuscola,31,55729,1
Van Buren,26,76258,1
Washtenaw,18,272524,0.79
Washtenaw,22,72267,0.21
Wayne,1,254980,0.14
Wayne,2,254986,0.14
Wayne,3,254934,0.14
Wayne,4,254994,0.14
Wayne,5,260266,0.143
Wayne,6,267819,0.147
Wayne,7,272600,0.15
Wayne,8,5,0
Wexford,35,32735,1
