County,SD #,SD Pop. in County,% of County in SD
Adair,18,25607,1
Andrew,12,17291,1
Atchison,12,5685,1
Audrain,10,25529,1
Barry,29,35597,1
Barton,31,12402,1
Bates,31,17049,1
Benton,28,19056,1
Bollinger,27,12363,1
Boone,19,162642,1
Buchanan,34,89201,1
Butler,25,42794,1
Caldwell,21,9424,1
Callaway,10,44332,1
Camden,16,44002,1
Cape Girardeau,27,75674,1
Carroll,21,9295,1
Carter,25,6265,1
Cass,31,99478,1
Cedar,28,13982,1
Chariton,18,7831,1
Christian,20,77422,1
Clark,18,7139,1
Clay,12,45045,0.203
Clay,17,176894,0.797
Clinton,12,20743,1
Cole,6,75990,1
Cooper,19,17601,1
Crawford,16,24696,1
Dade,32,7883,1
Dallas,28,16777,1
Daviess,12,8433,1
DeKalb,12,12892,1
Dent,16,15657,1
Douglas,33,13684,1
Dunklin,25,31953,1
Franklin,26,101492,1
Gasconade,6,15222,1
Gentry,12,6738,1
Greene,20,98852,0.359
Greene,30,176322,0.641
Grundy,12,10261,1
Harrison,12,8957,1
Henry,31,22272,1
Hickory,28,9627,1
Holt,12,4912,1
Howard,21,10144,1
Howell,33,40400,1
Iron,3,10630,1
Jackson,7,168435,0.25
Jackson,8,168441,0.25
Jackson,9,168649,0.25
Jackson,11,168612,0.25
Jackson,31,21,0
Jasper,32,117404,1
Jefferson,3,47074,0.215
Jefferson,22,171659,0.785
Johnson,21,52595,1
Knox,18,4131,1
Laclede,28,35571,1
Lafayette,21,33381,1
Lawrence,29,38634,1
Lewis,18,10211,1
Lincoln,10,52566,1
Linn,18,12761,1
Livingston,21,15195,1
McDonald,29,23083,1
Macon,18,15566,1
Madison,27,12226,1
Maries,6,9176,1
Marion,18,28781,1
Mercer,12,3785,1
Miller,6,24748,1
Mississippi,25,14358,1
Moniteau,6,15607,1
Monroe,10,8840,1
Montgomery,10,12236,1
Morgan,6,20565,1
New Madrid,25,18956,1
Newton,32,58114,1
Nodaway,12,23370,1
Oregon,33,10881,1
Osage,6,13878,1
Ozark,33,9723,1
Pemiscot,25,18296,1
Perry,27,18971,1
Pettis,28,42201,1
Phelps,16,45156,1
Pike,18,18516,1
Platte,34,89322,1
Polk,28,31137,1
Pulaski,16,52274,1
Putnam,12,4979,1
Ralls,18,10167,1
Randolph,18,25414,1
Ray,21,23494,1
Reynolds,3,6696,1
Ripley,33,14100,1
St. Charles,2,181073,0.502
St. Charles,23,179412,0.498
St. Clair,28,9805,1
Ste. Genevieve,3,18145,1
St. Francois,3,65359,1
St. Louis,1,179604,0.18
St. Louis,4,33831,0.034
St. Louis,13,171967,0.172
St. Louis,14,171748,0.172
St. Louis,15,178835,0.179
St. Louis,24,181627,0.182
St. Louis,26,81342,0.081
Saline,21,23370,1
Schuyler,18,4431,1
Scotland,18,4843,1
Scott,27,39191,1
Shannon,25,8441,1
Shelby,18,6373,1
Stoddard,25,29968,1
Stone,29,32202,1
Sullivan,12,6714,1
Taney,29,51675,1
Texas,33,26008,1
Vernon,31,21159,1
Warren,10,32513,1
Washington,3,25195,1
Wayne,27,13521,1
Webster,33,36202,1
Worth,12,2171,1
Wright,33,18815,1
St. Louis city,4,142256,0.446
St. Louis city,5,177016,0.554
St. Louis city,13,22,0
