County,SD #,SD Pop. in County,% of County in SD
Adams,37,25050,0.776
Adams,38,7247,0.224
Alcorn,4,37057,1
Amite,37,7094,0.54
Amite,38,6037,0.46
Attala,14,6450,0.33
Attala,21,13114,0.67
Benton,3,8729,1
Bolivar,12,6418,0.188
Bolivar,13,21231,0.622
Bolivar,22,6496,0.19
Calhoun,8,14962,1
Carroll,14,10597,1
Chickasaw,8,17392,1
Choctaw,15,8547,1
Claiborne,36,9604,1
Clarke,33,16732,1
Clay,16,20634,1
Coahoma,11,21351,0.816
Coahoma,12,4800,0.184
Copiah,35,2450,0.083
Copiah,36,22909,0.778
Copiah,39,4090,0.139
Covington,41,19568,1
DeSoto,1,58854,0.365
DeSoto,2,58820,0.365
DeSoto,19,43578,0.27
Forrest,34,19819,0.264
Forrest,41,2080,0.028
Forrest,42,10705,0.143
Forrest,45,42330,0.565
Franklin,37,8118,1
George,43,22578,1
Greene,43,14400,1
Grenada,14,9504,0.434
Grenada,24,12402,0.566
Hancock,46,43929,1
Harrison,46,13810,0.074
Harrison,48,58961,0.315
Harrison,49,57821,0.309
Harrison,50,56513,0.302
Hinds,25,19045,0.078
Hinds,26,39442,0.161
Hinds,27,54449,0.222
Hinds,28,57480,0.234
Hinds,29,58509,0.239
Hinds,36,16360,0.067
Holmes,21,8262,0.43
Holmes,24,10936,0.57
Humphreys,22,5229,0.558
Humphreys,24,4146,0.442
Issaquena,23,1406,1
Itawamba,5,14583,0.623
Itawamba,6,3371,0.144
Itawamba,7,5447,0.233
Jackson,47,20867,0.149
Jackson,51,59854,0.429
Jackson,52,58947,0.422
Jasper,34,17062,1
Jefferson,36,7726,1
Jefferson Davis,41,12487,1
Jones,34,22816,0.337
Jones,42,44945,0.663
Kemper,32,10456,1
Lafayette,9,47351,1
Lamar,41,5167,0.093
Lamar,44,50491,0.907
Lauderdale,31,6663,0.083
Lauderdale,32,34693,0.432
Lauderdale,33,38905,0.485
Lawrence,39,12929,1
Leake,18,16400,0.689
Leake,21,7405,0.311
Lee,6,55944,0.675
Lee,7,20293,0.245
Lee,8,6673,0.08
Leflore,14,4774,0.148
Leflore,24,27543,0.852
Lincoln,39,34869,1
Lowndes,16,11933,0.2
Lowndes,17,47846,0.8
Madison,21,23601,0.248
Madison,22,14682,0.154
Madison,25,40158,0.422
Madison,26,16762,0.176
Marion,40,27088,1
Marshall,10,26443,0.712
Marshall,19,10701,0.288
Monroe,7,30508,0.825
Monroe,17,6481,0.175
Montgomery,14,6831,0.625
Montgomery,15,4094,0.375
Neshoba,18,29676,1
Newton,31,21720,1
Noxubee,16,7169,0.621
Noxubee,32,4376,0.379
Oktibbeha,15,32100,0.673
Oktibbeha,16,15571,0.327
Panola,9,11192,0.322
Panola,11,18177,0.524
Panola,14,5338,0.154
Pearl River,40,31832,0.57
Pearl River,44,3896,0.07
Pearl River,47,20106,0.36
Perry,45,12250,1
Pike,37,14991,0.371
Pike,38,25413,0.629
Pontotoc,3,21883,0.73
Pontotoc,8,8074,0.27
Prentiss,5,25276,1
Quitman,11,8223,1
Rankin,20,57094,0.403
Rankin,30,55905,0.395
Rankin,35,28618,0.202
Scott,31,28264,1
Sharkey,22,4916,1
Simpson,35,27503,1
Smith,41,16491,1
Stone,47,17786,1
Sunflower,13,29450,1
Tallahatchie,13,7235,0.47
Tallahatchie,14,5965,0.388
Tallahatchie,24,2178,0.142
Tate,10,28886,1
Tippah,4,22232,1
Tishomingo,5,19593,1
Tunica,11,10778,1
Union,3,27134,1
Walthall,38,10908,0.706
Walthall,39,4535,0.294
Warren,23,48773,1
Washington,12,43092,0.843
Washington,22,8045,0.157
Wayne,43,20747,1
Webster,15,10253,1
Wilkinson,38,9878,1
Winston,18,9343,0.487
Winston,32,9855,0.513
Yalobusha,8,7849,0.619
Yalobusha,14,4829,0.381
Yazoo,21,2180,0.078
Yazoo,22,19470,0.694
Yazoo,23,6415,0.229
