County,SD #,SD Pop. in County,% of County in SD
Beaverhead,36,9246,1
Big Horn,21,12865,1
Blaine,16,4490,0.692
Blaine,17,2001,0.308
Broadwater,35,5612,1
Carbon,29,10078,1
Carter,19,1160,1
Cascade,10,19875,0.244
Cascade,11,19753,0.243
Cascade,12,19659,0.242
Cascade,13,19910,0.245
Cascade,14,1239,0.015
Cascade,15,891,0.011
Chouteau,14,4546,0.782
Chouteau,16,1267,0.218
Custer,19,11037,0.943
Custer,20,662,0.057
Daniels,17,1751,1
Dawson,18,8966,1
Deer Lodge,39,9298,1
Fallon,19,2890,1
Fergus,15,11586,1
Flathead,2,19896,0.219
Flathead,3,19822,0.218
Flathead,4,19944,0.219
Flathead,5,17738,0.195
Flathead,6,9988,0.11
Flathead,7,3535,0.039
Flathead,8,5,0
Gallatin,30,530,0.006
Gallatin,31,19737,0.22
Gallatin,32,19820,0.221
Gallatin,33,19542,0.218
Gallatin,34,19910,0.222
Gallatin,35,9974,0.111
Garfield,19,1206,1
Glacier,8,11646,0.869
Glacier,9,1753,0.131
Golden Valley,15,884,1
Granite,39,3079,1
Hill,14,11751,0.73
Hill,16,2920,0.181
Hill,17,1425,0.089
Jefferson,36,1519,0.133
Jefferson,38,9887,0.867
Judith Basin,15,2072,1
Lake,5,2151,0.075
Lake,6,9886,0.344
Lake,8,6805,0.237
Lake,47,9904,0.345
Lewis and Clark,9,1249,0.02
Lewis and Clark,35,4322,0.068
Lewis and Clark,40,18247,0.288
Lewis and Clark,41,19748,0.312
Lewis and Clark,42,19829,0.313
Liberty,14,2339,1
Lincoln,1,19687,1
McCone,19,1734,1
Madison,36,7691,1
Meagher,15,1891,1
Mineral,7,4223,1
Missoula,7,797,0.007
Missoula,45,19714,0.18
Missoula,46,19843,0.182
Missoula,47,9821,0.09
Missoula,48,19684,0.18
Missoula,49,19798,0.181
Missoula,50,19642,0.18
Musselshell,20,4538,1
Park,30,15636,1
Petroleum,15,494,1
Phillips,16,1123,0.264
Phillips,17,3130,0.736
Pondera,8,748,0.122
Pondera,9,5405,0.878
Powder River,19,815,0.468
Powder River,21,928,0.532
Powell,39,5467,0.778
Powell,40,1560,0.222
Prairie,19,1179,1
Ravalli,43,20105,0.5
Ravalli,44,20107,0.5
Richland,18,9746,1
Roosevelt,16,8350,0.801
Roosevelt,17,2075,0.199
Rosebud,20,4605,0.499
Rosebud,21,4628,0.501
Sanders,7,11413,1
Sheridan,17,3384,1
Silver Bow,36,1784,0.052
Silver Bow,37,20097,0.588
Silver Bow,38,10056,0.294
Silver Bow,39,2263,0.066
Stillwater,29,9117,1
Sweet Grass,29,519,0.142
Sweet Grass,30,3132,0.858
Teton,9,6073,1
Toole,9,5324,1
Treasure,20,718,1
Valley,16,1491,0.202
Valley,17,5878,0.798
Wheatland,15,2168,1
Wibaux,18,1017,1
Yellowstone,20,9346,0.063
Yellowstone,21,778,0.005
Yellowstone,22,19706,0.133
Yellowstone,23,19738,0.133
Yellowstone,24,19577,0.132
Yellowstone,25,19580,0.132
Yellowstone,26,19676,0.133
Yellowstone,27,19802,0.134
Yellowstone,28,19769,0.134
