County,SD #,SD Pop. in County,% of County in SD
Alamance,24,151131,1
Alexander,42,37198,1
Alleghany,45,11155,1
Anson,25,26948,1
Ashe,45,27281,1
Avery,46,17797,1
Beaufort,3,47759,1
Bertie,3,21282,1
Bladen,8,35190,1
Brunswick,8,107431,1
Buncombe,48,45336,0.1902
Buncombe,49,192982,0.8098
Burke,46,90912,1
Cabarrus,36,178011,1
Caldwell,46,83029,1
Camden,1,9980,1
Carteret,2,66469,1
Caswell,30,23719,1
Catawba,42,154358,1
Chatham,23,63505,1
Cherokee,50,27444,1
Chowan,1,14793,1
Clay,50,10587,1
Cleveland,44,98078,1
Columbus,13,58098,1
Craven,2,103505,1
Cumberland,19,182869,0.5725
Cumberland,21,136562,0.4275
Currituck,1,23547,1
Dare,1,33920,1
Davidson,29,162878,1
Davie,31,41240,1
Duplin,10,58505,1
Durham,20,184237,0.6885
Durham,22,83350,0.3115
Edgecombe,4,56552,1
Forsyth,31,150833,0.4301
Forsyth,32,199837,0.5699
Franklin,18,60619,1
Gaston,43,197035,0.9561
Gaston,44,9051,0.0439
Gates,1,12197,1
Graham,50,8861,1
Granville,22,59916,1
Greene,5,21362,1
Guilford,24,45975,0.0941
Guilford,26,44709,0.0915
Guilford,27,199608,0.4087
Guilford,28,198114,0.4056
Halifax,4,54691,1
Harnett,12,114678,1
Haywood,50,59036,1
Henderson,48,106740,1
Hertford,1,24669,1
Hoke,21,46952,1
Hyde,1,5810,1
Iredell,34,159437,1
Jackson,50,40271,1
Johnston,10,59862,0.3545
Johnston,11,94339,0.5586
Johnston,12,14677,0.0869
Jones,6,10153,1
Lee,12,57866,1
Lenoir,7,59495,1
Lincoln,44,78265,1
Macon,50,33922,1
Madison,47,20764,1
Martin,3,24505,1
McDowell,47,44996,1
Mecklenburg,37,183991,0.2001
Mecklenburg,38,182531,0.1985
Mecklenburg,39,181402,0.1973
Mecklenburg,40,183115,0.1991
Mecklenburg,41,188589,0.2051
Mitchell,47,15579,1
Montgomery,29,27798,1
Moore,25,88247,1
Nash,11,95840,1
New Hanover,8,4559,0.0225
New Hanover,9,198108,0.9775
Northampton,3,22099,1
Onslow,6,177772,1
Orange,23,133801,1
Pamlico,2,13144,1
Pasquotank,1,40661,1
Pender,8,52217,1
Perquimans,1,13453,1
Person,22,39464,1
Pitt,5,168148,1
Polk,47,20510,1
Randolph,26,141752,1
Richmond,25,46639,1
Robeson,13,134168,1
Rockingham,30,93643,1
Rowan,33,138428,1
Rutherford,47,67810,1
Sampson,10,63431,1
Scotland,25,36157,1
Stanly,33,60585,1
Stokes,30,47401,1
Surry,30,33695,0.4574
Surry,45,39978,0.5426
Swain,50,13981,1
Transylvania,48,33090,1
Tyrrell,1,4407,1
Union,35,189794,0.9429
Union,36,11498,0.0571
Vance,3,45422,1
Wake,14,198654,0.2205
Wake,15,192490,0.2136
Wake,16,187230,0.2078
Wake,17,199914,0.2219
Wake,18,122705,0.1362
Warren,3,20972,1
Washington,1,13228,1
Watauga,45,51079,1
Wayne,7,122623,1
Wilkes,45,69340,1
Wilson,4,81234,1
Yadkin,34,38406,1
Yancey,47,17818,1
