County,SD #,SD Pop. in County,% of County in SD
Adams,14,28550,1
Allen,12,106331,1
Ashland,22,53139,1
Ashtabula,32,101497,1
Athens,20,4480,0.069
Athens,30,60277,0.931
Auglaize,1,23357,0.508
Auglaize,12,22592,0.492
Belmont,30,70400,1
Brown,14,44846,1
Butler,4,349633,0.95
Butler,7,18497,0.05
Carroll,30,28836,1
Champaign,12,40097,1
Clark,10,138333,1
Clermont,14,197363,1
Clinton,17,42040,1
Columbiana,33,107841,1
Coshocton,31,36901,1
Crawford,26,43784,1
Cuyahoga,21,355248,0.278
Cuyahoga,23,336595,0.263
Cuyahoga,24,356289,0.278
Cuyahoga,25,231990,0.181
Darke,5,19137,0.361
Darke,12,33822,0.639
Defiance,1,39037,1
Delaware,19,174214,1
Erie,2,77079,1
Fairfield,20,146156,1
Fayette,17,29030,1
Franklin,3,340393,0.293
Franklin,15,356120,0.306
Franklin,16,348174,0.299
Franklin,19,118727,0.102
Fulton,1,14382,0.337
Fulton,2,28316,0.663
Gallia,17,30934,1
Geauga,18,72481,0.776
Geauga,32,20908,0.224
Greene,10,161573,1
Guernsey,20,40087,1
Hamilton,7,112804,0.141
Hamilton,8,346673,0.432
Hamilton,9,342897,0.427
Hancock,1,74782,1
Hardin,1,32058,1
Harrison,30,15864,1
Henry,1,28215,1
Highland,17,43589,1
Hocking,20,29380,1
Holmes,22,12788,0.302
Holmes,31,29578,0.698
Huron,13,59626,1
Jackson,17,33225,1
Jefferson,30,69709,1
Knox,19,60921,1
Lake,18,117476,0.511
Lake,25,112565,0.489
Lawrence,14,14221,0.228
Lawrence,17,48229,0.772
Licking,19,5,0
Licking,31,166487,1
Logan,1,6067,0.132
Logan,12,39791,0.868
Lorain,13,301356,1
Lucas,2,87202,0.197
Lucas,11,354613,0.803
Madison,10,43435,1
Mahoning,33,238823,1
Marion,26,66501,1
Medina,22,172332,1
Meigs,30,23770,1
Mercer,12,40814,1
Miami,5,102506,1
Monroe,30,14642,1
Montgomery,5,189011,0.353
Montgomery,6,346142,0.647
Morgan,20,15054,1
Morrow,26,34827,1
Muskingum,20,86074,1
Noble,30,14645,1
Ottawa,2,41428,1
Paulding,1,19614,1
Perry,31,36058,1
Pickaway,17,22396,0.402
Pickaway,20,33302,0.598
Pike,17,28709,1
Portage,18,161419,1
Preble,5,42270,1
Putnam,1,34499,1
Richland,22,124475,1
Ross,17,78064,1
Sandusky,26,60944,1
Scioto,14,79499,1
Seneca,26,56745,1
Shelby,12,49423,1
Stark,27,31719,0.084
Stark,29,343867,0.916
Summit,27,197421,0.364
Summit,28,344360,0.636
Trumbull,32,210312,1
Tuscarawas,31,92582,1
Union,26,52300,1
Van Wert,1,28744,1
Vinton,17,8483,0.631
Vinton,30,4952,0.369
Warren,7,212693,1
Washington,30,61778,1
Wayne,27,114520,1
Williams,1,37642,1
Wood,2,125488,1
Wyandot,26,22615,1
