County,SD #,SD Pop. in County,% of County in SD
Baker,30,16134,1
Benton,8,73110,0.854
Benton,12,12469,0.146
Clackamas,9,26545,0.071
Clackamas,13,16967,0.045
Clackamas,18,786,0.002
Clackamas,19,72493,0.193
Clackamas,20,128194,0.341
Clackamas,21,40034,0.106
Clackamas,24,30829,0.082
Clackamas,26,60144,0.16
Clatsop,16,37039,1
Columbia,16,49351,1
Coos,1,24434,0.388
Coos,5,38609,0.612
Crook,28,20978,1
Curry,1,22364,1
Deschutes,27,128368,0.814
Deschutes,28,12170,0.077
Deschutes,30,17195,0.109
Douglas,1,70084,0.651
Douglas,4,31776,0.295
Douglas,5,5807,0.054
Gilliam,29,1871,1
Grant,30,7445,1
Harney,30,7422,1
Hood River,26,22346,1
Jackson,1,1332,0.007
Jackson,2,55431,0.273
Jackson,3,126631,0.623
Jackson,28,19812,0.097
Jefferson,30,21720,1
Josephine,1,9074,0.11
Josephine,2,73639,0.89
Klamath,28,66380,1
Lake,28,7328,0.928
Lake,30,567,0.072
Lane,4,95074,0.27
Lane,5,18105,0.051
Lane,6,111026,0.316
Lane,7,127510,0.363
Lincoln,5,46034,1
Linn,6,15196,0.13
Linn,8,53777,0.461
Linn,9,47699,0.409
Malheur,30,31313,1
Marion,9,53373,0.169
Marion,10,84182,0.267
Marion,11,129044,0.409
Marion,12,9217,0.029
Marion,13,39465,0.125
Marion,20,54,0
Morrow,29,11173,1
Multnomah,14,1882,0.003
Multnomah,16,5382,0.007
Multnomah,17,18766,0.026
Multnomah,18,72426,0.098
Multnomah,19,29387,0.04
Multnomah,21,87075,0.118
Multnomah,22,128234,0.174
Multnomah,23,126250,0.172
Multnomah,24,95364,0.13
Multnomah,25,126395,0.172
Multnomah,26,44173,0.06
Polk,5,2849,0.038
Polk,10,44373,0.588
Polk,12,28181,0.374
Sherman,29,1765,1
Tillamook,5,7827,0.31
Tillamook,16,17423,0.69
Umatilla,29,75889,1
Union,29,25748,1
Wallowa,29,7008,1
Wasco,29,2264,0.09
Wasco,30,22949,0.91
Washington,12,12495,0.024
Washington,13,47742,0.09
Washington,14,127441,0.241
Washington,15,129263,0.244
Washington,16,19055,0.036
Washington,17,110394,0.208
Washington,18,55885,0.106
Washington,19,27435,0.052
Wheeler,30,1441,1
Yamhill,5,8143,0.082
Yamhill,12,65681,0.662
Yamhill,13,25367,0.256
Yamhill,16,2,0
