County,SD #,SD Pop. in County,% of County in SD
Anderson,5,75129,1
Bedford,14,45058,1
Benton,24,16489,1
Bledsoe,15,12876,1
Blount,2,123010,1
Bradley,9,60497,0.611
Bradley,10,38466,0.389
Campbell,12,40716,1
Cannon,17,13801,1
Carroll,24,28522,1
Carter,3,45588,0.794
Carter,4,11836,0.206
Cheatham,25,39105,1
Chester,26,17131,1
Claiborne,8,32213,1
Clay,17,7861,1
Cocke,1,35662,1
Coffee,16,52796,1
Crockett,27,14586,1
Cumberland,15,56053,1
Davidson,18,28227,0.045
Davidson,19,199634,0.319
Davidson,20,199162,0.318
Davidson,21,199658,0.319
Decatur,26,11757,1
DeKalb,17,18723,1
Dickson,25,49666,1
Dyer,27,38335,1
Fayette,26,38413,1
Fentress,12,17959,1
Franklin,16,41052,1
Gibson,24,49683,1
Giles,28,29485,1
Grainger,8,22657,1
Greene,1,68831,1
Grundy,16,13703,1
Hamblen,1,62544,1
Hamilton,10,149359,0.444
Hamilton,11,187104,0.556
Hancock,8,6819,1
Hardeman,26,27253,1
Hardin,26,26026,1
Hawkins,8,56833,1
Haywood,26,18787,1
Henderson,26,27769,1
Henry,24,32330,1
Hickman,25,24690,1
Houston,22,8426,1
Humphreys,25,18538,1
Jackson,15,11638,1
Jefferson,8,51407,1
Johnson,4,18244,1
Knox,5,60979,0.141
Knox,6,185872,0.43
Knox,7,185375,0.429
Lake,27,7832,1
Lauderdale,27,27815,1
Lawrence,28,41869,1
Lewis,28,12161,1
Lincoln,14,33361,1
Loudon,5,48556,1
McMinn,9,52266,1
McNairy,26,26075,1
Macon,17,22248,1
Madison,27,98294,1
Marion,16,28237,1
Marshall,14,30617,1
Maury,28,80956,1
Meigs,9,11753,1
Monroe,9,44519,1
Montgomery,22,172331,1
Moore,14,6362,1
Morgan,12,21987,1
Obion,24,31807,1
Overton,15,22083,1
Perry,28,7915,1
Pickett,12,5077,1
Polk,9,16825,1
Putnam,15,72321,1
Rhea,12,31809,1
Roane,12,54181,1
Robertson,25,66283,1
Rutherford,13,190126,0.724
Rutherford,14,72478,0.276
Scott,12,22228,1
Sequatchie,16,14112,1
Sevier,1,22378,0.249
Sevier,2,67511,0.751
Shelby,29,197772,0.213
Shelby,30,197297,0.213
Shelby,31,197580,0.213
Shelby,32,137372,0.148
Shelby,33,197623,0.213
Smith,17,19166,1
Stewart,22,13324,1
Sullivan,4,156823,1
Sumner,18,160645,1
Tipton,32,61081,1
Trousdale,18,7870,1
Unicoi,3,18313,1
Union,8,19109,1
Van Buren,16,5548,1
Warren,16,39839,1
Washington,3,122979,1
Wayne,28,17021,1
Weakley,24,35021,1
White,15,25841,1
Williamson,23,183182,1
Wilson,17,113993,1
