County,SD #,SD Pop. in County,% of County in SD
Accomack county,6,33164,1
Albemarle county,17,24482,0.247
Albemarle county,25,74488,0.753
Alleghany county,25,16250,1
Amelia county,11,12690,1
Amherst county,22,32353,1
Appomattox county,22,14973,1
Arlington county,30,55380,0.267
Arlington county,31,116599,0.562
Arlington county,32,35648,0.172
Augusta county,24,73750,1
Bath county,25,4731,1
Bedford County,19,4865,0.065
Bedford County,23,70033,0.935
Bland county,38,6824,1
Botetourt county,23,33148,1
Brunswick county,15,11172,0.641
Brunswick county,18,6262,0.359
Buchanan county,38,24098,1
Buckingham county,22,17146,1
Campbell county,15,10415,0.19
Campbell county,23,44427,0.81
Caroline county,4,28545,1
Carroll county,19,12708,0.423
Carroll county,20,17334,0.577
Charles City,9,7256,1
Charlotte county,15,12586,1
Chesterfield county,10,92267,0.292
Chesterfield county,11,171687,0.543
Chesterfield county,16,52282,0.165
Clarke county,27,14034,1
Craig county,23,5190,1
Culpeper county,17,21914,0.469
Culpeper county,24,19084,0.409
Culpeper county,27,5691,0.122
Cumberland county,22,10052,1
Dickenson county,38,15903,1
Dinwiddie county,15,15366,0.549
Dinwiddie county,16,12635,0.451
Essex county,4,11151,1
Fairfax county,30,64860,0.06
Fairfax county,31,59263,0.055
Fairfax county,32,162969,0.151
Fairfax county,33,61629,0.057
Fairfax county,34,173747,0.161
Fairfax county,35,156777,0.145
Fairfax county,36,80727,0.075
Fairfax county,37,198267,0.183
Fairfax county,39,123487,0.114
Fauquier county,27,65203,1
Floyd county,19,15279,1
Fluvanna county,22,25691,1
Franklin county,19,39144,0.697
Franklin county,20,17015,0.303
Frederick county,27,78305,1
Giles county,21,17286,1
Gloucester county,3,36858,1
Goochland county,22,21717,1
Grayson county,40,15533,1
Greene county,24,18403,1
Greensville county,18,12243,1
Halifax county,15,17217,0.475
Halifax county,20,19024,0.525
Hanover county,4,74683,0.748
Hanover county,9,11710,0.117
Hanover county,12,13470,0.135
Henrico county,9,116775,0.38
Henrico county,12,190160,0.62
Henry county,20,54151,1
Highland county,25,2321,1
Isle of Wight county,3,18951,0.537
Isle of Wight county,14,7043,0.2
Isle of Wight county,18,9276,0.263
James City,1,18847,0.281
James City,3,48162,0.719
King and Queen county,3,6945,1
King George county,4,5256,0.223
King George county,28,18328,0.777
King William county,3,15935,1
Lancaster county,4,11391,1
Lee county,40,25587,1
Loudoun county,13,147939,0.474
Loudoun county,27,4780,0.015
Loudoun county,31,25043,0.08
Loudoun county,33,134549,0.431
Louisa county,17,23987,0.724
Louisa county,22,9166,0.276
Lunenburg county,15,12914,1
Madison county,24,13308,1
Mathews county,6,8978,1
Mecklenburg county,15,32727,1
Middlesex county,4,10959,1
Montgomery county,19,24386,0.258
Montgomery county,21,70003,0.742
Montgomery county,38,3,0
Nelson county,25,15020,1
New Kent county,3,18429,1
Northampton county,6,12389,1
Northumberland county,4,12330,1
Nottoway county,15,15853,1
Orange county,17,33481,1
Page county,26,24042,1
Patrick county,20,18490,1
Pittsylvania county,15,46547,0.733
Pittsylvania county,20,16959,0.267
Powhatan county,10,28046,1
Prince Edward county,22,23368,1
Prince George county,15,16160,0.452
Prince George county,16,19565,0.548
Prince William county,13,54981,0.137
Prince William county,28,49338,0.123
Prince William county,29,151894,0.378
Prince William county,36,105146,0.262
Prince William county,39,40643,0.101
Pulaski county,38,34872,1
Rappahannock county,26,7373,1
Richmond county,4,9254,1
Roanoke county,19,62098,0.672
Roanoke county,21,16192,0.175
Roanoke county,23,14086,0.152
Rockbridge county,25,22307,1
Rockingham county,24,34727,0.455
Rockingham county,26,41587,0.545
Russell county,38,28897,1
Scott county,40,23177,1
Shenandoah county,26,41993,1
Smyth county,38,5921,0.184
Smyth county,40,26287,0.816
Southampton county,14,5647,0.304
Southampton county,18,12923,0.696
Spotsylvania county,4,31985,0.261
Spotsylvania county,17,75874,0.62
Spotsylvania county,28,14538,0.119
Stafford county,27,8950,0.069
Stafford county,28,106746,0.828
Stafford county,36,13265,0.103
Surry county,18,7058,1
Sussex county,18,12087,1
Tazewell county,38,45078,1
Warren county,26,37575,1
Washington county,40,54876,1
Westmoreland county,4,6387,0.366
Westmoreland county,28,11067,0.634
Wise county,38,19452,0.469
Wise county,40,22000,0.531
Wythe county,19,16072,0.55
Wythe county,40,13163,0.45
York county,1,9144,0.14
York county,2,26867,0.41
York county,3,29453,0.45
Alexandria city,30,75790,0.541
Alexandria city,35,27142,0.194
Alexandria city,39,37034,0.265
Bristol city,40,17835,1
Buena Vista city,25,6650,1
Charlottesville city,25,43475,1
Chesapeake city,5,100093,0.45
Chesapeake city,14,113115,0.509
Chesapeake city,18,9001,0.041
Colonial Heights city,11,17411,1
Covington city,25,5961,1
Danville city,15,5802,0.135
Danville city,20,37253,0.865
Emporia city,18,5927,1
Fairfax city,34,22565,1
Falls Church city,35,12332,1
Franklin city,14,3011,0.351
Franklin city,18,5571,0.649
Fredericksburg city,17,24286,1
Galax city,20,7042,1
Hampton city,1,16838,0.123
Hampton city,2,114610,0.834
Hampton city,3,5988,0.044
Harrisonburg city,26,48914,1
Hopewell city,16,22591,1
Lexington city,25,7042,1
Lynchburg city,22,41719,0.552
Lynchburg city,23,33849,0.448
Manassas city,29,37821,1
Manassas Park city,29,14273,1
Martinsville city,20,13821,1
Newport News city,1,137773,0.762
Newport News city,2,42946,0.238
Norfolk city,5,100657,0.415
Norfolk city,6,133562,0.55
Norfolk city,7,8584,0.035
Norton city,38,3958,1
Petersburg city,16,32420,1
Poquoson city,3,12150,1
Portsmouth city,2,15770,0.165
Portsmouth city,14,8157,0.085
Portsmouth city,18,71608,0.75
Radford city,38,16408,1
Richmond city,9,63202,0.309
Richmond city,10,79664,0.39
Richmond city,16,61348,0.3
Roanoke city,21,97032,1
Salem city,19,24802,1
Staunton city,24,23746,1
Suffolk city,1,4402,0.052
Suffolk city,3,10578,0.125
Suffolk city,14,21627,0.256
Suffolk city,18,47978,0.567
Virginia Beach city,6,8275,0.019
Virginia Beach city,7,190436,0.435
Virginia Beach city,8,198279,0.453
Virginia Beach city,14,41004,0.094
Waynesboro city,24,21006,1
Williamsburg city,1,14068,1
Winchester city,27,26203,1
