County,SD #,SD Pop. in County,% of County in SD
Addison,Addison,36821,1
Bennington,Bennington,37125,1
Caledonia,Caledonia,31227,1
Chittenden,Addison,1968,0.013
Chittenden,Grand-Isle-Chittenden,17067,0.109
Chittenden,Chittenden,137510,0.878
Essex,Essex-Orleans,6306,1
Franklin,Essex-Orleans,3509,0.073
Franklin,Franklin,44237,0.927
Grand Isle,Grand-Isle-Chittenden,4972,0.713
Grand Isle,Franklin,1998,0.287
Lamoille,Essex-Orleans,1676,0.068
Lamoille,Lamoille,22799,0.932
Orange,Caledonia,8887,0.307
Orange,Orange,20049,0.693
Orleans,Essex-Orleans,27231,1
Rutland,Rutland,60405,0.98
Rutland,Windsor,1237,0.02
Washington,Washington,59534,1
Windham,Bennington,1876,0.042
Windham,Windham,40868,0.918
Windham,Windsor,1769,0.04
Windsor,Windsor,56670,1
